"SIMULATED EQUIVALENT"   "OBSERVED VALUE"    "OBSERVATION NAME"
   5.15002727509E+00   5.50000000000E+00  Obs_0       
   8.46260929108E+00   2.00000002980E-01  Obs_1       
   8.05503845215E+00   4.00000005960E-01  Obs_2       
   7.21054410934E+00   3.00000011921E-01  Obs_3       
   7.44786834717E+00   6.00000023842E-01  Obs_4       
   1.08738565445E+01   2.29999995232E+00  Obs_5       
   1.00832815170E+01   2.59999990463E+00  Obs_6       
   1.12494411469E+01   3.50000000000E+00  Obs_7       
   9.37364864349E+00   1.20000004768E+00  Obs_8       
   1.16418504715E+01   3.59999990463E+00  Obs_9       
   9.86397266388E+00   2.42989993095E+00  Obs_10      
   9.14797210693E+00   1.89999997616E+00  Obs_11      
   1.13919906616E+01   1.29999995232E+00  Obs_12      
   9.06975460052E+00   8.99999976158E-01  Obs_13      
   1.42255964279E+01   4.47000007629E+01  Obs_14      
   9.00763225555E+00   2.59999990463E+00  Obs_15      
   8.92973995209E+00   1.70000004768E+00  Obs_16      
   1.41264219284E+01   3.00000000000E+00  Obs_17      
   9.05224037170E+00   1.79999995232E+00  Obs_18      
   1.54736433029E+01   5.90000009537E+00  Obs_19      
   1.45294189453E+01   1.92000007629E+01  Obs_20      
   1.59683361053E+01   8.00000000000E+00  Obs_21      
   1.49092807770E+01   8.19999980927E+00  Obs_22      
   1.46354770660E+01   5.75000000000E+00  Obs_23      
   1.60165462494E+01   3.42000007629E+01  Obs_24      
   1.41417951584E+01   3.20000004768E+00  Obs_25      
   1.64711265564E+01   1.68530006409E+01  Obs_26      
   1.48818254471E+01   2.53999996185E+01  Obs_27      
   1.38829507828E+01   1.79999995232E+00  Obs_28      
   1.39697933197E+01   8.80000019073E+00  Obs_29      
   1.23008289337E+01   8.50000023842E-01  Obs_30      
   1.20301599503E+01   8.99999976158E-01  Obs_31      
   5.38292741776E+00   6.00000023842E-01  Obs_32      
   1.48661174774E+01   2.02999992371E+01  Obs_33      
   1.26010160446E+01   1.79999995232E+00  Obs_34      
   1.19931020737E+01   1.62769997120E+00  Obs_35      
   1.01701002121E+01   3.00000011921E-01  Obs_36      
   6.53590536118E+00   5.00000000000E-01  Obs_37      
   1.01445417404E+01   1.00000000000E+00  Obs_38      
   1.89573230743E+01   6.25000000000E+01  Obs_39      
   1.38437652588E+01   1.58000001907E+01  Obs_40      
   9.66985034943E+00   1.20000004768E+00  Obs_41      
   1.08293876648E+01   7.30000019073E+00  Obs_42      
   1.21506710052E+01   7.30000019073E+00  Obs_43      
   1.35976142883E+01   9.80000019073E+00  Obs_44      
   1.49384441376E+01   1.64666996002E+01  Obs_45      
   7.97356462479E+00   1.20000004768E+00  Obs_46      
   9.32323741913E+00   3.00000000000E+00  Obs_47      
   9.44001865387E+00   6.65000009537E+00  Obs_48      
   7.89358711243E+00   2.70000004768E+00  Obs_49      
   6.48985624313E+00   6.09999990463E+00  Obs_50      
   5.04041433334E+00   1.00000001490E-01  Obs_51      
   5.01103734970E+00   8.10000038147E+00  Obs_52      
   4.94822359085E+00   8.19999980927E+00  Obs_53      
   5.08187961578E+00   4.30000019073E+00  Obs_54      
   5.00835800171E+00   5.56669998169E+00  Obs_55      
   5.00262308121E+00   5.50000000000E+00  Obs_56      
   4.04710292816E+00   7.30000019073E+00  Obs_57      
   3.85380005836E+00   6.00000000000E+00  Obs_58      
   1.19547224045E+00   2.70000004768E+00  Obs_59      
   8.67152929306E-01   5.30000019073E+00  Obs_60      
   4.83722418547E-01   3.09999990463E+00  Obs_61      
   3.50619345903E-01   3.00000000000E+00  Obs_62      
   4.38172817230E-01   5.69999980927E+00  Obs_63      
