"SIMULATED EQUIVALENT"   "OBSERVED VALUE"    "OBSERVATION NAME"
  -9.99000000000E+02   5.00000007451E-02  Obs_0       
  -9.99000000000E+02   5.00000007451E-02  Obs_1       
  -9.99000000000E+02   5.00000007451E-02  Obs_2       
   3.94081950188E-01   5.00000007451E-02  Obs_3       
   5.69942295551E-01   5.00000007451E-02  Obs_4       
   6.60794436932E-01   5.00000007451E-02  Obs_5       
   4.35964345932E-01   5.00000007451E-02  Obs_6       
   3.03273558617E-01   5.00000007451E-02  Obs_7       
   2.37063407898E-01   5.00000007451E-02  Obs_8       
  -9.99000000000E+02   5.00000007451E-02  Obs_9       
  -9.99000000000E+02   5.00000007451E-02  Obs_10      
  -9.99000000000E+02   5.00000007451E-02  Obs_11      
  -9.99000000000E+02   5.00000007451E-02  Obs_12      
   7.53607094288E-01   5.00000007451E-02  Obs_13      
   1.43843615055E+00   5.00000007451E-02  Obs_14      
   2.29945635796E+00   5.00000007451E-02  Obs_15      
   1.63449335098E+00   5.00000007451E-02  Obs_16      
   6.46562635899E-01   5.00000007451E-02  Obs_17      
   4.36252653599E-01   5.00000007451E-02  Obs_18      
  -9.99000000000E+02   5.00000007451E-02  Obs_19      
   3.43176460266E+00   5.50000000000E+00  Obs_20      
  -9.99000000000E+02   5.00000007451E-02  Obs_21      
  -9.99000000000E+02   5.00000007451E-02  Obs_22      
  -9.99000000000E+02   5.00000007451E-02  Obs_23      
   1.48602271080E+00   5.00000007451E-02  Obs_24      
   3.30577445030E+00   5.00000007451E-02  Obs_25      
   1.37039899826E+00   5.00000007451E-02  Obs_26      
   8.80175769329E-01   5.00000007451E-02  Obs_27      
  -9.99000000000E+02   5.00000007451E-02  Obs_28      
  -9.99000000000E+02   5.00000007451E-02  Obs_29      
  -9.99000000000E+02   5.00000007451E-02  Obs_30      
  -9.99000000000E+02   5.00000007451E-02  Obs_31      
   2.43463778496E+00   5.00000007451E-02  Obs_32      
   2.78430247307E+00   5.00000007451E-02  Obs_33      
   1.93781518936E+00   5.00000007451E-02  Obs_34      
  -9.99000000000E+02   5.00000007451E-02  Obs_35      
  -9.99000000000E+02   5.00000007451E-02  Obs_36      
  -9.99000000000E+02   5.00000007451E-02  Obs_37      
   1.60732913017E+00   5.00000007451E-02  Obs_38      
   3.58045101166E+00   5.00000007451E-02  Obs_39      
   3.79579639435E+00   5.00000007451E-02  Obs_40      
   2.98093867302E+00   5.00000007451E-02  Obs_41      
   5.91627168655E+00   2.00000002980E-01  Obs_42      
   5.64588499069E+00   4.00000005960E-01  Obs_43      
   4.70804500580E+00   3.00000011921E-01  Obs_44      
   5.04904985428E+00   6.00000023842E-01  Obs_45      
   8.47609806061E+00   2.29999995232E+00  Obs_46      
   7.71350240707E+00   2.59999990463E+00  Obs_47      
   8.89194774628E+00   3.50000000000E+00  Obs_48      
  -9.99000000000E+02   5.00000007451E-02  Obs_49      
  -9.99000000000E+02   5.00000007451E-02  Obs_50      
   1.59943139553E+00   5.00000007451E-02  Obs_51      
   3.84729242325E+00   5.00000007451E-02  Obs_52      
   7.15776586533E+00   1.20000004768E+00  Obs_53      
   3.68092393875E+00   5.00000007451E-02  Obs_54      
   9.42217063904E+00   3.59999990463E+00  Obs_55      
   7.78854465485E+00   2.42989993095E+00  Obs_56      
  -9.99000000000E+02   5.00000007451E-02  Obs_57      
   9.62122738361E-01   5.00000007451E-02  Obs_58      
