"SIMULATED EQUIVALENT"   "OBSERVED VALUE"    "OBSERVATION NAME"
   2.22994327545E+00   5.50000000000E+00  FLI182      
   1.10428218842E+01   2.00000002980E-01  214601      
   1.10683069229E+01   4.00000005960E-01  214602      
   1.08861303329E+01   3.00000011921E-01  Taputimuwind
   1.09425811768E+01   6.00000023842E-01  214604      
   1.12282333374E+01   2.59999990463E+00  Malaeloa70  
   1.12281150818E+01   2.29999995232E+00  MOA15       
   1.13060417175E+01   3.50000000000E+00  MOA169      
   1.12895469666E+01   1.20000004768E+00  Puapua47    
   1.13818168640E+01   3.59999990463E+00  TGH1        
   1.13704662323E+01   1.20000004768E+00  Malaeloa92  
   1.14582757950E+01   1.79999995232E+00  Malaeloa91  
   1.17781791687E+01   1.89999997616E+00  TGH3        
   1.18069839478E+01   1.29999995232E+00  PAV177      
   1.18511686325E+01   8.99999976158E-01  Iliili79    
   1.18554058075E+01   2.59999990463E+00  Iliili62    
   1.17413311005E+01   4.47000007629E+01  MES6        
   1.19247961044E+01   1.60000002384E+00  ILI76       
   1.19299068451E+01   1.79999995232E+00  Iliili74    
   1.17617359161E+01   3.00000000000E+00  194407      
   1.19960012436E+01   1.79999995232E+00  Iliili84    
   1.16516990662E+01   5.90000009537E+00  MMI3        
   1.16950721741E+01   8.19999980927E+00  Malaeimi109 
   1.17822294235E+01   6.00000000000E+00  Malaeimi89  
   1.18226222992E+01   3.20000004768E+00  Malaeimi67  
   1.04374990463E+01   1.65000000000E+01  MMI4        
   1.17505273819E+01   2.53999996185E+01  194409      
   1.22307529449E+01   6.00000023842E-01  214301      
   1.17694759369E+01   2.02999992371E+01  MMI1        
   1.19567403793E+01   1.79999995232E+00  TAF72       
   1.21504659653E+01   3.00000011921E-01  204301      
   1.23527870178E+01   5.00000000000E-01  204302      
   1.20938520432E+01   1.00000000000E+00  194302      
   2.62372803688E+00   6.25000000000E+01  VAI183      
   9.41917324066E+00   1.58000001907E+01  NUULI24B    
  -9.99000000000E+02   1.20000004768E+00  Pago100(wate
   2.18115139008E+00   7.30000019073E+00  PAGO163     
  -9.99000000000E+02   1.20000004768E+00  PAGOTANK24  
   2.06075119972E+00   3.00000000000E+00  Pagoplaza12 
   4.03441762924E+00   2.70000004768E+00  FALU179     
   3.61574888229E+00   6.09999990463E+00  174101      
   2.27463722229E+00   1.00000001490E-01  UTULEI3     
   1.81976473331E+00   2.70000004768E+00  Sailele130  
   3.60833239555E+00   5.30000019073E+00  163502      
   3.43076395988E+00   5.69999980927E+00  163301      
   1.17359304428E+01   1.23500003815E+01  MALAEIMI88  
   1.15691013336E+01   2.11000003815E+01  MMI2        
   1.18288745880E+01   5.30000019073E+00  Malaeimi69  
   1.19809923172E+01   8.75000000000E-01  194311      
   1.19954977036E+01   1.93330001831E+00  194304      
   2.23647642136E+00   9.17500019073E+00  164204      
   2.32289695740E+00   1.64666996002E+01  Pago107     
   2.32669711113E+00   6.65000009537E+00  Fagatogo102 
  -9.99000000000E+02   8.14999961853E+00  VATI170     
   1.65455615520E+00   5.56669998169E+00  163903      
   1.60432839394E+00   4.90000009537E+00  AUA98       
   2.50933623314E+00   6.65000009537E+00  LAU96       
   2.03190469742E+00   3.04999995232E+00  153401      
