Well #,Discharge pressure [PSI],Flow [GPM],Meter reading ,Chloride [mg/L],Time (type in) ,Date,Time actual
70,,,,,,,
91,,,,,,,
83,,,,,,,
93,,,,,,,
168,,,,,,,
169,,,,,,,
119,86,,77724,,1315,2/11/15,1:15 PM
128,,,,,,,
129,,,,,,,
62,0,,26534,,1305,2/11/15,1:05 PM
76,0,,92577,,1255,2/11/15,12:55 PM
84,20,,37802,,1245,2/11/15,12:45 PM
167,,,,,,,
177,55,,24000,,1325,2/11/15,1:25 PM
178,,,,,,,
85,,,,,,,
89,,,,,,,
61,0,,61898,,1230,2/11/15,12:30 PM
60,15,,26315,,1220,2/11/15,12:20 PM
66,20,,42816,,1210,2/11/15,12:10 PM
46,,,2382,,,,
33,20,,19681,,1200,2/11/15,12:00 PM
77,15,,77581,,1150,2/11/15,11:50 AM
72,0,,47,,1145,2/11/15,11:45 AM
81,0,,93289,,1135,2/11/15,11:35 AM
67,,,,,,,
171,20,,90519,,1345,2/11/15,1:45 PM
172,20,,36206,,1355,2/11/15,1:55 PM
182,,,,,,,
179,,,,,,,
101,,,,,,,
105,,,,,,,
107,,,,,,,
163,95,,19744,,750,2/11/15,7:50 AM
165,,,,,,,
183,,,,,,,
143,,,,,,,
97,40,,60264,,825,2/11/15,8:25 AM
99,10,,73639,,815,2/11/15,8:15 AM
176,,,,,,,
170,,,,,,,
180,,,,,,,
164,,,,,,,
241,,,,,,,
242,,,,,,,
151,,,,,,,
152,,,,,,,
161,,,,,,,
104,,,,,,,
302,,,,,,,
202,,,,,,,
204,,,,,,,
207,,,,,,,
213,,,,,,,
