Well #,Discharge pressure [PSI],Flow [GPM],Meter reading ,Chloride [mg/L],Time (type in) ,Date,Time actual
70,82,400,526713,40,1105,8/5/15,11:05 AM
91,76,322,143682,40,1035,8/5/15,10:35 AM
83,95,260,447768,30,1045,8/5/15,10:45 AM
93,80,260,148600,35,1025,8/5/15,10:25 AM
168,109,260,,30,1055,8/5/15,10:55 AM
169,104,300,,30,1105,8/5/15,11:05 AM
119,86,240,839346,115,1015,8/5/15,10:15 AM
128,122,25,477285,25,1145,8/5/15,11:45 AM
129,,,,,,,
62,0,260,327006,120,1005,8/5/15,10:05 AM
76,0,340,7711,130,955,8/5/15,9:55 AM
84,20,320,458010,500,935,8/5/15,9:35 AM
167,0,240,18361,115,945,8/5/15,9:45 AM
177,65,,198759,280,1135,8/5/15,11:35 AM
178,90,100,382580,35,1125,8/5/15,11:25 AM
85,54,400,110701,35,1155,8/5/15,11:55 AM
89,60,140,16537,30,1205,8/5/15,12:05 PM
61,0,220,671705,280,915,8/5/15,9:15 AM
60,10,340,348064,240,910,8/5/15,9:10 AM
66,0,280,501852,300,900,8/5/15,9:00 AM
46,28,0,28070,125,840,8/5/15,8:40 AM
33,0,220,240313,320,835,8/5/15,8:35 AM
77,16,280,139029,260,825,8/5/15,8:25 AM
72,0,250,63174,45,815,8/5/15,8:15 AM
81,0,350,16493,30,810,8/5/15,8:10 AM
67,62,180,402528,35,1215,8/5/15,12:15 PM
171,20,270,970618,420,1230,8/5/15,12:30 PM
172,20,270,427779,480,1240,8/5/15,12:40 PM
182,,,,,700,8/6/15,7:00 AM
179,52,28,72174,30,715,8/6/15,7:15 AM
101,58,520,45895,30,827,8/6/15,8:27 AM
105,60,97,782816,35,830,8/6/15,8:30 AM
107,64,340,172502,85,756,8/6/15,7:56 AM
163,115,131,228204,840,817,8/6/15,8:17 AM
165,94,205,77705,30,808,8/6/15,8:08 AM
183,,,,,,,
143,12,120,407799,25,923,8/6/15,9:23 AM
97,36,174,656244,1500,949,8/6/15,9:49 AM
99,9,160,771955,820,1001,8/6/15,10:01 AM
176,,,,,,,
170,,,,,,,
180,,,,,,,
164,,,,,,,
241,,,,,,,
242,,,,,,,
151,,,,,,,
152,,,,,,,
161,,,,,,,
104,,,,,,,
302,,,,,,,
202,,,,,,,
204,,,,,,,
207,,,,,,,
213,,,,,,,
