Well #,Discharge pressure [PSI],Flow [GPM],Meter reading ,Chloride [mg/L],Time (type in) ,Date,Time actual
70,24,404,307975,40,840,3/7/16,8:40 AM
91,76,323,905237,35,820,3/7/16,8:20 AM
83,97,262,125270,30,825,3/7/16,8:25 AM
93,79,98,650670,35,815,3/7/16,8:15 AM
168,95,224,903144,30,830,3/7/16,8:30 AM
169,110,421,132023,35,835,3/7/16,8:35 AM
119,78,260,915931,440,807,3/7/16,8:07 AM
128,,,,,,,
129,120,24,550299,25,1028,3/7/16,10:28 AM
62,2,247,524319,240,754,3/7/16,7:54 AM
76,1,210,596148,125,745,3/7/16,7:45 AM
84,12,240,386599,500,723,3/7/16,7:23 AM
167,4,250,502066,110,735,3/7/16,7:35 AM
177,51,432,125462,280,1007,3/7/16,10:07 AM
178,84,94,224417,25,958,3/7/16,9:58 AM
85,70,320,212254,30,1048,3/7/16,10:48 AM
89,48,160,67550,30,1055,3/7/16,10:55 AM
61,10,200,737904,360,708,3/7/16,7:08 AM
60,25,330,440920,400,702,3/7/16,7:02 AM
66,24,267,737085,400,654,3/7/16,6:54 AM
46,,,29101,,645,3/7/16,6:45 AM
33,28,190,285265,320,645,3/7/16,6:45 AM
77,18,221,539531,520,618,3/7/16,6:18 AM
72,0,220,136138,130,627,3/7/16,6:27 AM
81,15,280,180259,90,636,3/7/16,6:36 AM
67,51,199,516412,40,1100,3/7/16,11:00 AM
171,15,234,375817,360,1415,3/7/16,2:15 PM
172,12,239,110963,320,1420,3/7/16,2:20 PM
182,,,6836,,920,3/7/16,9:20 AM
179,74,22,778902,30,620,3/8/16,6:20 AM
101,48,520,208399,40,639,3/8/16,6:39 AM
105,59,0,629255,85,714,3/8/16,7:14 AM
107,54,342,831162,90,707,3/8/16,7:07 AM
163,80,150,269671,1020,700,3/8/16,7:00 AM
165,79,198,382074,25,727,3/8/16,7:27 AM
183,0,240,123546,25,735,3/8/16,7:35 AM
143,,,432081,,750,3/8/16,7:50 AM
97,30,190,719807,1560,820,3/8/16,8:20 AM
99,10,160,813779,820,830,3/8/16,8:30 AM
176,,,122090,,846,3/8/16,8:46 AM
144,10,110,28232,25,755,3/8/16,7:55 AM
170,12,17,102277,25,910,3/8/16,9:10 AM
180,0,16,337260,25,905,3/9/16,9:05 AM
164,60,30,939618,1480,714,3/9/16,7:14 AM
241,58,32,435227,25,743,3/9/16,7:43 AM
242,65,38,90320,25,748,3/9/16,7:48 AM
151,30,0,247987,110,822,3/9/16,8:22 AM
152,62,23,582356,440,830,3/9/16,8:30 AM
161,,,675683,,850,3/9/16,8:50 AM
104,39,15,241450,60,905,3/9/16,9:05 AM
302,,,,,,,
202,,,,,,,
204,,,,,,,
207,,,,,,,
213,,,,,,,
