simulation month frag_zone year random_number selected_set
1 1 1 1 0.7188007763733492 1
1 1 2 1 0.39924926894157264 1
1 1 3 1 0.8631225736774533 2
1 1 4 1 0.04971329943653269 1
1 1 5 1 0.15773286378117313 1
1 1 6 1 0.27054731318937797 1
1 1 7 1 0.9360647701839412 2
1 1 8 1 0.09151466582173473 2
1 1 9 1 0.7544437464608126 1
1 1 10 1 0.04572418297563241 1
1 1 11 1 0.5171170033477901 2
1 1 12 1 0.02392836493029793 2
1 1 13 1 0.7274561914319737 2
1 1 14 1 0.438504849191634 2
1 1 15 1 0.8247987461366139 1
1 1 16 1 0.9751616768603789 2
1 1 17 1 0.6727332693369259 1
1 1 18 1 0.7387241760874703 2
1 2 1 1 0.4852632670986802 1
1 2 2 1 0.42312117177641617 2
1 2 3 1 0.46096121252131506 2
1 2 4 1 0.6743366895640185 2
1 2 5 1 0.8826922583681015 2
1 2 6 1 0.6224805863306266 1
1 2 7 1 0.026059781138421112 2
1 2 8 1 0.8787608570023844 1
1 2 9 1 0.07362807238809621 2
1 2 10 1 0.7913868327215599 1
1 2 11 1 0.807427169164245 2
1 2 12 1 0.8491925168707477 1
1 2 13 1 0.3596691821425837 1
1 2 14 1 0.5366744608577472 1
1 2 15 1 0.6852708597028545 1
1 2 16 1 0.9392986261352161 2
1 2 17 1 0.9819222822817677 1
1 2 18 1 0.2723095052037645 1
1 3 1 1 0.4748035670071158 1
1 3 2 1 0.027545031670993425 2
1 3 3 1 0.362599375514691 1
1 3 4 1 0.4585266042024404 2
1 3 5 1 0.7499901492890154 1
1 3 6 1 0.45864563599229513 1
1 3 7 1 0.8711636269361713 1
1 3 8 1 0.5290905989107438 2
1 3 9 1 0.41628142948941704 2
1 3 10 1 0.870881764102857 1
1 3 11 1 0.10498198450229967 1
1 3 12 1 0.3669074631610477 1
1 3 13 1 0.6727167073948579 2
1 3 14 1 0.26370962346829496 1
1 3 15 1 0.9479883653106462 1
1 3 16 1 0.40663045310865353 2
1 3 17 1 0.1478511262158545 2
1 3 18 1 0.07700610138385533 1
1 4 1 1 0.24036493889416144 2
1 4 2 1 0.3517116301697064 2
1 4 3 1 0.3633664572368114 1
1 4 4 1 0.6772767610331644 1
1 4 5 1 0.766791382660786 2
1 4 6 1 0.01382573338685189 1
1 4 7 1 0.7517993986904052 2
1 4 8 1 0.8384146597779587 2
1 4 9 1 0.6531789601711439 2
1 4 10 1 0.6248750830196907 1
1 4 11 1 0.8224570454555153 2
1 4 12 1 0.2861348969968316 2
1 4 13 1 0.583743517463451 1
1 4 14 1 0.06175900712500082 1
1 4 15 1 0.6265365792102808 1
1 4 16 1 0.5411022307637979 2
1 4 17 1 0.7015331878257073 1
1 4 18 1 0.22217726904782897 1
1 5 1 1 0.7949160444811308 1
1 5 2 1 0.22509173360787105 2
1 5 3 1 0.5267242397621282 1
1 5 4 1 0.6379611775908742 1
1 5 5 1 0.9806782458181138 2
1 5 6 1 0.9031768596931666 2
1 5 7 1 0.46532561113984394 2
1 5 8 1 0.15150821898440958 2
1 5 9 1 0.4907533339199752 1
1 5 10 1 0.17185817203146858 1
1 5 11 1 0.5362091471585304 2
1 5 12 1 0.9976269915396948 1
1 5 13 1 0.08151505380864654 1
1 5 14 1 0.9626675099192185 2
1 5 15 1 0.7577923062991925 2
1 5 16 1 0.1782010044049651 1
1 5 17 1 0.43200224579720603 1
1 5 18 1 0.8684993896647614 2
1 6 1 1 0.28436069173811973 1
1 6 2 1 0.9775076987009239 2
1 6 3 1 0.1963482070959487 2
1 6 4 1 0.04836266052938076 1
1 6 5 1 0.970527319327756 1
1 6 6 1 0.2904322161931565 1
1 6 7 1 0.5920431244269019 2
1 6 8 1 0.014681399759820302 1
1 6 9 1 0.2707413074487248 1
1 6 10 1 0.0538389929843881 1
1 6 11 1 0.3124805965305383 2
1 6 12 1 0.525715707369041 1
1 6 13 1 0.502206131202819 2
1 6 14 1 0.5853408962003294 2
1 6 15 1 0.8047407000147331 2
1 6 16 1 0.02601948912612917 1
1 6 17 1 0.0037951570742162932 1
1 6 18 1 0.3313000941514591 2
1 7 1 1 0.8220748755367007 1
1 7 2 1 0.1906764164371927 2
1 7 3 1 0.40705700625429586 1
1 7 4 1 0.8829832322821831 1
1 7 5 1 0.8398033541928193 2
1 7 6 1 0.3616116747748286 2
