,SHED_NAME,actual_et,direct_net_infiltation,direct_soil_moisture,interception,net_infiltration,rainfall,runoff
0,Fagatuitui - Vaaogeoge,0.07784936122637609,0.0,0.0,0.12050987210063324,0.5376581699602949,1.0,0.3129555776342709
1,Vatia,0.09468392520637929,0.009537432823898063,0.0006910441447120219,0.11114881986189766,0.5413661600201749,1.0,0.30524136554965164
2,Tula,0.2491636360721518,0.05612037620608783,0.001397497082094577,0.11620886963662384,0.499752719697134,1.0,0.2132704775935476
3,Onenoa,0.21114436831786132,0.027477588605070005,0.0007479608726129131,0.14082607325242116,0.5076410405331708,1.0,0.199845171504127
4,Afono,0.10501944038088766,0.010349496829490976,0.00034334914660559074,0.07968294388717743,0.540787305379705,1.0,0.33290370274274406
5,Masefau,0.11889743370821511,0.02380984561194502,0.00012493578819588693,0.1063495075499255,0.5635928367897632,1.0,0.2628869710964029
6,Aoa,0.19552894905920262,0.026477491064838137,0.0003014801171318023,0.12443591825071715,0.5197477021083406,1.0,0.25285187440744405
7,Masausi,0.15969296321761262,0.04124833889082924,0.0007316778686128796,0.1498604319969704,0.5779852718370901,1.0,0.17258329846561107
8,Sailele,0.17636083394213123,0.04835368165927863,0.002225630736237929,0.1344985746557885,0.5425067659857611,1.0,0.20096703873747276
9,Alao,0.22164199232109624,0.05540250231686383,0.0009593507109240336,0.13061799789154638,0.4752711368375628,1.0,0.22744046758386083
10,Pago Pago Harbor,0.1131291841746267,0.03080273388903908,0.0025763376203635363,0.06976266703455711,0.5610177815932426,1.0,0.27400230314168134
11,Fagaitua,0.13920998159238585,0.030066487203084916,0.0006782970947001939,0.13099531894508235,0.5933009778417584,1.0,0.17049853434749826
12,Auasi,0.21258849827445597,0.033951527787005054,0.0,0.14219962316040155,0.4651001449245273,1.0,0.22418980373657302
13,Amouli,0.2235638422632109,0.050544403477915445,0.00034457786595706115,0.13030097131564253,0.5150841840368414,1.0,0.1919637545077978
14,Alega,0.09199842353839317,0.007818324728218291,0.0,0.10365749748135485,0.6037215898912981,1.0,0.22549229936459678
15,Laulii - Aumi,0.1206685307003772,0.009601220820331952,0.0004305694764602935,0.08694632979996732,0.5576537315203837,1.0,0.2537546857149004
16,Fagasa,0.08390487760932214,0.010919444385498448,0.0008861147608525381,0.0699497517099177,0.5433351487348878,1.0,0.34506357282064076
17,Aasu,0.08950223088075232,0.005160661568982654,0.00011624857348534995,0.09019177874596222,0.6118555086452684,1.0,0.24030097815783683
18,Fagaalu,0.0963990763635611,0.01716426570953629,0.0015956039313243329,0.07950318169924232,0.5675563186608379,1.0,0.2840108517813008
19,Aoloau Sisifo,0.08895512208665561,0.0,0.0,0.11643854788223902,0.527599093339903,1.0,0.3961705534139978
20,Aoloau Sasae,0.08082614717407369,0.0010474182237846293,0.0,0.09563505950573009,0.6255523498458788,1.0,0.22590495875093236
21,Fagamalo,0.09838360746685014,0.0066317089093461505,0.00018425679263662896,0.11372206429526595,0.44968761019338754,1.0,0.3862590505325511
22,Matuu - Faganeanea,0.08908513349567032,0.010618757137593962,0.0007712293731253387,0.09690218570667294,0.5357280588933035,1.0,0.2965304105381199
23,Nuuuli Pala,0.14636395241453853,0.08481520021924731,0.002809555378938199,0.06516816456822545,0.6384872555265358,1.0,0.22349904215059047
24,Maloata,0.08544539739862324,0.00868725339538611,0.0,0.11141560195466346,0.4860728303501587,1.0,0.38786691523674505
25,Fagalii,0.12734815416895706,0.026942827713573803,0.00041995368053971424,0.13010934917137448,0.4435655756874543,1.0,0.3890874355904359
26,Afao - Asili,0.09703929385979677,0.0044090993746843925,0.00012094635702080596,0.10792849732180122,0.5206335502088728,1.0,0.30814188750409616
27,Leone,0.19963480454413127,0.06224349011396823,0.00039443627445811055,0.06841773287183461,0.6544507702043534,1.0,0.14600996564921284
28,Poloa,0.16268906067763325,0.04941163808678003,0.0004568313412523523,0.13891327399536427,0.43903242917983293,1.0,0.3556142658509383
29,Nua - Seetaga,0.12154375828139782,0.005662010954283208,0.0001264594476677503,0.12733602198673927,0.43243588045424153,1.0,0.3507603589605815
30,Tafuna Plain,0.3336234928689503,0.0895592693886327,0.00341202002980521,0.021294055197903474,0.639742692089521,1.0,0.06883207586451204
31,Amanave,0.17431671380967068,0.02280782304187311,0.0018715391194955,0.1389243497680948,0.3907259013422186,1.0,0.3504386806523002
32,Fagatele - Larsen,0.23346869275561405,0.01378879665707982,0.0001523652029641034,0.1172836231193246,0.5964305393373938,1.0,0.06499874163411903
