Date,Time,Abs Pres (psi) c:1 2,Temp (°F) c:2,Coupler Detached,Coupler Attached,Host Connected,Stopped,End Of File
07/19/16,16:00:00,14.6594,72.372,Logged,,,,
07/19/16,16:15:00,14.6585,72.545,,,,,
07/19/16,16:30:00,14.6582,72.891,,,,,
07/19/16,16:45:00,14.6577,73.580,,,,,
07/19/16,17:00:00,14.6579,74.098,,,,,
07/19/16,17:15:00,14.6613,74.619,,,,,
07/19/16,17:30:00,14.6632,75.139,,,,,
07/19/16,17:45:00,14.6614,75.484,,,,,
07/19/16,18:00:00,14.6680,76.006,,,,,
07/19/16,18:15:00,14.6768,76.354,,,,,
07/19/16,18:30:00,14.6822,76.528,,,,,
07/19/16,18:45:00,14.6849,76.876,,,,,
07/19/16,19:00:00,14.6880,76.876,,,,,
07/19/16,19:15:00,14.6855,77.050,,,,,
07/19/16,19:30:00,14.6871,77.050,,,,,
07/19/16,19:45:00,14.6862,77.225,,,,,
07/19/16,20:00:00,14.6830,77.225,,,,,
07/19/16,20:15:00,14.6893,77.225,,,,,
07/19/16,20:30:00,14.6862,77.225,,,,,
07/19/16,20:45:00,14.6877,77.225,,,,,
07/19/16,21:00:00,14.6893,77.225,,,,,
07/19/16,21:15:00,14.6893,77.225,,,,,
07/19/16,21:30:00,14.6909,77.225,,,,,
07/19/16,21:45:00,14.6901,77.050,,,,,
07/19/16,22:00:00,14.6932,77.050,,,,,
07/19/16,22:15:00,14.6932,77.050,,,,,
07/19/16,22:30:00,14.6926,76.876,,,,,
07/19/16,22:45:00,14.6910,76.876,,,,,
07/19/16,23:00:00,14.6865,76.876,,,,,
07/19/16,23:15:00,14.6874,76.703,,,,,
07/19/16,23:30:00,14.6888,76.703,,,,,
07/19/16,23:45:00,14.6874,76.703,,,,,
07/20/16,00:00:00,14.6888,76.703,,,,,
07/20/16,00:15:00,14.6920,76.703,,,,,
07/20/16,00:30:00,14.6904,76.703,,,,,
07/20/16,00:45:00,14.6888,76.703,,,,,
07/20/16,01:00:00,14.6858,76.703,,,,,
07/20/16,01:15:00,14.6874,76.703,,,,,
07/20/16,01:30:00,14.6858,76.703,,,,,
07/20/16,01:45:00,14.6812,76.703,,,,,
07/20/16,02:00:00,14.6803,76.876,,,,,
07/20/16,02:15:00,14.6803,76.876,,,,,
07/20/16,02:30:00,14.6803,76.876,,,,,
07/20/16,02:45:00,14.6788,76.876,,,,,
07/20/16,03:00:00,14.6742,76.876,,,,,
07/20/16,03:15:00,14.6711,76.876,,,,,
07/20/16,03:30:00,14.6696,76.876,,,,,
07/20/16,03:45:00,14.6665,76.876,,,,,
07/20/16,04:00:00,14.6687,77.050,,,,,
07/20/16,04:15:00,14.6687,77.050,,,,,
07/20/16,04:30:00,14.6687,77.050,,,,,
07/20/16,04:45:00,14.6687,77.050,,,,,
07/20/16,05:00:00,14.6671,77.050,,,,,
07/20/16,05:15:00,14.6662,77.225,,,,,
07/20/16,05:30:00,14.6662,77.225,,,,,
07/20/16,05:45:00,14.6709,77.225,,,,,
07/20/16,06:00:00,14.6709,77.225,,,,,
07/20/16,06:15:00,14.6693,77.225,,,,,
07/20/16,06:30:00,14.6730,77.400,,,,,
07/20/16,06:45:00,14.6761,77.400,,,,,
07/20/16,07:00:00,14.6775,77.400,,,,,
07/20/16,07:15:00,14.6791,77.400,,,,,
07/20/16,07:30:00,14.6791,77.400,,,,,
07/20/16,07:45:00,14.6852,77.400,,,,,
07/20/16,08:00:00,14.6865,76.876,,,,,
07/20/16,08:15:00,14.6901,76.181,,,,,
07/20/16,08:30:00,14.6939,75.139,,,,,
07/20/16,08:45:00,14.6945,74.446,,,,,
07/20/16,09:00:00,14.6967,73.753,,,,,
07/20/16,09:15:00,14.6973,73.062,,,,,
07/20/16,09:30:00,14.6984,72.545,,,,,
07/20/16,09:45:00,14.6941,72.199,,,,,
07/20/16,10:00:00,14.6935,72.028,,,,,
07/20/16,10:15:00,14.6907,71.683,,,,,
07/20/16,10:30:00,14.6932,71.512,,,,,
07/20/16,10:45:00,14.6880,71.339,,,,,
07/20/16,11:00:00,14.6880,71.339,,,,,
07/20/16,11:15:00,14.6874,71.168,,,,,
07/20/16,11:30:00,14.6858,71.168,,,,,
07/20/16,11:45:00,14.6797,71.168,,,,,
07/20/16,12:00:00,14.6787,71.339,,,,,
07/20/16,12:15:00,14.6732,71.512,,,,,
07/20/16,12:30:00,14.6713,71.856,,,,,
07/20/16,12:45:00,14.6674,72.028,,,,,
07/20/16,13:00:00,14.6633,72.199,,,,,
07/20/16,13:15:00,14.6616,72.545,,,,,
07/20/16,13:30:00,14.6578,72.372,,,,,
07/20/16,13:45:00,14.6572,72.199,,,,,
07/20/16,14:00:00,14.6542,72.199,,,,,
07/20/16,14:15:00,14.6504,72.028,,,,,
07/20/16,14:30:00,14.6490,72.028,,,,,
07/20/16,14:45:00,14.6452,71.856,,,,,
07/20/16,15:00:00,14.6465,72.199,,,,,
07/20/16,15:15:00,14.6421,72.718,,,,,
07/20/16,15:30:00,14.6434,73.062,,,,,
07/20/16,15:45:00,14.6410,73.234,,,,,
07/20/16,16:00:00,14.6423,73.580,,,,,
07/20/16,16:15:00,14.6432,74.271,,,,,
07/20/16,16:30:00,14.6433,75.139,,,,,
07/20/16,16:45:00,14.6449,76.006,,,,,
07/20/16,17:00:00,14.6490,76.703,,,,,
07/20/16,17:15:00,14.6492,77.225,,,,,
07/20/16,17:30:00,14.6503,77.923,,,,,
07/20/16,17:45:00,14.6500,78.274,,,,,
07/20/16,18:00:00,14.6513,78.624,,,,,
07/20/16,18:15:00,14.6510,78.975,,,,,
07/20/16,18:30:00,14.6553,79.326,,,,,
07/20/16,18:45:00,14.6575,79.502,,,,,
07/20/16,19:00:00,14.6575,79.502,,,,,
07/20/16,19:15:00,14.6597,79.678,,,,,
07/20/16,19:30:00,14.6635,79.853,,,,,
07/20/16,19:45:00,14.6651,79.853,,,,,
07/20/16,20:00:00,14.6696,79.853,,,,,
07/20/16,20:15:00,14.6696,79.853,,,,,
07/20/16,20:30:00,14.6696,79.853,,,,,
07/20/16,20:45:00,14.6665,79.853,,,,,
07/20/16,21:00:00,14.6696,79.853,,,,,
07/20/16,21:15:00,14.6681,79.853,,,,,
