"Date","Time, GMT-11:00","Abs Pres, psi","Temp, °F","Coupler Detached","End Of File"
09/18/18,04:00:00 PM,14.6002,76.354,Logged,
09/18/18,04:15:00 PM,14.5988,76.354,,
09/18/18,04:30:00 PM,14.5988,76.354,,
09/18/18,04:45:00 PM,14.5983,76.181,,
09/18/18,05:00:00 PM,14.6012,76.181,,
09/18/18,05:15:00 PM,14.6021,76.006,,
09/18/18,05:30:00 PM,14.6017,75.832,,
09/18/18,05:45:00 PM,14.6054,75.659,,
09/18/18,06:00:00 PM,14.6065,75.484,,
09/18/18,06:15:00 PM,14.6065,75.484,,
09/18/18,06:30:00 PM,14.6102,75.312,,
09/18/18,06:45:00 PM,14.6141,75.139,,
09/18/18,07:00:00 PM,14.6141,75.139,,
09/18/18,07:15:00 PM,14.6224,74.964,,
09/18/18,07:30:00 PM,14.6160,74.791,,
09/18/18,07:45:00 PM,14.6170,74.619,,
09/18/18,08:00:00 PM,14.6170,74.619,,
09/18/18,08:15:00 PM,14.6228,74.619,,
09/18/18,08:30:00 PM,14.6258,74.619,,
09/18/18,08:45:00 PM,14.6272,74.619,,
09/18/18,09:00:00 PM,14.6266,74.446,,
09/18/18,09:15:00 PM,14.6281,74.446,,
09/18/18,09:30:00 PM,14.6305,74.271,,
09/18/18,09:45:00 PM,14.6291,74.271,,
09/18/18,10:00:00 PM,14.6314,74.098,,
09/18/18,10:15:00 PM,14.6281,73.926,,
09/18/18,10:30:00 PM,14.6310,73.926,,
09/18/18,10:45:00 PM,14.6310,73.926,,
09/18/18,11:00:00 PM,14.6368,73.926,,
09/18/18,11:15:00 PM,14.6320,73.753,,
09/18/18,11:30:00 PM,14.6329,73.580,,
09/18/18,11:45:00 PM,14.6343,73.580,,
09/19/18,12:00:00 AM,14.6300,73.580,,
09/19/18,12:15:00 AM,14.6295,73.407,,
09/19/18,12:30:00 AM,14.6295,73.407,,
09/19/18,12:45:00 AM,14.6237,73.407,,
09/19/18,01:00:00 AM,14.6208,73.407,,
09/19/18,01:15:00 AM,14.6247,73.234,,
09/19/18,01:30:00 AM,14.6252,72.891,,
09/19/18,01:45:00 AM,14.6227,72.545,,
09/19/18,02:00:00 AM,14.6227,72.028,,
09/19/18,02:15:00 AM,14.6188,71.683,,
09/19/18,02:30:00 AM,14.6136,71.339,,
09/19/18,02:45:00 AM,14.6130,71.168,,
09/19/18,03:00:00 AM,14.6126,70.995,,
09/19/18,03:15:00 AM,14.6092,70.824,,
09/19/18,03:30:00 AM,14.6136,70.824,,
09/19/18,03:45:00 AM,14.6115,70.651,,
09/19/18,04:00:00 AM,14.6111,70.480,,
09/19/18,04:15:00 AM,14.6136,70.308,,
09/19/18,04:30:00 AM,14.6107,70.308,,
09/19/18,04:45:00 AM,14.6130,70.137,,
09/19/18,05:00:00 AM,14.6169,69.964,,
09/19/18,05:15:00 AM,14.6188,69.622,,
09/19/18,05:30:00 AM,14.6227,69.449,,
09/19/18,05:45:00 AM,14.6279,69.278,,
09/19/18,06:00:00 AM,14.6304,69.107,,
09/19/18,06:15:00 AM,14.6343,68.934,,
09/19/18,06:30:00 AM,14.6343,68.934,,
09/19/18,06:45:00 AM,14.6343,68.934,,
09/19/18,07:00:00 AM,14.6343,68.934,,
09/19/18,07:15:00 AM,14.6352,68.763,,
09/19/18,07:30:00 AM,14.6381,68.763,,
09/19/18,07:45:00 AM,14.6366,68.763,,
09/19/18,08:00:00 AM,14.6352,68.763,,
09/19/18,08:15:00 AM,14.6343,68.934,,
09/19/18,08:30:00 AM,14.6358,68.934,,
09/19/18,08:45:00 AM,14.6347,69.107,,
09/19/18,09:00:00 AM,14.6376,69.107,,
09/19/18,09:15:00 AM,14.6395,69.278,,
09/19/18,09:30:00 AM,14.6424,69.278,,
09/19/18,09:45:00 AM,14.6445,69.449,,
09/19/18,10:00:00 AM,14.6445,69.449,,
09/19/18,10:15:00 AM,14.6449,69.622,,
09/19/18,10:30:00 AM,14.6410,69.793,,
09/19/18,10:45:00 AM,14.6387,69.964,,
09/19/18,11:00:00 AM,14.6347,70.137,,
09/19/18,11:15:00 AM,14.6308,70.308,,
09/19/18,11:30:00 AM,14.6275,70.651,,
09/19/18,11:45:00 AM,14.6194,70.824,,
09/19/18,12:00:00 PM,14.6130,71.168,,
09/19/18,12:15:00 PM,14.6107,71.339,,
09/19/18,12:30:00 PM,14.6068,71.512,,
09/19/18,12:45:00 PM,14.5986,71.683,,
09/19/18,01:00:00 PM,14.5991,71.856,,
09/19/18,01:15:00 PM,14.5918,71.856,,
09/19/18,01:30:00 PM,14.5893,72.028,,
09/19/18,01:45:00 PM,14.5860,72.372,,
09/19/18,02:00:00 PM,14.5822,72.545,,
09/19/18,02:15:00 PM,14.5798,72.718,,
09/19/18,02:30:00 PM,14.5779,73.062,,
09/19/18,02:45:00 PM,14.5798,73.234,,
09/19/18,03:00:00 PM,14.5760,73.407,,
09/19/18,03:15:00 PM,14.5764,73.580,,
09/19/18,03:30:00 PM,14.5798,73.753,,
09/19/18,03:45:00 PM,14.5812,73.753,,
09/19/18,04:00:00 PM,14.5847,73.926,,
09/19/18,04:15:00 PM,14.5866,74.098,,
09/19/18,04:30:00 PM,14.5851,74.098,,
09/19/18,04:45:00 PM,14.5895,74.098,,
09/19/18,05:00:00 PM,14.5928,74.271,,
09/19/18,05:15:00 PM,14.5978,74.964,,
09/19/18,05:30:00 PM,14.5982,75.659,,
09/19/18,05:45:00 PM,14.5944,76.354,,
09/19/18,06:00:00 PM,14.5973,76.876,,
09/19/18,06:15:00 PM,14.5998,77.225,,
09/19/18,06:30:00 PM,14.6008,77.050,,
09/19/18,06:45:00 PM,14.6046,76.876,,
09/19/18,07:00:00 PM,14.6085,77.225,,
09/19/18,07:15:00 PM,14.6139,77.574,,
09/19/18,07:30:00 PM,14.6157,77.749,,
