"Plot Title: Baro3-November "
"#","Date Time, GMT-11:00","Abs Pres, psi (LGR S/N: 20158653, SEN S/N: 20158653)","Temp, °F (LGR S/N: 20158653, SEN S/N: 20158653)","Coupler Detached (LGR S/N: 20158653)","Coupler Attached (LGR S/N: 20158653)","Host Connected (LGR S/N: 20158653)","Stopped (LGR S/N: 20158653)","End Of File (LGR S/N: 20158653)"
1,11/07/19 11:00:00 AM,14.6665,81.266,Logged,,,,
2,11/07/19 11:15:00 AM,14.6632,80.559,,,,,
3,11/07/19 11:30:00 AM,14.6601,80.029,,,,,
4,11/07/19 11:45:00 AM,14.6574,79.678,,,,,
5,11/07/19 12:00:00 PM,14.6569,79.326,,,,,
6,11/07/19 12:15:00 PM,14.6566,79.151,,,,,
7,11/07/19 12:30:00 PM,14.6565,78.975,,,,,
8,11/07/19 12:45:00 PM,14.6516,78.800,,,,,
9,11/07/19 01:00:00 PM,14.6491,78.624,,,,,
10,11/07/19 01:15:00 PM,14.6485,78.274,,,,,
11,11/07/19 01:30:00 PM,14.6461,78.098,,,,,
12,11/07/19 01:45:00 PM,14.6411,77.923,,,,,
13,11/07/19 02:00:00 PM,14.6407,77.574,,,,,
14,11/07/19 02:15:00 PM,14.6379,77.225,,,,,
15,11/07/19 02:30:00 PM,14.6378,77.050,,,,,
16,11/07/19 02:45:00 PM,14.6352,76.876,,,,,
17,11/07/19 03:00:00 PM,14.6282,76.876,,,,,
18,11/07/19 03:15:00 PM,14.6233,76.703,,,,,
19,11/07/19 03:30:00 PM,14.6233,76.703,,,,,
20,11/07/19 03:45:00 PM,14.6233,76.703,,,,,
21,11/07/19 04:00:00 PM,14.6210,76.703,,,,,
22,11/07/19 04:15:00 PM,14.6213,76.876,,,,,
23,11/07/19 04:30:00 PM,14.6236,76.876,,,,,
24,11/07/19 04:45:00 PM,14.6240,77.225,,,,,
25,11/07/19 05:00:00 PM,14.6266,77.400,,,,,
26,11/07/19 05:15:00 PM,14.6268,77.574,,,,,
27,11/07/19 05:30:00 PM,14.6317,77.749,,,,,
28,11/07/19 05:45:00 PM,14.6318,77.923,,,,,
29,11/07/19 06:00:00 PM,14.6342,77.923,,,,,
30,11/07/19 06:15:00 PM,14.6360,77.574,,,,,
31,11/07/19 06:30:00 PM,14.6405,77.400,,,,,
32,11/07/19 06:45:00 PM,14.6379,77.225,,,,,
33,11/07/19 07:00:00 PM,14.6356,77.225,,,,,
34,11/07/19 07:15:00 PM,14.6379,77.225,,,,,
