Date,Time,Abs Pres (psi) c:1 2,Temp (°F) c:2,Coupler Detached,Coupler Attached,Host Connected,Stopped,End Of File
10/05/16,12:30:00,14.6896,86.277,Logged,,,,
10/05/16,12:45:00,14.6854,85.735,,,,,
10/05/16,13:00:00,14.6798,85.554,,,,,
10/05/16,13:15:00,14.6780,85.735,,,,,
10/05/16,13:30:00,14.6785,85.915,,,,,
10/05/16,13:45:00,14.6706,85.735,,,,,
10/05/16,14:00:00,14.6719,86.097,,,,,
10/05/16,14:15:00,14.6742,86.097,,,,,
10/05/16,14:30:00,14.6742,86.097,,,,,
10/05/16,14:45:00,14.6694,86.097,,,,,
10/05/16,15:00:00,14.6719,86.097,,,,,
10/05/16,15:15:00,14.6677,85.554,,,,,
10/05/16,15:30:00,14.6682,85.014,,,,,
10/05/16,15:45:00,14.6690,84.474,,,,,
10/05/16,16:00:00,14.6691,83.757,,,,,
10/05/16,16:15:00,14.6704,83.399,,,,,
10/05/16,16:30:00,14.6655,83.399,,,,,
10/05/16,16:45:00,14.6656,82.686,,,,,
10/05/16,17:00:00,14.6688,82.152,,,,,
10/05/16,17:15:00,14.6696,81.621,,,,,
10/05/16,17:30:00,14.6709,81.266,,,,,
10/05/16,17:45:00,14.6727,81.090,,,,,
10/05/16,18:00:00,14.6746,80.911,,,,,
10/05/16,18:15:00,14.6759,80.559,,,,,
10/05/16,18:30:00,14.6754,80.382,,,,,
10/05/16,18:45:00,14.6797,80.206,,,,,
10/05/16,19:00:00,14.6822,80.206,,,,,
10/05/16,19:15:00,14.6841,80.029,,,,,
10/05/16,19:30:00,14.6841,80.029,,,,,
10/05/16,19:45:00,14.6884,79.853,,,,,
10/05/16,20:00:00,14.6884,79.853,,,,,
10/05/16,20:15:00,14.6932,79.853,,,,,
10/05/16,20:30:00,14.6926,79.678,,,,,
10/05/16,20:45:00,14.6951,79.678,,,,,
10/05/16,21:00:00,14.6951,79.678,,,,,
10/05/16,21:15:00,14.6975,79.678,,,,,
10/05/16,21:30:00,14.7000,79.678,,,,,
10/05/16,21:45:00,14.7025,79.678,,,,,
10/05/16,22:00:00,14.7019,79.502,,,,,
10/05/16,22:15:00,14.7044,79.502,,,,,
10/05/16,22:30:00,14.7019,79.502,,,,,
10/05/16,22:45:00,14.7044,79.502,,,,,
10/05/16,23:00:00,14.7013,79.326,,,,,
10/05/16,23:15:00,14.6988,79.326,,,,,
10/05/16,23:30:00,14.6988,79.326,,,,,
10/05/16,23:45:00,14.6988,79.326,,,,,
10/06/16,00:00:00,14.6988,79.326,,,,,
10/06/16,00:15:00,14.6964,79.326,,,,,
10/06/16,00:30:00,14.6935,79.151,,,,,
10/06/16,00:45:00,14.6910,79.151,,,,,
10/06/16,01:00:00,14.6935,79.151,,,,,
10/06/16,01:15:00,14.6886,79.151,,,,,
10/06/16,01:30:00,14.6886,79.151,,,,,
10/06/16,01:45:00,14.6855,78.975,,,,,
10/06/16,02:00:00,14.6830,78.975,,,,,
10/06/16,02:15:00,14.6783,78.975,,,,,
10/06/16,02:30:00,14.6783,78.975,,,,,
10/06/16,02:45:00,14.6758,78.975,,,,,
10/06/16,03:00:00,14.6733,78.975,,,,,
10/06/16,03:15:00,14.6733,78.975,,,,,
10/06/16,03:30:00,14.6709,78.975,,,,,
10/06/16,03:45:00,14.6733,78.975,,,,,
10/06/16,04:00:00,14.6733,78.975,,,,,
10/06/16,04:15:00,14.6758,78.975,,,,,
10/06/16,04:30:00,14.6783,78.975,,,,,
10/06/16,04:45:00,14.6806,78.975,,,,,
10/06/16,05:00:00,14.6830,78.975,,,,,
10/06/16,05:15:00,14.6880,78.975,,,,,
10/06/16,05:30:00,14.6904,78.975,,,,,
10/06/16,05:45:00,14.6929,78.975,,,,,
10/06/16,06:00:00,14.6923,78.800,,,,,
10/06/16,06:15:00,14.6948,78.800,,,,,
10/06/16,06:30:00,14.6948,78.800,,,,,
10/06/16,06:45:00,14.7002,78.975,,,,,
