Date,Time,Abs Pres (psi) c:1 2,Temp (°F) c:2,Coupler Detached,Coupler Attached,Host Connected,Stopped,End Of File
08/19/16,12:45:00,14.6382,85.554,Logged,,,,
08/19/16,13:00:00,14.6382,82.508,,,,,
08/19/16,13:15:00,14.6352,82.330,,,,,
08/19/16,13:30:00,14.6327,82.330,,,,,
08/19/16,13:45:00,14.6298,82.152,,,,,
08/19/16,14:00:00,14.6287,81.797,,,,,
08/19/16,14:15:00,14.6268,81.975,,,,,
08/19/16,14:30:00,14.6218,81.975,,,,,
08/19/16,14:45:00,14.6224,82.152,,,,,
08/19/16,15:00:00,14.6237,81.797,,,,,
08/19/16,15:15:00,14.6165,81.797,,,,,
08/19/16,15:30:00,14.6147,81.266,,,,,
08/19/16,15:45:00,14.6179,80.735,,,,,
08/19/16,16:00:00,14.6130,80.735,,,,,
08/19/16,16:15:00,14.6111,80.911,,,,,
08/19/16,16:30:00,14.6147,81.266,,,,,
08/19/16,16:45:00,14.6153,81.442,,,,,
08/19/16,17:00:00,14.6214,81.090,,,,,
08/19/16,17:15:00,14.6214,81.090,,,,,
08/19/16,17:30:00,14.6223,80.559,,,,,
08/19/16,17:45:00,14.6211,80.206,,,,,
08/19/16,18:00:00,14.6205,80.029,,,,,
08/19/16,18:15:00,14.6224,79.853,,,,,
08/19/16,18:30:00,14.6243,79.678,,,,,
08/19/16,18:45:00,14.6256,79.326,,,,,
08/19/16,19:00:00,14.6281,79.326,,,,,
08/19/16,19:15:00,14.6294,78.975,,,,,
08/19/16,19:30:00,14.6313,78.800,,,,,
08/19/16,19:45:00,14.6331,78.624,,,,,
08/19/16,20:00:00,14.6404,78.624,,,,,
08/19/16,20:15:00,14.6404,78.624,,,,,
08/19/16,20:30:00,14.6404,78.624,,,,,
08/19/16,20:45:00,14.6375,78.449,,,,,
08/19/16,21:00:00,14.6375,78.449,,,,,
08/19/16,21:15:00,14.6394,78.274,,,,,
08/19/16,21:30:00,14.6417,78.274,,,,,
08/19/16,21:45:00,14.6436,78.098,,,,,
08/19/16,22:00:00,14.6461,78.098,,,,,
08/19/16,22:15:00,14.6479,77.923,,,,,
08/19/16,22:30:00,14.6479,77.923,,,,,
08/19/16,22:45:00,14.6479,77.923,,,,,
08/19/16,23:00:00,14.6450,77.749,,,,,
08/19/16,23:15:00,14.6474,77.749,,,,,
08/19/16,23:30:00,14.6498,77.749,,,,,
08/19/16,23:45:00,14.6498,77.749,,,,,
08/20/16,00:00:00,14.6492,77.574,,,,,
08/20/16,00:15:00,14.6474,77.749,,,,,
08/20/16,00:30:00,14.6432,77.923,,,,,
08/20/16,00:45:00,14.6407,77.923,,,,,
08/20/16,01:00:00,14.6407,77.923,,,,,
08/20/16,01:15:00,14.6382,77.923,,,,,
08/20/16,01:30:00,14.6363,78.098,,,,,
08/20/16,01:45:00,14.6308,77.923,,,,,
08/20/16,02:00:00,14.6308,77.923,,,,,
08/20/16,02:15:00,14.6308,77.923,,,,,
08/20/16,02:30:00,14.6308,77.923,,,,,
08/20/16,02:45:00,14.6285,77.923,,,,,
08/20/16,03:00:00,14.6255,77.749,,,,,
08/20/16,03:15:00,14.6273,77.574,,,,,
08/20/16,03:30:00,14.6268,77.400,,,,,
08/20/16,03:45:00,14.6262,77.225,,,,,
08/20/16,04:00:00,14.6262,77.225,,,,,
08/20/16,04:15:00,14.6237,77.225,,,,,
08/20/16,04:30:00,14.6262,77.225,,,,,
08/20/16,04:45:00,14.6262,77.225,,,,,
08/20/16,05:00:00,14.6287,77.225,,,,,
08/20/16,05:15:00,14.6256,77.050,,,,,
08/20/16,05:30:00,14.6305,77.050,,,,,
08/20/16,05:45:00,14.6305,77.050,,,,,
08/20/16,06:00:00,14.6330,77.050,,,,,
08/20/16,06:15:00,14.6355,77.050,,,,,
08/20/16,06:30:00,14.6355,77.050,,,,,
08/20/16,06:45:00,14.6379,77.050,,,,,
08/20/16,07:00:00,14.6408,77.225,,,,,
08/20/16,07:15:00,14.6463,77.400,,,,,
08/20/16,07:30:00,14.6469,77.574,,,,,
08/20/16,07:45:00,14.6474,77.749,,,,,
08/20/16,08:00:00,14.6492,77.574,,,,,
08/20/16,08:15:00,14.6859,77.574,,,,,
08/20/16,08:30:00,14.6566,77.574,,,,,
08/20/16,08:45:00,14.6890,77.749,,,,,
08/20/16,09:00:00,14.6968,77.923,,,,,
08/20/16,09:15:00,14.7028,78.274,,,,,
