Date,Time,Abs Pres (psi) c:1 2,Temp (°F) c:2,Coupler Detached,Coupler Attached,Host Connected,Stopped,End Of File
04/03/17,10:30:00,14.7139,79.853,Logged,,,,
04/03/17,10:45:00,14.7157,79.678,,,,,
04/03/17,11:00:00,14.7163,79.853,,,,,
04/03/17,11:15:00,14.7186,79.853,,,,,
04/03/17,11:30:00,14.7139,79.853,,,,,
04/03/17,11:45:00,14.7139,79.853,,,,,
04/03/17,12:00:00,14.7139,79.853,,,,,
04/03/17,12:15:00,14.7093,79.853,,,,,
04/03/17,12:30:00,14.7076,80.029,,,,,
04/03/17,12:45:00,14.7029,80.029,,,,,
04/03/17,13:00:00,14.7012,80.206,,,,,
04/03/17,13:15:00,14.7012,80.206,,,,,
04/03/17,13:30:00,14.6959,80.029,,,,,
04/03/17,13:45:00,14.7006,80.029,,,,,
04/03/17,14:00:00,14.6959,80.029,,,,,
04/03/17,14:15:00,14.6929,79.853,,,,,
04/03/17,14:30:00,14.6883,79.853,,,,,
04/03/17,14:45:00,14.6906,79.853,,,,,
04/03/17,15:00:00,14.6906,79.853,,,,,
04/03/17,15:15:00,14.6859,79.853,,,,,
04/03/17,15:30:00,14.6900,79.678,,,,,
04/03/17,15:45:00,14.6900,79.678,,,,,
04/03/17,16:00:00,14.6894,79.502,,,,,
04/03/17,16:15:00,14.7128,79.502,,,,,
04/03/17,16:30:00,14.7383,79.502,,,,,
04/03/17,16:45:00,14.7284,79.326,,,,,
04/03/17,17:00:00,14.7354,79.326,,,,,
04/03/17,17:15:00,14.7325,79.151,,,,,
04/03/17,17:30:00,14.7512,79.151,,,,,
04/03/17,17:45:00,14.7721,79.151,,,,,
04/03/17,18:00:00,14.7744,79.151,,,,,
04/03/17,18:15:00,14.7744,79.151,,,,,
04/03/17,18:30:00,14.7767,79.151,,,,,
04/03/17,18:45:00,14.7785,78.975,,,,,
04/03/17,19:00:00,14.7785,78.975,,,,,
04/03/17,19:15:00,14.7879,78.975,,,,,
04/03/17,19:30:00,14.8018,78.975,,,,,
04/03/17,19:45:00,14.8275,78.975,,,,,
04/03/17,20:00:00,14.8461,78.975,,,,,
04/03/17,20:15:00,14.8578,78.975,,,,,
04/03/17,20:30:00,14.8781,78.800,,,,,
04/03/17,20:45:00,14.8758,78.800,,,,,
04/03/17,21:00:00,14.8665,78.800,,,,,
04/03/17,21:15:00,14.8590,78.624,,,,,
04/03/17,21:30:00,14.8542,78.624,,,,,
04/03/17,21:45:00,14.8472,78.624,,,,,
04/03/17,22:00:00,14.8443,78.449,,,,,
04/03/17,22:15:00,14.8420,78.449,,,,,
04/03/17,22:30:00,14.8397,78.449,,,,,
04/03/17,22:45:00,14.8449,78.624,,,,,
04/03/17,23:00:00,14.8816,78.449,,,,,
04/03/17,23:15:00,14.8980,78.449,,,,,
04/03/17,23:30:00,14.9329,78.449,,,,,
04/03/17,23:45:00,14.9376,78.449,,,,,
04/04/17,00:00:00,14.9277,78.274,,,,,
04/04/17,00:15:00,14.9036,78.098,,,,,
04/04/17,00:30:00,14.8990,78.098,,,,,
04/04/17,00:45:00,14.8915,77.923,,,,,
04/04/17,01:00:00,14.8868,77.923,,,,,
04/04/17,01:15:00,14.8751,77.923,,,,,
04/04/17,01:30:00,14.8768,77.749,,,,,
04/04/17,01:45:00,14.8629,77.749,,,,,
04/04/17,02:00:00,14.8582,77.749,,,,,
04/04/17,02:15:00,14.8395,77.749,,,,,
04/04/17,02:30:00,14.8349,77.749,,,,,
04/04/17,02:45:00,14.8256,77.749,,,,,
04/04/17,03:00:00,14.8185,77.749,,,,,
04/04/17,03:15:00,14.8139,77.749,,,,,
04/04/17,03:30:00,14.8046,77.749,,,,,
04/04/17,03:45:00,14.7976,77.749,,,,,
04/04/17,04:00:00,14.7953,77.749,,,,,
04/04/17,04:15:00,14.7882,77.749,,,,,
04/04/17,04:30:00,14.7789,77.749,,,,,
04/04/17,04:45:00,14.7719,77.749,,,,,
04/04/17,05:00:00,14.7673,77.749,,,,,
04/04/17,05:15:00,14.7679,77.923,,,,,
04/04/17,05:30:00,14.7725,77.923,,,,,
04/04/17,05:45:00,14.7748,77.923,,,,,
04/04/17,06:00:00,14.7795,77.923,,,,,
04/04/17,06:15:00,14.7778,78.098,,,,,
04/04/17,06:30:00,14.7778,78.098,,,,,
04/04/17,06:45:00,14.7849,78.098,,,,,
04/04/17,07:00:00,14.7895,78.098,,,,,
04/04/17,07:15:00,14.7941,78.098,,,,,
04/04/17,07:30:00,14.7849,78.098,,,,,
04/04/17,07:45:00,14.7831,78.274,,,,,
04/04/17,08:00:00,14.7854,78.274,,,,,
04/04/17,08:15:00,14.7854,78.274,,,,,
04/04/17,08:30:00,14.7785,78.274,,,,,
04/04/17,08:45:00,14.8915,77.923,,,,,
04/04/17,09:00:00,14.8727,77.923,,,,,
04/04/17,09:15:00,14.8617,78.098,,,,,
04/04/17,09:30:00,14.9013,78.098,,,,,
04/04/17,09:45:00,14.8851,78.098,,,,,
04/04/17,10:00:00,14.8687,78.098,,,,,
04/04/17,10:15:00,14.8640,78.098,,,,,
04/04/17,10:30:00,14.8664,78.098,,,,,
04/04/17,10:45:00,14.8594,78.098,,,,,
04/04/17,11:00:00,14.8548,78.098,,,,,
04/04/17,11:15:00,14.8524,78.098,,,,,
04/04/17,11:30:00,14.8455,78.098,,,,,
04/04/17,11:45:00,14.8430,78.098,,,,,
04/04/17,12:00:00,14.8384,78.098,,,,,
04/04/17,12:15:00,14.8320,78.274,,,,,
04/04/17,12:30:00,14.8303,78.449,,,,,
04/04/17,12:45:00,14.8256,78.449,,,,,
04/04/17,13:00:00,14.8187,78.449,,,,,
