Date,Time,Abs Pres (psi) c:1 2,Temp (°F) c:2,Coupler Detached,Coupler Attached,Host Connected,Stopped,End Of File
12/08/17,11:30:00,14.9827,79.326,Logged,,,,
12/08/17,11:45:00,14.9767,78.975,,,,,
12/08/17,12:00:00,14.9780,79.326,,,,,
12/08/17,12:15:00,14.9740,79.502,,,,,
12/08/17,12:30:00,14.9717,79.502,,,,,
12/08/17,12:45:00,14.9709,79.326,,,,,
12/08/17,13:00:00,14.9663,79.326,,,,,
12/08/17,13:15:00,14.9663,79.326,,,,,
12/08/17,13:30:00,14.9593,79.326,,,,,
12/08/17,13:45:00,14.9547,79.326,,,,,
12/08/17,14:00:00,14.9530,79.502,,,,,
12/08/17,14:15:00,14.9476,79.326,,,,,
12/08/17,14:30:00,14.9476,79.326,,,,,
12/08/17,14:45:00,14.9400,79.151,,,,,
12/08/17,15:00:00,14.9366,79.502,,,,,
12/08/17,15:15:00,14.9366,79.502,,,,,
12/08/17,15:30:00,14.9342,79.502,,,,,
12/08/17,15:45:00,14.9337,79.326,,,,,
12/08/17,16:00:00,14.9360,79.326,,,,,
12/08/17,16:15:00,14.9354,79.151,,,,,
12/08/17,16:30:00,14.9331,79.151,,,,,
12/08/17,16:45:00,14.9418,78.975,,,,,
12/08/17,17:00:00,14.9348,78.975,,,,,
12/08/17,17:15:00,14.9435,78.800,,,,,
12/08/17,17:30:00,14.9458,78.800,,,,,
12/08/17,17:45:00,14.9476,78.624,,,,,
12/08/17,18:00:00,14.9469,78.449,,,,,
12/08/17,18:15:00,14.9492,78.449,,,,,
12/08/17,18:30:00,14.9517,78.449,,,,,
12/08/17,18:45:00,14.9509,78.274,,,,,
12/08/17,19:00:00,14.9509,78.274,,,,,
12/08/17,19:15:00,14.9556,78.274,,,,,
12/08/17,19:30:00,14.9580,78.274,,,,,
12/08/17,19:45:00,14.9532,78.274,,,,,
12/08/17,20:00:00,14.9527,78.098,,,,,
12/08/17,20:15:00,14.9596,78.098,,,,,
12/08/17,20:30:00,14.9930,78.274,,,,,
12/08/17,20:45:00,14.9907,78.274,,,,,
12/08/17,21:00:00,14.9691,78.098,,,,,
12/08/17,21:15:00,14.9667,78.098,,,,,
12/08/17,21:30:00,14.9924,78.098,,,,,
12/08/17,21:45:00,14.9876,78.098,,,,,
12/08/17,22:00:00,14.9830,78.098,,,,,
12/08/17,22:15:00,14.9870,77.923,,,,,
12/08/17,22:30:00,14.9847,77.923,,,,,
12/08/17,22:45:00,14.9778,77.923,,,,,
12/08/17,23:00:00,14.9754,77.923,,,,,
12/08/17,23:15:00,14.9731,77.923,,,,,
12/08/17,23:30:00,14.9677,77.749,,,,,
12/08/17,23:45:00,14.9631,77.749,,,,,
12/09/17,00:00:00,14.9585,77.749,,,,,
12/09/17,00:15:00,14.9538,77.749,,,,,
12/09/17,00:30:00,14.9469,77.749,,,,,
12/09/17,00:45:00,14.9421,77.749,,,,,
12/09/17,01:00:00,14.9351,77.749,,,,,
12/09/17,01:15:00,14.9351,77.749,,,,,
12/09/17,01:30:00,14.9328,77.749,,,,,
12/09/17,01:45:00,14.9276,77.574,,,,,
12/09/17,02:00:00,14.9299,77.574,,,,,
12/09/17,02:15:00,14.9299,77.574,,,,,
12/09/17,02:30:00,14.9299,77.574,,,,,
12/09/17,02:45:00,14.9276,77.574,,,,,
12/09/17,03:00:00,14.9299,77.574,,,,,
12/09/17,03:15:00,14.9206,77.574,,,,,
12/09/17,03:30:00,14.9229,77.574,,,,,
12/09/17,03:45:00,14.9229,77.574,,,,,
12/09/17,04:00:00,14.9206,77.574,,,,,
12/09/17,04:15:00,14.9158,77.574,,,,,
12/09/17,04:30:00,14.9181,77.574,,,,,
12/09/17,04:45:00,14.9206,77.574,,,,,
12/09/17,05:00:00,14.9229,77.574,,,,,
12/09/17,05:15:00,14.9229,77.574,,,,,
12/09/17,05:30:00,14.9229,77.574,,,,,
12/09/17,05:45:00,14.9276,77.574,,,,,
12/09/17,06:00:00,14.9299,77.574,,,,,
12/09/17,06:15:00,14.9270,77.400,,,,,
12/09/17,06:30:00,14.9270,77.400,,,,,
12/09/17,06:45:00,14.9247,77.400,,,,,
12/09/17,07:00:00,14.9270,77.400,,,,,
12/09/17,07:15:00,14.9299,77.574,,,,,
12/09/17,07:30:00,14.9322,77.574,,,,,
12/09/17,07:45:00,14.9299,77.574,,,,,
12/09/17,08:00:00,14.9322,77.574,,,,,
12/09/17,08:15:00,14.9351,77.749,,,,,
12/09/17,08:30:00,14.9282,77.749,,,,,
12/09/17,08:45:00,14.9328,77.749,,,,,
12/09/17,09:00:00,14.9374,77.749,,,,,
12/09/17,09:15:00,14.9380,77.923,,,,,
12/09/17,09:30:00,14.9357,77.923,,,,,
12/09/17,09:45:00,14.9334,77.923,,,,,
12/09/17,10:00:00,14.9293,78.098,,,,,
12/09/17,10:15:00,14.9270,78.098,,,,,
12/09/17,10:30:00,14.9293,78.098,,,,,
12/09/17,10:45:00,14.9253,78.274,,,,,
12/09/17,11:00:00,14.9206,78.274,,,,,
12/09/17,11:15:00,14.9206,78.274,,,,,
12/09/17,11:30:00,14.9183,78.274,,,,,
12/09/17,11:45:00,14.9096,78.449,,,,,
12/09/17,12:00:00,14.9096,78.449,,,,,
12/09/17,12:15:00,14.9049,78.449,,,,,
12/09/17,12:30:00,14.9049,78.449,,,,,
12/09/17,12:45:00,14.9026,78.449,,,,,
12/09/17,13:00:00,14.9073,78.449,,,,,
12/09/17,13:15:00,14.9026,78.449,,,,,
12/09/17,13:30:00,14.9026,78.449,,,,,
12/09/17,13:45:00,14.9026,78.449,,,,,
12/09/17,14:00:00,14.8997,78.274,,,,,
12/09/17,14:15:00,14.8973,78.274,,,,,
12/09/17,14:30:00,14.8909,78.449,,,,,
12/09/17,14:45:00,14.8909,78.449,,,,,
12/09/17,15:00:00,14.8880,78.274,,,,,
12/09/17,15:15:00,14.8857,78.274,,,,,
12/09/17,15:30:00,14.8833,78.274,,,,,
12/09/17,15:45:00,14.8833,78.274,,,,,
12/09/17,16:00:00,14.8833,78.274,,,,,
12/09/17,16:15:00,14.8787,78.274,,,,,
12/09/17,16:30:00,14.8810,78.274,,,,,
12/09/17,16:45:00,14.8833,78.274,,,,,
12/09/17,17:00:00,14.8857,78.274,,,,,
12/09/17,17:15:00,14.8880,78.274,,,,,
12/09/17,17:30:00,14.8926,78.274,,,,,
12/09/17,17:45:00,14.8920,78.098,,,,,
12/09/17,18:00:00,14.8944,78.098,,,,,
12/09/17,18:15:00,14.8920,78.098,,,,,
12/09/17,18:30:00,14.8944,78.098,,,,,
12/09/17,18:45:00,14.8938,77.923,,,,,
12/09/17,19:00:00,14.8961,77.923,,,,,
12/09/17,19:15:00,14.8961,77.923,,,,,
12/09/17,19:30:00,14.9007,77.923,,,,,
12/09/17,19:45:00,14.8961,77.923,,,,,
12/09/17,20:00:00,14.8984,77.923,,,,,
12/09/17,20:15:00,14.8984,77.923,,,,,
12/09/17,20:30:00,14.9007,77.923,,,,,
