Date,Time,Abs Pres (psi) c:1 2,Temp (°F) c:2,Coupler Detached,Coupler Attached,Host Connected,Stopped,End Of File
08/19/16,10:45:00,14.7371,80.559,Logged,,,,
08/19/16,11:00:00,14.7355,79.151,,,,,
08/19/16,11:15:00,14.7338,79.326,,,,,
08/19/16,11:30:00,14.7309,79.853,,,,,
08/19/16,11:45:00,14.7319,80.206,,,,,
08/19/16,12:00:00,14.7293,80.029,,,,,
08/19/16,12:15:00,14.7305,79.678,,,,,
08/19/16,12:30:00,14.7300,79.502,,,,,
08/19/16,12:45:00,14.7235,79.502,,,,,
08/19/16,13:00:00,14.7232,80.206,,,,,
08/19/16,13:15:00,14.7241,80.559,,,,,
08/19/16,13:30:00,14.7181,80.735,,,,,
08/19/16,13:45:00,14.7177,80.559,,,,,
08/19/16,14:00:00,14.7149,80.382,,,,,
08/19/16,14:15:00,14.7102,80.206,,,,,
08/19/16,14:30:00,14.7093,79.853,,,,,
08/19/16,14:45:00,14.7109,79.678,,,,,
08/19/16,15:00:00,14.7028,79.853,,,,,
08/19/16,15:15:00,14.7010,80.029,,,,,
08/19/16,15:30:00,14.7020,80.382,,,,,
08/19/16,15:45:00,14.6981,80.559,,,,,
08/19/16,16:00:00,14.6977,80.382,,,,,
08/19/16,16:15:00,14.7015,80.206,,,,,
08/19/16,16:30:00,14.6984,79.853,,,,,
08/19/16,16:45:00,14.7039,79.502,,,,,
08/19/16,17:00:00,14.7074,79.151,,,,,
08/19/16,17:15:00,14.7070,78.975,,,,,
08/19/16,17:30:00,14.7086,78.800,,,,,
08/19/16,17:45:00,14.7081,78.624,,,,,
08/19/16,18:00:00,14.7055,78.449,,,,,
08/19/16,18:15:00,14.7094,78.274,,,,,
08/19/16,18:30:00,14.7089,78.098,,,,,
08/19/16,18:45:00,14.7106,77.923,,,,,
08/19/16,19:00:00,14.7106,77.923,,,,,
08/19/16,19:15:00,14.7128,77.923,,,,,
08/19/16,19:30:00,14.7167,77.749,,,,,
08/19/16,19:45:00,14.7189,77.749,,,,,
08/19/16,20:00:00,14.7232,77.749,,,,,
08/19/16,20:15:00,14.7206,77.574,,,,,
08/19/16,20:30:00,14.7206,77.574,,,,,
08/19/16,20:45:00,14.7206,77.574,,,,,
08/19/16,21:00:00,14.7200,77.400,,,,,
08/19/16,21:15:00,14.7200,77.400,,,,,
08/19/16,21:30:00,14.7218,77.225,,,,,
08/19/16,21:45:00,14.7218,77.225,,,,,
08/19/16,22:00:00,14.7261,77.225,,,,,
08/19/16,22:15:00,14.7261,77.225,,,,,
08/19/16,22:30:00,14.7283,77.225,,,,,
08/19/16,22:45:00,14.7261,77.225,,,,,
08/19/16,23:00:00,14.7279,77.050,,,,,
08/19/16,23:15:00,14.7300,77.050,,,,,
08/19/16,23:30:00,14.7279,77.050,,,,,
08/19/16,23:45:00,14.7279,77.050,,,,,
08/20/16,00:00:00,14.7257,77.050,,,,,
08/20/16,00:15:00,14.7235,77.050,,,,,
08/20/16,00:30:00,14.7231,76.876,,,,,
08/20/16,00:45:00,14.7209,76.876,,,,,
08/20/16,01:00:00,14.7231,76.876,,,,,
08/20/16,01:15:00,14.7187,76.876,,,,,
08/20/16,01:30:00,14.7165,76.876,,,,,
08/20/16,01:45:00,14.7118,76.703,,,,,
08/20/16,02:00:00,14.7118,76.703,,,,,
08/20/16,02:15:00,14.7118,76.703,,,,,
08/20/16,02:30:00,14.7091,76.528,,,,,
08/20/16,02:45:00,14.7070,76.528,,,,,
08/20/16,03:00:00,14.7070,76.528,,,,,
08/20/16,03:15:00,14.7048,76.528,,,,,
08/20/16,03:30:00,14.7022,76.354,,,,,
08/20/16,03:45:00,14.7044,76.354,,,,,
08/20/16,04:00:00,14.7065,76.354,,,,,
08/20/16,04:15:00,14.7044,76.354,,,,,
08/20/16,04:30:00,14.7044,76.354,,,,,
08/20/16,04:45:00,14.7044,76.354,,,,,
08/20/16,05:00:00,14.7065,76.354,,,,,
08/20/16,05:15:00,14.7044,76.354,,,,,
08/20/16,05:30:00,14.7044,76.354,,,,,
08/20/16,05:45:00,14.7044,76.354,,,,,
08/20/16,06:00:00,14.7065,76.354,,,,,
08/20/16,06:15:00,14.7131,76.354,,,,,
08/20/16,06:30:00,14.7173,76.354,,,,,
08/20/16,06:45:00,14.7351,76.528,,,,,
08/20/16,07:00:00,14.7460,76.528,,,,,
08/20/16,07:15:00,14.7590,76.528,,,,,
08/20/16,07:30:00,14.7656,76.528,,,,,
08/20/16,07:45:00,14.8761,76.528,,,,,
08/20/16,08:00:00,14.8713,76.354,,,,,
08/20/16,08:15:00,14.8539,76.354,,,,,
08/20/16,08:30:00,14.8388,76.354,,,,,
08/20/16,08:45:00,14.8262,76.528,,,,,
08/20/16,09:00:00,14.8153,76.528,,,,,
08/20/16,09:15:00,14.8050,76.703,,,,,
08/20/16,09:30:00,14.7941,76.703,,,,,
08/20/16,09:45:00,14.7924,76.876,,,,,
08/20/16,10:00:00,14.7886,77.050,,,,,
08/20/16,10:15:00,14.7895,77.400,,,,,
08/20/16,10:30:00,14.7825,77.225,,,,,
08/20/16,10:45:00,14.7764,77.400,,,,,
08/20/16,11:00:00,14.7692,77.923,,,,,
08/20/16,11:15:00,14.7706,78.449,,,,,
08/20/16,11:30:00,14.7679,78.274,,,,,
08/20/16,11:45:00,14.7635,78.274,,,,,
08/20/16,12:00:00,14.7595,79.151,,,,,
08/20/16,12:15:00,14.7544,79.678,,,,,
08/20/16,12:30:00,14.7509,80.029,,,,,
08/20/16,12:45:00,14.7461,79.853,,,,,
08/20/16,13:00:00,14.7500,79.678,,,,,
08/20/16,13:15:00,14.7479,79.678,,,,,
08/20/16,13:30:00,14.7447,79.326,,,,,
08/20/16,13:45:00,14.7464,79.151,,,,,
08/20/16,14:00:00,14.7416,78.975,,,,,
08/20/16,14:15:00,14.7373,78.975,,,,,
08/20/16,14:30:00,14.7355,79.151,,,,,
08/20/16,14:45:00,14.7308,78.975,,,,,
08/20/16,15:00:00,14.7281,78.800,,,,,
08/20/16,15:15:00,14.7255,78.624,,,,,
08/20/16,15:30:00,14.7234,78.624,,,,,
08/20/16,15:45:00,14.7229,78.449,,,,,
08/20/16,16:00:00,14.7271,78.449,,,,,
08/20/16,16:15:00,14.7271,78.449,,,,,
08/20/16,16:30:00,14.7354,78.274,,,,,
08/20/16,16:45:00,14.7376,78.274,,,,,
08/20/16,17:00:00,14.7380,78.449,,,,,
08/20/16,17:15:00,14.7419,78.274,,,,,
08/20/16,17:30:00,14.7453,77.923,,,,,
08/20/16,17:45:00,14.7492,77.749,,,,,
08/20/16,18:00:00,14.7492,77.749,,,,,
08/20/16,18:15:00,14.7618,77.574,,,,,
08/20/16,18:30:00,14.7640,77.574,,,,,
08/20/16,18:45:00,14.7612,77.400,,,,,
08/20/16,19:00:00,14.7677,77.400,,,,,
08/20/16,19:15:00,14.7830,77.400,,,,,
08/20/16,19:30:00,14.7895,77.400,,,,,
08/20/16,19:45:00,14.7873,77.400,,,,,
08/20/16,20:00:00,14.7869,77.225,,,,,
08/20/16,20:15:00,14.7891,77.225,,,,,
08/20/16,20:30:00,14.7907,77.050,,,,,
08/20/16,20:45:00,14.7972,77.050,,,,,
08/20/16,21:00:00,14.8146,77.050,,,,,
08/20/16,21:15:00,14.8401,76.876,,,,,
08/20/16,21:30:00,14.8510,76.876,,,,,
08/20/16,21:45:00,14.8440,76.703,,,,,
08/20/16,22:00:00,14.8353,76.703,,,,,
08/20/16,22:15:00,14.8332,76.703,,,,,
08/20/16,22:30:00,14.8288,76.703,,,,,
08/20/16,22:45:00,14.8223,76.703,,,,,
08/20/16,23:00:00,14.8181,76.703,,,,,
08/20/16,23:15:00,14.8089,76.528,,,,,
08/20/16,23:30:00,14.8046,76.528,,,,,
08/20/16,23:45:00,14.8002,76.528,,,,,
08/21/16,00:00:00,14.7981,76.528,,,,,
08/21/16,00:15:00,14.7937,76.528,,,,,
08/21/16,00:30:00,14.7959,76.528,,,,,
08/21/16,00:45:00,14.7959,76.528,,,,,
08/21/16,01:00:00,14.7937,76.528,,,,,
08/21/16,01:15:00,14.7981,76.528,,,,,
08/21/16,01:30:00,14.8020,76.354,,,,,
08/21/16,01:45:00,14.8214,76.354,,,,,
08/21/16,02:00:00,14.8453,76.354,,,,,
08/21/16,02:15:00,14.8517,76.354,,,,,
08/21/16,02:30:00,14.8475,76.354,,,,,
08/21/16,02:45:00,14.8410,76.354,,,,,
08/21/16,03:00:00,14.8345,76.354,,,,,
08/21/16,03:15:00,14.8297,76.181,,,,,
08/21/16,03:30:00,14.8406,76.181,,,,,
08/21/16,03:45:00,14.8448,76.181,,,,,
08/21/16,04:00:00,14.8384,76.181,,,,,
08/21/16,04:15:00,14.8318,76.181,,,,,
08/21/16,04:30:00,14.8253,76.181,,,,,
08/21/16,04:45:00,14.8253,76.181,,,,,
08/21/16,05:00:00,14.8188,76.181,,,,,
08/21/16,05:15:00,14.8166,76.181,,,,,
08/21/16,05:30:00,14.8166,76.181,,,,,
08/21/16,05:45:00,14.8166,76.181,,,,,
08/21/16,06:00:00,14.8253,76.181,,,,,
08/21/16,06:15:00,14.8210,76.181,,,,,
08/21/16,06:30:00,14.8253,76.181,,,,,
08/21/16,06:45:00,14.8318,76.181,,,,,
08/21/16,07:00:00,14.8340,76.181,,,,,
08/21/16,07:15:00,14.8491,76.181,,,,,
08/21/16,07:30:00,14.9034,76.181,,,,,
08/21/16,07:45:00,14.9295,76.181,,,,,
08/21/16,08:00:00,14.9208,76.181,,,,,
