Date,Time,Abs Pres (psi) c:1 2,Temp (°F) c:2,Coupler Detached,Coupler Attached,Host Connected,Stopped,End Of File
05/19/17,12:15:00,14.8469,78.624,Logged,,,,
05/19/17,12:30:00,14.8426,78.624,,,,,
05/19/17,12:45:00,14.8404,78.624,,,,,
05/19/17,13:00:00,14.8404,78.624,,,,,
05/19/17,13:15:00,14.8340,78.624,,,,,
05/19/17,13:30:00,14.8340,78.624,,,,,
05/19/17,13:45:00,14.8301,78.800,,,,,
05/19/17,14:00:00,14.8258,78.800,,,,,
05/19/17,14:15:00,14.8236,78.800,,,,,
05/19/17,14:30:00,14.8218,78.975,,,,,
05/19/17,14:45:00,14.8214,78.800,,,,,
05/19/17,15:00:00,14.8284,78.975,,,,,
05/19/17,15:15:00,14.8258,78.800,,,,,
05/19/17,15:30:00,14.8262,78.975,,,,,
05/19/17,15:45:00,14.8279,78.800,,,,,
05/19/17,16:00:00,14.8258,78.800,,,,,
05/19/17,16:15:00,14.8301,78.800,,,,,
05/19/17,16:30:00,14.8258,78.800,,,,,
05/19/17,16:45:00,14.8258,78.800,,,,,
05/19/17,17:00:00,14.8297,78.624,,,,,
05/19/17,17:15:00,14.8231,78.624,,,,,
05/19/17,17:30:00,14.8253,78.624,,,,,
05/19/17,17:45:00,14.8275,78.624,,,,,
05/19/17,18:00:00,14.8297,78.624,,,,,
05/19/17,18:15:00,14.8297,78.624,,,,,
05/19/17,18:30:00,14.8313,78.449,,,,,
05/19/17,18:45:00,14.8334,78.449,,,,,
05/19/17,19:00:00,14.8334,78.449,,,,,
05/19/17,19:15:00,14.8356,78.449,,,,,
05/19/17,19:30:00,14.8400,78.449,,,,,
05/19/17,19:45:00,14.8400,78.449,,,,,
05/19/17,20:00:00,14.8443,78.449,,,,,
05/19/17,20:15:00,14.8421,78.449,,,,,
05/19/17,20:30:00,14.8439,78.274,,,,,
05/19/17,20:45:00,14.8461,78.274,,,,,
05/19/17,21:00:00,14.8461,78.274,,,,,
05/19/17,21:15:00,14.8461,78.274,,,,,
05/19/17,21:30:00,14.8439,78.274,,,,,
