Date,Time,Abs Pres (psi) c:1 2,Temp (°F) c:2,Coupler Detached,Coupler Attached,Host Connected,Stopped,End Of File
06/09/17,15:00:00,14.9274,78.975,Logged,,,,
06/09/17,15:15:00,14.9251,77.749,,,,,
06/09/17,15:30:00,14.9228,77.749,,,,,
06/09/17,15:45:00,14.9206,77.749,,,,,
06/09/17,16:00:00,14.9212,77.923,,,,,
06/09/17,16:15:00,14.9190,77.923,,,,,
06/09/17,16:30:00,14.9235,77.923,,,,,
06/09/17,16:45:00,14.9235,77.923,,,,,
06/09/17,17:00:00,14.9257,77.923,,,,,
06/09/17,17:15:00,14.9257,77.923,,,,,
06/09/17,17:30:00,14.9280,77.923,,,,,
06/09/17,17:45:00,14.9280,77.923,,,,,
06/09/17,18:00:00,14.9302,77.923,,,,,
06/09/17,18:15:00,14.9324,77.923,,,,,
06/09/17,18:30:00,14.9369,77.923,,,,,
06/09/17,18:45:00,14.9385,77.749,,,,,
06/09/17,19:00:00,14.9385,77.749,,,,,
06/09/17,19:15:00,14.9385,77.749,,,,,
06/09/17,19:30:00,14.9429,77.749,,,,,
06/09/17,19:45:00,14.9429,77.749,,,,,
06/09/17,20:00:00,14.9451,77.749,,,,,
06/09/17,20:15:00,14.9473,77.749,,,,,
06/09/17,20:30:00,14.9473,77.749,,,,,
06/09/17,20:45:00,14.9496,77.749,,,,,
06/09/17,21:00:00,14.9496,77.749,,,,,
06/09/17,21:15:00,14.9518,77.749,,,,,
06/09/17,21:30:00,14.9518,77.749,,,,,
06/09/17,21:45:00,14.9512,77.574,,,,,
06/09/17,22:00:00,14.9512,77.574,,,,,
06/09/17,22:15:00,14.9512,77.574,,,,,
06/09/17,22:30:00,14.9512,77.574,,,,,
06/09/17,22:45:00,14.9489,77.574,,,,,
06/09/17,23:00:00,14.9467,77.574,,,,,
06/09/17,23:15:00,14.9489,77.574,,,,,
06/09/17,23:30:00,14.9483,77.400,,,,,
06/09/17,23:45:00,14.9460,77.400,,,,,
06/10/17,00:00:00,14.9460,77.400,,,,,
06/10/17,00:15:00,14.9460,77.400,,,,,
06/10/17,00:30:00,14.9438,77.400,,,,,
06/10/17,00:45:00,14.9438,77.400,,,,,
06/10/17,01:00:00,14.9438,77.400,,,,,
06/10/17,01:15:00,14.9431,77.225,,,,,
06/10/17,01:30:00,14.9409,77.225,,,,,
06/10/17,01:45:00,14.9387,77.225,,,,,
06/10/17,02:00:00,14.9342,77.225,,,,,
06/10/17,02:15:00,14.9342,77.225,,,,,
06/10/17,02:30:00,14.9342,77.225,,,,,
06/10/17,02:45:00,14.9297,77.225,,,,,
06/10/17,03:00:00,14.9268,77.050,,,,,
06/10/17,03:15:00,14.9247,77.050,,,,,
06/10/17,03:30:00,14.9247,77.050,,,,,
06/10/17,03:45:00,14.9247,77.050,,,,,
06/10/17,04:00:00,14.9247,77.050,,,,,
06/10/17,04:15:00,14.9247,77.050,,,,,
06/10/17,04:30:00,14.9247,77.050,,,,,
06/10/17,04:45:00,14.9239,76.876,,,,,
06/10/17,05:00:00,14.9239,76.876,,,,,
06/10/17,05:15:00,14.9239,76.876,,,,,
06/10/17,05:30:00,14.9263,76.876,,,,,
06/10/17,05:45:00,14.9218,76.876,,,,,
06/10/17,06:00:00,14.9263,76.876,,,,,
06/10/17,06:15:00,14.9239,76.876,,,,,
