Date,Time,Abs Pres (psi) c:1 2,Temp (°F) c:2,Coupler Detached,Coupler Attached,Host Connected,Stopped,End Of File
12/08/17,12:30:00,14.8362,78.624,Logged,,,,
12/08/17,12:45:00,14.8356,78.449,,,,,
12/08/17,13:00:00,14.8313,78.449,,,,,
12/08/17,13:15:00,14.8292,78.449,,,,,
12/08/17,13:30:00,14.8249,78.449,,,,,
12/08/17,13:45:00,14.8207,78.449,,,,,
12/08/17,14:00:00,14.8185,78.449,,,,,
12/08/17,14:15:00,14.8163,78.449,,,,,
12/08/17,14:30:00,14.8142,78.449,,,,,
12/08/17,14:45:00,14.8105,78.624,,,,,
12/08/17,15:00:00,14.8084,78.624,,,,,
12/08/17,15:15:00,14.8062,78.624,,,,,
12/08/17,15:30:00,14.8041,78.624,,,,,
12/08/17,15:45:00,14.8041,78.624,,,,,
12/08/17,16:00:00,14.8084,78.624,,,,,
12/08/17,16:15:00,14.8084,78.624,,,,,
12/08/17,16:30:00,14.8084,78.624,,,,,
12/08/17,16:45:00,14.8084,78.624,,,,,
12/08/17,17:00:00,14.8105,78.624,,,,,
12/08/17,17:15:00,14.8147,78.624,,,,,
12/08/17,17:30:00,14.8211,78.624,,,,,
12/08/17,17:45:00,14.8233,78.624,,,,,
12/08/17,18:00:00,14.8255,78.624,,,,,
12/08/17,18:15:00,14.8255,78.624,,,,,
12/08/17,18:30:00,14.8276,78.624,,,,,
12/08/17,18:45:00,14.8255,78.624,,,,,
12/08/17,19:00:00,14.8276,78.624,,,,,
12/08/17,19:15:00,14.8297,78.624,,,,,
12/08/17,19:30:00,14.8340,78.624,,,,,
12/08/17,19:45:00,14.8271,78.449,,,,,
12/08/17,20:00:00,14.8292,78.449,,,,,
12/08/17,20:15:00,14.8292,78.449,,,,,
12/08/17,20:30:00,14.8591,78.449,,,,,
12/08/17,20:45:00,14.8955,78.449,,,,,
12/08/17,21:00:00,14.8655,78.449,,,,,
12/08/17,21:15:00,14.8613,78.449,,,,,
12/08/17,21:30:00,14.8591,78.449,,,,,
12/08/17,21:45:00,14.8549,78.449,,,,,
12/08/17,22:00:00,14.8549,78.449,,,,,
12/08/17,22:15:00,14.8484,78.449,,,,,
12/08/17,22:30:00,14.8464,78.449,,,,,
12/08/17,22:45:00,14.8436,78.274,,,,,
12/08/17,23:00:00,14.8479,78.274,,,,,
12/08/17,23:15:00,14.8522,78.274,,,,,
12/08/17,23:30:00,14.8585,78.274,,,,,
12/08/17,23:45:00,14.8585,78.274,,,,,
12/09/17,00:00:00,14.8543,78.274,,,,,
12/09/17,00:15:00,14.8543,78.274,,,,,
12/09/17,00:30:00,14.8458,78.274,,,,,
12/09/17,00:45:00,14.8394,78.274,,,,,
12/09/17,01:00:00,14.8350,78.274,,,,,
12/09/17,01:15:00,14.8265,78.274,,,,,
