Date,Time,Abs Pres (psi) c:1 2,Temp (°F) c:2,Coupler Detached,Coupler Attached,Host Connected,Stopped,End Of File
09/29/17,12:00:00,14.8609,79.678,Logged,,,,
09/29/17,12:15:00,14.8569,78.449,,,,,
09/29/17,12:30:00,14.8549,78.449,,,,,
09/29/17,12:45:00,14.8464,78.449,,,,,
09/29/17,13:00:00,14.8420,78.449,,,,,
09/29/17,13:15:00,14.8398,78.449,,,,,
09/29/17,13:30:00,14.8378,78.449,,,,,
09/29/17,13:45:00,14.8340,78.624,,,,,
09/29/17,14:00:00,14.8340,78.624,,,,,
09/29/17,14:15:00,14.8318,78.624,,,,,
09/29/17,14:30:00,14.8276,78.624,,,,,
09/29/17,14:45:00,14.8276,78.624,,,,,
09/29/17,15:00:00,14.8260,78.800,,,,,
09/29/17,15:15:00,14.8197,78.800,,,,,
09/29/17,15:30:00,14.8197,78.800,,,,,
09/29/17,15:45:00,14.8197,78.800,,,,,
09/29/17,16:00:00,14.8197,78.800,,,,,
09/29/17,16:15:00,14.8175,78.800,,,,,
09/29/17,16:30:00,14.8181,78.975,,,,,
09/29/17,16:45:00,14.8181,78.975,,,,,
09/29/17,17:00:00,14.8181,78.975,,,,,
09/29/17,17:15:00,14.8181,78.975,,,,,
09/29/17,17:30:00,14.8223,78.975,,,,,
09/29/17,17:45:00,14.8223,78.975,,,,,
09/29/17,18:00:00,14.8223,78.975,,,,,
09/29/17,18:15:00,14.8266,78.975,,,,,
09/29/17,18:30:00,14.8308,78.975,,,,,
09/29/17,18:45:00,14.8303,78.800,,,,,
09/29/17,19:00:00,14.8281,78.800,,,,,
09/29/17,19:15:00,14.8303,78.800,,,,,
09/29/17,19:30:00,14.8324,78.800,,,,,
09/29/17,19:45:00,14.8346,78.800,,,,,
09/29/17,20:00:00,14.8346,78.800,,,,,
09/29/17,20:15:00,14.8346,78.800,,,,,
09/29/17,20:30:00,14.8366,78.800,,,,,
09/29/17,20:45:00,14.8410,78.800,,,,,
09/29/17,21:00:00,14.8432,78.800,,,,,
09/29/17,21:15:00,14.8432,78.800,,,,,
09/29/17,21:30:00,14.8432,78.800,,,,,
09/29/17,21:45:00,14.8432,78.800,,,,,
09/29/17,22:00:00,14.8452,78.800,,,,,
09/29/17,22:15:00,14.8448,78.624,,,,,
09/29/17,22:30:00,14.8426,78.624,,,,,
09/29/17,22:45:00,14.8404,78.624,,,,,
09/29/17,23:00:00,14.8404,78.624,,,,,
09/29/17,23:15:00,14.8382,78.624,,,,,
09/29/17,23:30:00,14.8382,78.624,,,,,
09/29/17,23:45:00,14.8362,78.624,,,,,
09/30/17,00:00:00,14.8362,78.624,,,,,
09/30/17,00:15:00,14.8356,78.449,,,,,
09/30/17,00:30:00,14.8313,78.449,,,,,
09/30/17,00:45:00,14.8292,78.449,,,,,
09/30/17,01:00:00,14.8292,78.449,,,,,
09/30/17,01:15:00,14.8292,78.449,,,,,
09/30/17,01:30:00,14.8249,78.449,,,,,
09/30/17,01:45:00,14.8243,78.274,,,,,
09/30/17,02:00:00,14.8223,78.274,,,,,
09/30/17,02:15:00,14.8201,78.274,,,,,
09/30/17,02:30:00,14.8223,78.274,,,,,
09/30/17,02:45:00,14.8201,78.274,,,,,
09/30/17,03:00:00,14.8201,78.274,,,,,
09/30/17,03:15:00,14.8201,78.274,,,,,
09/30/17,03:30:00,14.8201,78.274,,,,,
09/30/17,03:45:00,14.8243,78.274,,,,,
09/30/17,04:00:00,14.8281,78.098,,,,,
09/30/17,04:15:00,14.8281,78.098,,,,,
09/30/17,04:30:00,14.8366,78.098,,,,,
09/30/17,04:45:00,14.8324,78.098,,,,,
09/30/17,05:00:00,14.8388,78.098,,,,,
09/30/17,05:15:00,14.8410,78.098,,,,,
09/30/17,05:30:00,14.8452,78.098,,,,,
09/30/17,05:45:00,14.8452,78.098,,,,,
09/30/17,06:00:00,14.8452,78.098,,,,,
09/30/17,06:15:00,14.8452,78.098,,,,,
