"Date Time, GMT-11:00","Abs Pres, kPa","Temp, °C","Coupler Detached","End Of File"
07/31/18 01:00:00 PM,101.700,25.902,Logged,
07/31/18 01:15:00 PM,101.640,26.097,,
07/31/18 01:30:00 PM,101.643,26.585,,
07/31/18 01:45:00 PM,101.604,26.879,,
07/31/18 02:00:00 PM,101.558,26.977,,
07/31/18 02:15:00 PM,101.558,26.977,,
07/31/18 02:30:00 PM,101.516,26.781,,
07/31/18 02:45:00 PM,101.482,26.781,,
07/31/18 03:00:00 PM,101.466,26.781,,
07/31/18 03:15:00 PM,101.479,26.683,,
07/31/18 03:30:00 PM,101.458,26.585,,
07/31/18 03:45:00 PM,101.458,26.585,,
07/31/18 04:00:00 PM,101.428,26.683,,
07/31/18 04:15:00 PM,101.424,26.585,,
07/31/18 04:30:00 PM,101.416,26.390,,
07/31/18 04:45:00 PM,101.446,26.292,,
07/31/18 05:00:00 PM,101.459,26.195,,
07/31/18 05:15:00 PM,101.451,26.000,,
07/31/18 05:30:00 PM,101.481,25.902,,
07/31/18 05:45:00 PM,101.460,25.805,,
07/31/18 06:00:00 PM,101.460,25.805,,
07/31/18 06:15:00 PM,101.457,25.708,,
07/31/18 06:30:00 PM,101.436,25.610,,
07/31/18 06:45:00 PM,101.466,25.513,,
07/31/18 07:00:00 PM,101.495,25.416,,
07/31/18 07:15:00 PM,101.492,25.319,,
07/31/18 07:30:00 PM,101.492,25.319,,
07/31/18 07:45:00 PM,101.505,25.222,,
07/31/18 08:00:00 PM,101.505,25.222,,
07/31/18 08:15:00 PM,101.518,25.125,,
07/31/18 08:30:00 PM,101.518,25.125,,
07/31/18 08:45:00 PM,101.531,25.028,,
07/31/18 09:00:00 PM,101.531,25.028,,
07/31/18 09:15:00 PM,101.547,25.028,,
07/31/18 09:30:00 PM,101.544,24.931,,
07/31/18 09:45:00 PM,101.544,24.931,,
07/31/18 10:00:00 PM,101.560,24.931,,
07/31/18 10:15:00 PM,101.573,24.835,,
07/31/18 10:30:00 PM,101.540,24.835,,
07/31/18 10:45:00 PM,101.523,24.835,,
07/31/18 11:00:00 PM,101.523,24.835,,
07/31/18 11:15:00 PM,101.506,24.835,,
07/31/18 11:30:00 PM,101.506,24.835,,
07/31/18 11:45:00 PM,101.519,24.738,,
08/01/18 12:00:00 AM,101.519,24.738,,
08/01/18 12:15:00 AM,101.519,24.738,,
08/01/18 12:30:00 AM,101.536,24.738,,
08/01/18 12:45:00 AM,101.532,24.641,,
08/01/18 01:00:00 AM,101.498,24.641,,
08/01/18 01:15:00 AM,101.482,24.641,,
08/01/18 01:30:00 AM,101.482,24.641,,
08/01/18 01:45:00 AM,101.465,24.641,,
08/01/18 02:00:00 AM,101.461,24.545,,
08/01/18 02:15:00 AM,101.478,24.545,,
08/01/18 02:30:00 AM,101.465,24.641,,
08/01/18 02:45:00 AM,101.448,24.641,,
08/01/18 03:00:00 AM,101.427,24.545,,
08/01/18 03:15:00 AM,101.427,24.545,,
08/01/18 03:30:00 AM,101.410,24.545,,
08/01/18 03:45:00 AM,101.410,24.545,,
08/01/18 04:00:00 AM,101.423,24.448,,
08/01/18 04:15:00 AM,101.423,24.448,,
08/01/18 04:30:00 AM,101.407,24.448,,
08/01/18 04:45:00 AM,101.423,24.448,,
08/01/18 05:00:00 AM,101.423,24.448,,
08/01/18 05:15:00 AM,101.440,24.448,,
08/01/18 05:30:00 AM,101.436,24.351,,
08/01/18 05:45:00 AM,101.436,24.351,,
08/01/18 06:00:00 AM,101.470,24.351,,
08/01/18 06:15:00 AM,101.453,24.351,,
08/01/18 06:30:00 AM,101.470,24.351,,
08/01/18 06:45:00 AM,101.487,24.351,,
08/01/18 07:00:00 AM,101.521,24.351,,
08/01/18 07:15:00 AM,101.537,24.351,,
08/01/18 07:30:00 AM,101.521,24.351,,
08/01/18 07:45:00 AM,101.524,24.448,,
08/01/18 08:00:00 AM,101.575,24.448,,
08/01/18 08:15:00 AM,101.596,24.545,,
08/01/18 08:30:00 AM,101.579,24.545,,
08/01/18 08:45:00 AM,101.603,24.738,,
08/01/18 09:00:00 AM,101.624,24.835,,
08/01/18 09:15:00 AM,101.615,25.028,,
08/01/18 09:30:00 AM,101.635,25.125,,
08/01/18 09:45:00 AM,101.606,25.222,,
08/01/18 10:00:00 AM,101.596,25.416,,
08/01/18 10:15:00 AM,101.571,25.610,,
08/01/18 10:30:00 AM,101.565,25.902,,
08/01/18 10:45:00 AM,101.560,26.195,,
08/01/18 11:00:00 AM,101.538,26.488,,
08/01/18 11:15:00 AM,101.534,26.390,,
08/01/18 11:30:00 AM,101.501,26.390,,
08/01/18 11:45:00 AM,101.491,26.585,,
08/01/18 12:00:00 PM,101.445,26.683,,
08/01/18 12:15:00 PM,101.428,26.683,,
08/01/18 12:30:00 PM,101.407,26.585,,
08/01/18 12:45:00 PM,101.387,26.488,,
08/01/18 01:00:00 PM,101.390,26.585,,
08/01/18 01:15:00 PM,101.348,26.781,,
08/01/18 01:30:00 PM,101.338,27.370,,
08/01/18 01:45:00 PM,101.338,27.370,,
08/01/18 02:00:00 PM,101.321,27.370,,
08/01/18 02:15:00 PM,101.291,27.468,,
08/01/18 02:30:00 PM,101.282,27.665,,
08/01/18 02:45:00 PM,101.261,27.567,,
08/01/18 03:00:00 PM,101.257,27.468,,
08/01/18 03:15:00 PM,101.249,27.272,,
08/01/18 03:30:00 PM,101.262,27.173,,
08/01/18 03:45:00 PM,101.279,27.173,,
08/01/18 04:00:00 PM,101.288,26.977,,
08/01/18 04:15:00 PM,101.301,26.879,,
08/01/18 04:30:00 PM,101.314,26.781,,
08/01/18 04:45:00 PM,101.327,26.683,,
08/01/18 05:00:00 PM,101.306,26.585,,
08/01/18 05:15:00 PM,101.357,26.585,,
08/01/18 05:30:00 PM,101.336,26.488,,
08/01/18 05:45:00 PM,101.366,26.390,,
08/01/18 06:00:00 PM,101.375,26.195,,
08/01/18 06:15:00 PM,101.371,26.097,,
08/01/18 06:30:00 PM,101.367,26.000,,
08/01/18 06:45:00 PM,101.363,25.902,,
08/01/18 07:00:00 PM,101.393,25.805,,
08/01/18 07:15:00 PM,101.406,25.708,,
08/01/18 07:30:00 PM,101.406,25.708,,
08/01/18 07:45:00 PM,101.402,25.610,,
08/01/18 08:00:00 PM,101.415,25.513,,
08/01/18 08:15:00 PM,101.415,25.513,,
08/01/18 08:30:00 PM,101.432,25.513,,
08/01/18 08:45:00 PM,101.428,25.416,,
08/01/18 09:00:00 PM,101.445,25.416,,
08/01/18 09:15:00 PM,101.441,25.319,,
08/01/18 09:30:00 PM,101.458,25.319,,
08/01/18 09:45:00 PM,101.437,25.222,,
08/01/18 10:00:00 PM,101.454,25.222,,
08/01/18 10:15:00 PM,101.433,25.125,,
08/01/18 10:30:00 PM,101.433,25.125,,
08/01/18 10:45:00 PM,101.450,25.125,,
08/01/18 11:00:00 PM,101.450,25.125,,
08/01/18 11:15:00 PM,101.446,25.028,,
08/01/18 11:30:00 PM,101.430,25.028,,
08/01/18 11:45:00 PM,101.446,25.028,,
08/02/18 12:00:00 AM,101.409,24.931,,
08/02/18 12:15:00 AM,101.392,24.931,,
08/02/18 12:30:00 AM,101.409,24.931,,
08/02/18 12:45:00 AM,101.426,24.931,,
08/02/18 01:00:00 AM,101.392,24.931,,
08/02/18 01:15:00 AM,101.388,24.835,,
08/02/18 01:30:00 AM,101.355,24.835,,
08/02/18 01:45:00 AM,101.371,24.835,,
08/02/18 02:00:00 AM,101.355,24.835,,
08/02/18 02:15:00 AM,101.351,24.738,,
08/02/18 02:30:00 AM,101.368,24.738,,
08/02/18 02:45:00 AM,101.334,24.738,,
08/02/18 03:00:00 AM,101.351,24.738,,
08/02/18 03:15:00 AM,101.334,24.738,,
08/02/18 03:30:00 AM,101.347,24.641,,
08/02/18 03:45:00 AM,101.296,24.641,,
08/02/18 04:00:00 AM,101.313,24.641,,
08/02/18 04:15:00 AM,101.313,24.641,,
08/02/18 04:30:00 AM,101.313,24.641,,
08/02/18 04:45:00 AM,101.296,24.641,,
08/02/18 05:00:00 AM,101.326,24.545,,
08/02/18 05:15:00 AM,101.326,24.545,,
08/02/18 05:30:00 AM,101.343,24.545,,
08/02/18 05:45:00 AM,101.343,24.545,,
08/02/18 06:00:00 AM,101.360,24.545,,
08/02/18 06:15:00 AM,101.360,24.545,,
08/02/18 06:30:00 AM,101.390,24.448,,
08/02/18 06:45:00 AM,101.423,24.448,,
08/02/18 07:00:00 AM,101.423,24.448,,
08/02/18 07:15:00 AM,101.440,24.448,,
08/02/18 07:30:00 AM,101.440,24.448,,
08/02/18 07:45:00 AM,101.427,24.545,,
08/02/18 08:00:00 AM,101.478,24.545,,
08/02/18 08:15:00 AM,101.482,24.641,,
08/02/18 08:30:00 AM,101.485,24.738,,
08/02/18 08:45:00 AM,101.506,24.835,,
08/02/18 09:00:00 AM,101.493,24.931,,
08/02/18 09:15:00 AM,101.480,25.028,,
08/02/18 09:30:00 AM,101.501,25.125,,
08/02/18 09:45:00 AM,101.508,25.319,,
08/02/18 10:00:00 AM,101.479,25.416,,
08/02/18 10:15:00 AM,101.486,25.610,,
08/02/18 10:30:00 AM,101.477,25.805,,
08/02/18 10:45:00 AM,101.498,25.902,,
08/02/18 11:00:00 AM,101.489,26.097,,
08/02/18 11:15:00 AM,101.463,26.292,,
08/02/18 11:30:00 AM,101.480,26.292,,
08/02/18 11:45:00 AM,101.459,26.195,,
08/02/18 12:00:00 PM,101.472,26.097,,
08/02/18 12:15:00 PM,101.418,26.000,,
08/02/18 12:30:00 PM,101.422,26.097,,
08/02/18 12:45:00 PM,101.476,26.195,,
08/02/18 01:00:00 PM,101.412,26.292,,
08/02/18 01:15:00 PM,101.399,26.390,,
08/02/18 01:30:00 PM,101.399,26.390,,
08/02/18 01:45:00 PM,101.357,26.585,,
08/02/18 02:00:00 PM,101.331,26.781,,
08/02/18 02:15:00 PM,101.310,26.683,,
08/02/18 02:30:00 PM,101.289,26.585,,
08/02/18 02:45:00 PM,101.252,26.488,,
08/02/18 03:00:00 PM,101.252,26.488,,
08/02/18 03:15:00 PM,101.265,26.390,,
08/02/18 03:30:00 PM,101.223,26.195,,
08/02/18 03:45:00 PM,101.223,26.195,,
08/02/18 04:00:00 PM,101.223,26.195,,
08/02/18 04:15:00 PM,101.210,26.292,,
08/02/18 04:30:00 PM,101.248,26.390,,
08/02/18 04:45:00 PM,101.261,26.292,,
08/02/18 05:00:00 PM,101.274,26.195,,
08/02/18 05:15:00 PM,101.253,26.097,,
08/02/18 05:30:00 PM,101.300,26.000,,
08/02/18 05:45:00 PM,101.313,25.902,,
08/02/18 06:00:00 PM,101.309,25.805,,
08/02/18 06:15:00 PM,101.339,25.708,,
08/02/18 06:30:00 PM,101.356,25.708,,
08/02/18 06:45:00 PM,101.369,25.610,,
08/02/18 07:00:00 PM,101.365,25.513,,
08/02/18 07:15:00 PM,101.361,25.416,,
08/02/18 07:30:00 PM,101.361,25.416,,
08/02/18 07:45:00 PM,101.378,25.416,,
08/02/18 08:00:00 PM,101.391,25.319,,
08/02/18 08:15:00 PM,101.420,25.222,,
08/02/18 08:30:00 PM,101.404,25.222,,
08/02/18 08:45:00 PM,101.417,25.125,,
08/02/18 09:00:00 PM,101.400,25.125,,
08/02/18 09:15:00 PM,101.433,25.125,,
08/02/18 09:30:00 PM,101.430,25.028,,
08/02/18 09:45:00 PM,101.430,25.028,,
08/02/18 10:00:00 PM,101.413,25.028,,
08/02/18 10:15:00 PM,101.379,25.028,,
08/02/18 10:30:00 PM,101.379,25.028,,
08/02/18 10:45:00 PM,101.362,25.028,,
08/02/18 11:00:00 PM,101.375,24.931,,
08/02/18 11:15:00 PM,101.409,24.931,,
08/02/18 11:30:00 PM,101.375,24.931,,
08/02/18 11:45:00 PM,101.358,24.931,,
08/03/18 12:00:00 AM,101.375,24.931,,
08/03/18 12:15:00 AM,101.325,24.931,,
08/03/18 12:30:00 AM,101.342,24.931,,
08/03/18 12:45:00 AM,101.325,24.931,,
08/03/18 01:00:00 AM,101.325,24.931,,
08/03/18 01:15:00 AM,101.308,24.931,,
08/03/18 01:30:00 AM,101.304,24.835,,
08/03/18 01:45:00 AM,101.287,24.835,,
08/03/18 02:00:00 AM,101.254,24.835,,
08/03/18 02:15:00 AM,101.237,24.835,,
08/03/18 02:30:00 AM,101.220,24.835,,
08/03/18 02:45:00 AM,101.203,24.835,,
08/03/18 03:00:00 AM,101.199,24.738,,
08/03/18 03:15:00 AM,101.199,24.738,,
08/03/18 03:30:00 AM,101.233,24.738,,
08/03/18 03:45:00 AM,101.233,24.738,,
08/03/18 04:00:00 AM,101.216,24.738,,
08/03/18 04:15:00 AM,101.216,24.738,,
08/03/18 04:30:00 AM,101.250,24.738,,
08/03/18 04:45:00 AM,101.182,24.738,,
08/03/18 05:00:00 AM,101.182,24.738,,
08/03/18 05:15:00 AM,101.216,24.738,,
08/03/18 05:30:00 AM,101.199,24.738,,
08/03/18 05:45:00 AM,101.199,24.738,,
08/03/18 06:00:00 AM,101.199,24.738,,
08/03/18 06:15:00 AM,101.216,24.738,,
08/03/18 06:30:00 AM,101.250,24.738,,
08/03/18 06:45:00 AM,101.267,24.738,,
08/03/18 07:00:00 AM,101.283,24.738,,
08/03/18 07:15:00 AM,101.384,24.738,,
08/03/18 07:30:00 AM,101.485,24.738,,
08/03/18 07:45:00 AM,101.553,24.738,,
08/03/18 08:00:00 AM,101.489,24.835,,
08/03/18 08:15:00 AM,101.472,24.835,,
08/03/18 08:30:00 AM,101.476,24.931,,
08/03/18 08:45:00 AM,101.514,25.028,,
08/03/18 09:00:00 AM,101.534,25.125,,
08/03/18 09:15:00 AM,101.538,25.222,,
08/03/18 09:30:00 AM,101.495,25.416,,
08/03/18 09:45:00 AM,101.542,25.319,,
08/03/18 10:00:00 AM,101.580,25.416,,
08/03/18 10:15:00 AM,101.554,25.610,,
08/03/18 10:30:00 AM,101.545,25.805,,
08/03/18 10:45:00 AM,101.502,26.000,,
08/03/18 11:00:00 AM,101.489,26.097,,
08/03/18 11:15:00 AM,101.493,26.195,,
08/03/18 11:30:00 AM,101.493,26.195,,
08/03/18 11:45:00 AM,101.455,26.097,,
08/03/18 12:00:00 PM,101.429,26.292,,
08/03/18 12:15:00 PM,101.399,26.390,,
08/03/18 12:30:00 PM,101.402,26.879,,
08/03/18 12:45:00 PM,101.393,27.075,,
08/03/18 01:00:00 PM,101.410,27.075,,
08/03/18 01:15:00 PM,101.389,26.977,,
08/03/18 01:30:00 PM,101.335,26.879,,
08/03/18 01:45:00 PM,101.280,26.781,,
08/03/18 02:00:00 PM,101.264,26.781,,
08/03/18 02:15:00 PM,101.217,26.879,,
08/03/18 02:30:00 PM,101.221,26.977,,
08/03/18 02:45:00 PM,101.187,26.977,,
08/03/18 03:00:00 PM,101.196,26.781,,
08/03/18 03:15:00 PM,101.175,26.683,,
08/03/18 03:30:00 PM,101.172,26.585,,
08/03/18 03:45:00 PM,101.192,26.683,,
08/03/18 04:00:00 PM,101.175,26.683,,
08/03/18 04:15:00 PM,101.205,26.585,,
08/03/18 04:30:00 PM,101.201,26.488,,
08/03/18 04:45:00 PM,101.210,26.292,,
08/03/18 05:00:00 PM,101.223,26.195,,
08/03/18 05:15:00 PM,101.203,26.097,,
08/03/18 05:30:00 PM,101.199,26.000,,
08/03/18 05:45:00 PM,101.212,25.902,,
08/03/18 06:00:00 PM,101.225,25.805,,
08/03/18 06:15:00 PM,101.238,25.708,,
08/03/18 06:30:00 PM,101.234,25.610,,
08/03/18 06:45:00 PM,101.247,25.513,,
08/03/18 07:00:00 PM,101.280,25.513,,
08/03/18 07:15:00 PM,101.293,25.416,,
08/03/18 07:30:00 PM,101.306,25.319,,
08/03/18 07:45:00 PM,101.290,25.319,,
08/03/18 08:00:00 PM,101.303,25.222,,
08/03/18 08:15:00 PM,101.319,25.222,,
08/03/18 08:30:00 PM,101.332,25.125,,
08/03/18 08:45:00 PM,101.349,25.125,,
08/03/18 09:00:00 PM,101.345,25.028,,
08/03/18 09:15:00 PM,101.329,25.028,,
08/03/18 09:30:00 PM,101.362,25.028,,
08/03/18 09:45:00 PM,101.362,25.028,,
08/03/18 10:00:00 PM,101.379,25.028,,
08/03/18 10:15:00 PM,101.379,25.028,,
08/03/18 10:30:00 PM,101.379,25.028,,
08/03/18 10:45:00 PM,101.375,24.931,,
08/03/18 11:00:00 PM,101.342,24.931,,
08/03/18 11:15:00 PM,101.342,24.931,,
08/03/18 11:30:00 PM,101.342,24.931,,
08/03/18 11:45:00 PM,101.325,24.931,,
08/04/18 12:00:00 AM,101.325,24.931,,
08/04/18 12:15:00 AM,101.325,24.931,,
08/04/18 12:30:00 AM,101.325,24.931,,
08/04/18 12:45:00 AM,101.291,24.931,,
08/04/18 01:00:00 AM,101.291,24.931,,
08/04/18 01:15:00 AM,101.270,24.835,,
08/04/18 01:30:00 AM,101.254,24.835,,
08/04/18 01:45:00 AM,101.237,24.835,,
