Date,Time,Abs Pres (psi) c:1 2,Temp (°F) c:2,Coupler Detached,Coupler Attached,Host Connected,Stopped,End Of File
09/29/17,12:30:00,14.8069,81.797,Logged,,,,
09/29/17,12:45:00,14.8010,81.442,,,,,
09/29/17,13:00:00,14.7946,82.508,,,,,
09/29/17,13:15:00,14.7920,83.221,,,,,
09/29/17,13:30:00,14.7925,83.399,,,,,
09/29/17,13:45:00,14.7925,83.399,,,,,
09/29/17,14:00:00,14.7909,82.864,,,,,
09/29/17,14:15:00,14.7860,82.864,,,,,
09/29/17,14:30:00,14.7860,82.864,,,,,
09/29/17,14:45:00,14.7854,82.686,,,,,
09/29/17,15:00:00,14.7824,82.508,,,,,
09/29/17,15:15:00,14.7769,82.330,,,,,
09/29/17,15:30:00,14.7782,81.975,,,,,
09/29/17,15:45:00,14.7764,81.442,,,,,
09/29/17,16:00:00,14.7748,80.911,,,,,
09/29/17,16:15:00,14.7762,80.559,,,,,
09/29/17,16:30:00,14.7719,80.029,,,,,
09/29/17,16:45:00,14.7733,79.678,,,,,
09/29/17,17:00:00,14.7727,79.502,,,,,
09/29/17,17:15:00,14.7740,79.151,,,,,
09/29/17,17:30:00,14.7783,78.975,,,,,
09/29/17,17:45:00,14.7802,78.800,,,,,
09/29/17,18:00:00,14.7791,78.449,,,,,
09/29/17,18:15:00,14.7834,78.274,,,,,
09/29/17,18:30:00,14.7878,78.098,,,,,
09/29/17,18:45:00,14.7878,78.098,,,,,
09/29/17,19:00:00,14.7847,77.923,,,,,
09/29/17,19:15:00,14.7866,77.749,,,,,
09/29/17,19:30:00,14.7891,77.749,,,,,
09/29/17,19:45:00,14.7915,77.749,,,,,
09/29/17,20:00:00,14.7934,77.574,,,,,
09/29/17,20:15:00,14.7909,77.574,,,,,
09/29/17,20:30:00,14.7959,77.574,,,,,
09/29/17,20:45:00,14.7934,77.574,,,,,
09/29/17,21:00:00,14.8007,77.574,,,,,
09/29/17,21:15:00,14.7976,77.400,,,,,
09/29/17,21:30:00,14.8001,77.400,,,,,
09/29/17,21:45:00,14.8001,77.400,,,,,
09/29/17,22:00:00,14.8026,77.400,,,,,
09/29/17,22:15:00,14.8026,77.400,,,,,
09/29/17,22:30:00,14.8026,77.400,,,,,
09/29/17,22:45:00,14.8020,77.225,,,,,
09/29/17,23:00:00,14.7995,77.225,,,,,
09/29/17,23:15:00,14.7972,77.225,,,,,
09/29/17,23:30:00,14.7972,77.225,,,,,
09/29/17,23:45:00,14.7947,77.225,,,,,
09/30/17,00:00:00,14.7972,77.225,,,,,
09/30/17,00:15:00,14.7941,77.050,,,,,
09/30/17,00:30:00,14.7941,77.050,,,,,
09/30/17,00:45:00,14.7892,77.050,,,,,
09/30/17,01:00:00,14.7892,77.050,,,,,
09/30/17,01:15:00,14.7936,76.876,,,,,
09/30/17,01:30:00,14.7886,76.876,,,,,
09/30/17,01:45:00,14.7838,76.876,,,,,
09/30/17,02:00:00,14.7814,76.876,,,,,
09/30/17,02:15:00,14.7814,76.876,,,,,
09/30/17,02:30:00,14.7814,76.876,,,,,
09/30/17,02:45:00,14.7833,76.703,,,,,
09/30/17,03:00:00,14.7833,76.703,,,,,
09/30/17,03:15:00,14.7808,76.703,,,,,
09/30/17,03:30:00,14.7808,76.703,,,,,
09/30/17,03:45:00,14.7833,76.703,,,,,
09/30/17,04:00:00,14.7857,76.703,,,,,
09/30/17,04:15:00,14.7857,76.703,,,,,
09/30/17,04:30:00,14.7857,76.703,,,,,
09/30/17,04:45:00,14.7886,76.876,,,,,
09/30/17,05:00:00,14.7886,76.876,,,,,
09/30/17,05:15:00,14.7911,76.876,,,,,
09/30/17,05:30:00,14.7857,76.703,,,,,
09/30/17,05:45:00,14.7954,76.703,,,,,
09/30/17,06:00:00,14.7979,76.703,,,,,
09/30/17,06:15:00,14.7979,76.703,,,,,
09/30/17,06:30:00,14.8028,76.703,,,,,
09/30/17,06:45:00,14.8052,76.703,,,,,
09/30/17,07:00:00,14.8076,76.703,,,,,
09/30/17,07:15:00,14.8101,76.703,,,,,
09/30/17,07:30:00,14.8137,77.050,,,,,
09/30/17,07:45:00,14.8137,77.050,,,,,
09/30/17,08:00:00,14.8191,77.225,,,,,
09/30/17,08:15:00,14.8197,77.400,,,,,
09/30/17,08:30:00,14.8256,77.749,,,,,
09/30/17,08:45:00,14.8268,78.098,,,,,
09/30/17,09:00:00,14.8224,78.274,,,,,
09/30/17,09:15:00,14.8247,78.975,,,,,
09/30/17,09:30:00,14.8271,79.678,,,,,
09/30/17,09:45:00,14.8281,80.029,,,,,
