Date,Time,Abs Pres (psi) c:1 2,Temp (°F) c:2,Coupler Detached,Coupler Attached,Host Connected,Stopped,End Of File
08/24/17,10:15:00,14.8268,77.923,Logged,,,,
08/24/17,10:30:00,14.8245,77.923,,,,,
08/24/17,10:45:00,14.8211,78.274,,,,,
08/24/17,11:00:00,14.8202,78.624,,,,,
08/24/17,11:15:00,14.8169,78.975,,,,,
08/24/17,11:30:00,14.8114,79.326,,,,,
08/24/17,11:45:00,14.8082,79.678,,,,,
08/24/17,12:00:00,14.8018,79.853,,,,,
08/24/17,12:15:00,14.7963,80.206,,,,,
08/24/17,12:30:00,14.7931,80.559,,,,,
08/24/17,12:45:00,14.7915,80.735,,,,,
08/24/17,13:00:00,14.7853,80.911,,,,,
08/24/17,13:15:00,14.7812,81.090,,,,,
08/24/17,13:30:00,14.7820,81.266,,,,,
08/24/17,13:45:00,14.7757,81.442,,,,,
08/24/17,14:00:00,14.7741,81.621,,,,,
08/24/17,14:15:00,14.7695,81.621,,,,,
08/24/17,14:30:00,14.7641,81.442,,,,,
08/24/17,14:45:00,14.7612,81.266,,,,,
08/24/17,15:00:00,14.7605,81.090,,,,,
08/24/17,15:15:00,14.7590,80.735,,,,,
08/24/17,15:30:00,14.7590,80.735,,,,,
08/24/17,15:45:00,14.7531,80.382,,,,,
08/24/17,16:00:00,14.7524,80.206,,,,,
08/24/17,16:15:00,14.7516,80.029,,,,,
08/24/17,16:30:00,14.7511,79.853,,,,,
08/24/17,16:45:00,14.7496,79.502,,,,,
08/24/17,17:00:00,14.7528,79.151,,,,,
08/24/17,17:15:00,14.7592,78.975,,,,,
08/24/17,17:30:00,14.7631,78.800,,,,,
08/24/17,17:45:00,14.7617,78.449,,,,,
08/24/17,18:00:00,14.7609,78.274,,,,,
08/24/17,18:15:00,14.7627,78.098,,,,,
08/24/17,18:30:00,14.7643,77.923,,,,,
08/24/17,18:45:00,14.7682,77.749,,,,,
08/24/17,19:00:00,14.7698,77.574,,,,,
08/24/17,19:15:00,14.7692,77.400,,,,,
08/24/17,19:30:00,14.7715,77.400,,,,,
08/24/17,19:45:00,14.7738,77.400,,,,,
08/24/17,20:00:00,14.7778,77.225,,,,,
08/24/17,20:15:00,14.7801,77.225,,,,,
08/24/17,20:30:00,14.7863,77.050,,,,,
08/24/17,20:45:00,14.7840,77.050,,,,,
08/24/17,21:00:00,14.7909,77.050,,,,,
08/24/17,21:15:00,14.7909,77.050,,,,,
08/24/17,21:30:00,14.7902,76.876,,,,,
