Date,Time,Abs Pres (psi) c:1 2,Temp (°F) c:2,Coupler Detached,Coupler Attached,Host Connected,Stopped,End Of File
06/05/17,11:15:00,14.8352,79.853,Logged,,,,
06/05/17,11:30:00,14.8321,78.975,,,,,
06/05/17,11:45:00,14.8321,78.975,,,,,
06/05/17,12:00:00,14.8304,79.151,,,,,
06/05/17,12:15:00,14.8310,79.326,,,,,
06/05/17,12:30:00,14.8223,79.502,,,,,
06/05/17,12:45:00,14.8205,79.678,,,,,
06/05/17,13:00:00,14.8213,79.853,,,,,
06/05/17,13:15:00,14.8195,80.029,,,,,
06/05/17,13:30:00,14.8149,80.029,,,,,
06/05/17,13:45:00,14.8149,80.029,,,,,
06/05/17,14:00:00,14.8131,80.206,,,,,
06/05/17,14:15:00,14.8091,80.382,,,,,
06/05/17,14:30:00,14.8044,80.382,,,,,
06/05/17,14:45:00,14.8021,80.382,,,,,
06/05/17,15:00:00,14.8004,80.559,,,,,
06/05/17,15:15:00,14.8004,80.559,,,,,
06/05/17,15:30:00,14.8027,80.559,,,,,
06/05/17,15:45:00,14.8004,80.559,,,,,
06/05/17,16:00:00,14.8004,80.559,,,,,
06/05/17,16:15:00,14.8027,80.559,,,,,
06/05/17,16:30:00,14.8021,80.382,,,,,
06/05/17,16:45:00,14.8044,80.382,,,,,
06/05/17,17:00:00,14.8021,80.382,,,,,
06/05/17,17:15:00,14.8037,80.206,,,,,
06/05/17,17:30:00,14.8031,80.029,,,,,
06/05/17,17:45:00,14.8055,80.029,,,,,
06/05/17,18:00:00,14.8078,80.029,,,,,
06/05/17,18:15:00,14.8095,79.853,,,,,
06/05/17,18:30:00,14.8066,79.678,,,,,
06/05/17,18:45:00,14.8089,79.678,,,,,
06/05/17,19:00:00,14.8107,79.502,,,,,
06/05/17,19:15:00,14.8130,79.502,,,,,
06/05/17,19:30:00,14.8124,79.326,,,,,
06/05/17,19:45:00,14.8147,79.326,,,,,
06/05/17,20:00:00,14.8124,79.326,,,,,
06/05/17,20:15:00,14.8165,79.151,,,,,
06/05/17,20:30:00,14.8118,79.151,,,,,
06/05/17,20:45:00,14.8142,79.151,,,,,
06/05/17,21:00:00,14.8134,78.975,,,,,
06/05/17,21:15:00,14.8111,78.975,,,,,
06/05/17,21:30:00,14.8105,78.800,,,,,
06/05/17,21:45:00,14.8128,78.800,,,,,
06/05/17,22:00:00,14.8105,78.800,,,,,
06/05/17,22:15:00,14.8152,78.800,,,,,
06/05/17,22:30:00,14.8105,78.800,,,,,
06/05/17,22:45:00,14.8152,78.800,,,,,
06/05/17,23:00:00,14.8146,78.624,,,,,
06/05/17,23:15:00,14.8169,78.624,,,,,
06/05/17,23:30:00,14.8146,78.624,,,,,
06/05/17,23:45:00,14.8169,78.624,,,,,
06/06/17,00:00:00,14.8123,78.624,,,,,
06/06/17,00:15:00,14.8192,78.624,,,,,
06/06/17,00:30:00,14.8146,78.624,,,,,
06/06/17,00:45:00,14.8192,78.624,,,,,
06/06/17,01:00:00,14.8123,78.624,,,,,
06/06/17,01:15:00,14.8146,78.624,,,,,
06/06/17,01:30:00,14.8123,78.624,,,,,
06/06/17,01:45:00,14.8123,78.624,,,,,
06/06/17,02:00:00,14.8099,78.624,,,,,
06/06/17,02:15:00,14.8099,78.624,,,,,
06/06/17,02:30:00,14.8099,78.624,,,,,
06/06/17,02:45:00,14.8099,78.624,,,,,
06/06/17,03:00:00,14.8076,78.624,,,,,
06/06/17,03:15:00,14.8076,78.624,,,,,
06/06/17,03:30:00,14.8076,78.624,,,,,
06/06/17,03:45:00,14.8076,78.624,,,,,
06/06/17,04:00:00,14.8053,78.624,,,,,
06/06/17,04:15:00,14.8053,78.624,,,,,
06/06/17,04:30:00,14.8047,78.449,,,,,
06/06/17,04:45:00,14.8070,78.449,,,,,
06/06/17,05:00:00,14.8094,78.449,,,,,
06/06/17,05:15:00,14.8117,78.449,,,,,
06/06/17,05:30:00,14.8140,78.449,,,,,
06/06/17,05:45:00,14.8163,78.449,,,,,
06/06/17,06:00:00,14.8163,78.449,,,,,
06/06/17,06:15:00,14.8210,78.449,,,,,
06/06/17,06:30:00,14.8256,78.449,,,,,
06/06/17,06:45:00,14.8256,78.449,,,,,
06/06/17,07:00:00,14.8303,78.449,,,,,
06/06/17,07:15:00,14.8297,78.274,,,,,
06/06/17,07:30:00,14.8326,78.449,,,,,
06/06/17,07:45:00,14.8326,78.449,,,,,
06/06/17,08:00:00,14.8390,78.274,,,,,
06/06/17,08:15:00,14.8420,78.449,,,,,
06/06/17,08:30:00,14.8490,78.449,,,,,
06/06/17,08:45:00,14.8466,78.449,,,,,
06/06/17,09:00:00,14.8495,78.624,,,,,
06/06/17,09:15:00,14.8495,78.624,,,,,
06/06/17,09:30:00,14.8495,78.624,,,,,
06/06/17,09:45:00,14.8455,78.800,,,,,
06/06/17,10:00:00,14.8455,78.800,,,,,
06/06/17,10:15:00,14.8437,78.975,,,,,
06/06/17,10:30:00,14.8491,79.151,,,,,
06/06/17,10:45:00,14.8468,79.151,,,,,
06/06/17,11:00:00,14.8427,79.326,,,,,
06/06/17,11:15:00,14.8410,79.502,,,,,
06/06/17,11:30:00,14.8410,79.502,,,,,
06/06/17,11:45:00,14.8340,79.502,,,,,
06/06/17,12:00:00,14.8329,79.853,,,,,
06/06/17,12:15:00,14.8282,79.853,,,,,
06/06/17,12:30:00,14.8265,80.029,,,,,
06/06/17,12:45:00,14.8195,80.029,,,,,
06/06/17,13:00:00,14.8201,80.206,,,,,
06/06/17,13:15:00,14.8155,80.206,,,,,
06/06/17,13:30:00,14.8131,80.206,,,,,
06/06/17,13:45:00,14.8114,80.382,,,,,
06/06/17,14:00:00,14.8050,80.559,,,,,
06/06/17,14:15:00,14.8004,80.559,,,,,
06/06/17,14:30:00,14.7986,80.735,,,,,
06/06/17,14:45:00,14.7963,80.735,,,,,
06/06/17,15:00:00,14.7940,80.735,,,,,
06/06/17,15:15:00,14.7894,80.735,,,,,
06/06/17,15:30:00,14.7899,80.911,,,,,
06/06/17,15:45:00,14.7853,80.911,,,,,
06/06/17,16:00:00,14.7923,80.911,,,,,
06/06/17,16:15:00,14.7923,80.911,,,,,
06/06/17,16:30:00,14.7899,80.911,,,,,
06/06/17,16:45:00,14.7894,80.735,,,,,
06/06/17,17:00:00,14.7870,80.735,,,,,
06/06/17,17:15:00,14.7917,80.735,,,,,
06/06/17,17:30:00,14.7934,80.559,,,,,
06/06/17,17:45:00,14.7934,80.559,,,,,
06/06/17,18:00:00,14.7973,80.382,,,,,
06/06/17,18:15:00,14.7973,80.382,,,,,
