Date,Time,Abs Pres (psi) c:1 2,Temp (°F) c:2,Coupler Detached,Coupler Attached,Host Connected,Stopped,End Of File
07/19/16,13:00:00,14.8278,75.484,Logged,,,,
07/19/16,13:15:00,14.8260,75.659,,,,,
07/19/16,13:30:00,14.8223,75.832,,,,,
07/19/16,13:45:00,14.8153,75.659,,,,,
07/19/16,14:00:00,14.8131,75.659,,,,,
07/19/16,14:15:00,14.8136,75.832,,,,,
07/19/16,14:30:00,14.8084,75.484,,,,,
07/19/16,14:45:00,14.8084,75.484,,,,,
07/19/16,15:00:00,14.8084,75.484,,,,,
07/19/16,15:15:00,14.8088,75.659,,,,,
07/19/16,15:30:00,14.8044,75.659,,,,,
07/19/16,15:45:00,14.8018,75.484,,,,,
07/19/16,16:00:00,14.7975,75.484,,,,,
07/19/16,16:15:00,14.7970,75.312,,,,,
07/19/16,16:30:00,14.7949,75.312,,,,,
07/19/16,16:45:00,14.7927,75.312,,,,,
07/19/16,17:00:00,14.7970,75.312,,,,,
07/19/16,17:15:00,14.8014,75.312,,,,,
07/19/16,17:30:00,14.7986,75.139,,,,,
07/19/16,17:45:00,14.8008,75.139,,,,,
07/19/16,18:00:00,14.8073,75.139,,,,,
07/19/16,18:15:00,14.8091,74.964,,,,,
07/19/16,18:30:00,14.8134,74.964,,,,,
07/19/16,18:45:00,14.8195,74.791,,,,,
07/19/16,19:00:00,14.8195,74.791,,,,,
07/19/16,19:15:00,14.8191,74.619,,,,,
07/19/16,19:30:00,14.8213,74.619,,,,,
07/19/16,19:45:00,14.8255,74.619,,,,,
07/19/16,20:00:00,14.8359,74.446,,,,,
07/19/16,20:15:00,14.8490,74.446,,,,,
07/19/16,20:30:00,14.8507,74.271,,,,,
07/19/16,20:45:00,14.8464,74.271,,,,,
07/19/16,21:00:00,14.8501,74.098,,,,,
07/19/16,21:15:00,14.8693,73.926,,,,,
07/19/16,21:30:00,14.8693,73.926,,,,,
07/19/16,21:45:00,14.8714,73.926,,,,,
07/19/16,22:00:00,14.8710,73.753,,,,,
07/19/16,22:15:00,14.8710,73.753,,,,,
07/19/16,22:30:00,14.8645,73.753,,,,,
07/19/16,22:45:00,14.8558,73.753,,,,,
07/19/16,23:00:00,14.8488,73.580,,,,,
07/19/16,23:15:00,14.8423,73.580,,,,,
07/19/16,23:30:00,14.8423,73.580,,,,,
07/19/16,23:45:00,14.8358,73.580,,,,,
07/20/16,00:00:00,14.8401,73.580,,,,,
07/20/16,00:15:00,14.8379,73.580,,,,,
07/20/16,00:30:00,14.8358,73.580,,,,,
07/20/16,00:45:00,14.8358,73.580,,,,,
07/20/16,01:00:00,14.8316,73.580,,,,,
07/20/16,01:15:00,14.8272,73.580,,,,,
07/20/16,01:30:00,14.8246,73.407,,,,,
07/20/16,01:45:00,14.8246,73.407,,,,,
07/20/16,02:00:00,14.8181,73.407,,,,,
07/20/16,02:15:00,14.8181,73.407,,,,,
07/20/16,02:30:00,14.8181,73.407,,,,,
07/20/16,02:45:00,14.8115,73.407,,,,,
07/20/16,03:00:00,14.8072,73.407,,,,,
07/20/16,03:15:00,14.8028,73.407,,,,,
07/20/16,03:30:00,14.8028,73.407,,,,,
07/20/16,03:45:00,14.8007,73.407,,,,,
07/20/16,04:00:00,14.8007,73.407,,,,,
07/20/16,04:15:00,14.8007,73.407,,,,,
07/20/16,04:30:00,14.7963,73.407,,,,,
07/20/16,04:45:00,14.7941,73.407,,,,,
07/20/16,05:00:00,14.7941,73.407,,,,,
07/20/16,05:15:00,14.7920,73.407,,,,,
07/20/16,05:30:00,14.7920,73.407,,,,,
07/20/16,05:45:00,14.7941,73.407,,,,,
07/20/16,06:00:00,14.7963,73.407,,,,,
07/20/16,06:15:00,14.7981,73.234,,,,,
07/20/16,06:30:00,14.7981,73.234,,,,,
07/20/16,06:45:00,14.8002,73.234,,,,,
07/20/16,07:00:00,14.8024,73.234,,,,,
07/20/16,07:15:00,14.8024,73.234,,,,,
07/20/16,07:30:00,14.8046,73.234,,,,,
07/20/16,07:45:00,14.8089,73.234,,,,,
07/20/16,08:00:00,14.8115,73.407,,,,,
07/20/16,08:15:00,14.8115,73.407,,,,,
07/20/16,08:30:00,14.8142,73.580,,,,,
07/20/16,08:45:00,14.8163,73.580,,,,,
07/20/16,09:00:00,14.8185,73.580,,,,,
07/20/16,09:15:00,14.8189,73.753,,,,,
