Date,Time,Abs Pres (psi) c:1 2,Temp (°F) c:2,Coupler Detached,Coupler Attached,Host Connected,Stopped,End Of File
06/14/16,11:00:00,14.8712,77.749,Logged,,,,
06/14/16,11:15:00,14.8678,77.400,,,,,
06/14/16,11:30:00,14.8655,77.400,,,,,
06/14/16,11:45:00,14.8639,77.574,,,,,
06/14/16,12:00:00,14.8571,77.574,,,,,
06/14/16,12:15:00,14.8555,77.749,,,,,
06/14/16,12:30:00,14.8555,77.749,,,,,
06/14/16,12:45:00,14.8487,77.749,,,,,
06/14/16,13:00:00,14.8471,77.923,,,,,
06/14/16,13:15:00,14.8426,77.923,,,,,
06/14/16,13:30:00,14.8403,77.923,,,,,
06/14/16,13:45:00,14.8426,77.923,,,,,
06/14/16,14:00:00,14.8381,77.923,,,,,
06/14/16,14:15:00,14.8342,78.098,,,,,
06/14/16,14:30:00,14.8318,78.098,,,,,
06/14/16,14:45:00,14.8274,78.098,,,,,
06/14/16,15:00:00,14.8279,78.274,,,,,
06/14/16,15:15:00,14.8258,78.274,,,,,
06/14/16,15:30:00,14.8258,78.274,,,,,
06/14/16,15:45:00,14.8279,78.274,,,,,
06/14/16,16:00:00,14.8258,78.274,,,,,
06/14/16,16:15:00,14.8258,78.274,,,,,
06/14/16,16:30:00,14.8303,78.274,,,,,
06/14/16,16:45:00,14.8279,78.274,,,,,
06/14/16,17:00:00,14.8303,78.274,,,,,
06/14/16,17:15:00,14.8324,78.274,,,,,
06/14/16,17:30:00,14.8347,78.274,,,,,
06/14/16,17:45:00,14.8392,78.274,,,,,
06/14/16,18:00:00,14.8416,78.274,,,,,
06/14/16,18:15:00,14.8408,78.098,,,,,
06/14/16,18:30:00,14.8453,78.098,,,,,
06/14/16,18:45:00,14.8498,78.098,,,,,
06/14/16,19:00:00,14.8543,78.098,,,,,
06/14/16,19:15:00,14.8590,78.098,,,,,
06/14/16,19:30:00,14.8627,77.923,,,,,
06/14/16,19:45:00,14.8651,77.923,,,,,
06/14/16,20:00:00,14.8696,77.923,,,,,
06/14/16,20:15:00,14.8672,77.923,,,,,
06/14/16,20:30:00,14.8690,77.749,,,,,
06/14/16,20:45:00,14.8757,77.749,,,,,
06/14/16,21:00:00,14.8735,77.749,,,,,
06/14/16,21:15:00,14.8757,77.749,,,,,
06/14/16,21:30:00,14.8774,77.574,,,,,
06/14/16,21:45:00,14.8774,77.574,,,,,
06/14/16,22:00:00,14.8751,77.574,,,,,
06/14/16,22:15:00,14.8774,77.574,,,,,
06/14/16,22:30:00,14.8774,77.574,,,,,
