Date,Time,Abs Pres (psi) c:1 2,Temp (°F) c:2,Coupler Detached,Coupler Attached,Host Connected,Stopped,End Of File
08/31/17,10:30:00,14.7622,75.312,Logged,,,,
08/31/17,10:45:00,14.7572,75.139,,,,,
08/31/17,11:00:00,14.7572,75.139,,,,,
08/31/17,11:15:00,14.7534,75.312,,,,,
08/31/17,11:30:00,14.7518,75.484,,,,,
08/31/17,11:45:00,14.7473,75.484,,,,,
08/31/17,12:00:00,14.7480,75.659,,,,,
08/31/17,12:15:00,14.7435,75.659,,,,,
08/31/17,12:30:00,14.7353,75.832,,,,,
08/31/17,12:45:00,14.7315,76.006,,,,,
08/31/17,13:00:00,14.7277,76.181,,,,,
08/31/17,13:15:00,14.7238,76.354,,,,,
08/31/17,13:30:00,14.7223,76.528,,,,,
08/31/17,13:45:00,14.7223,76.528,,,,,
08/31/17,14:00:00,14.7184,76.703,,,,,
08/31/17,14:15:00,14.7147,76.876,,,,,
08/31/17,14:30:00,14.7102,76.876,,,,,
08/31/17,14:45:00,14.7102,76.876,,,,,
08/31/17,15:00:00,14.7080,76.876,,,,,
08/31/17,15:15:00,14.7080,76.876,,,,,
08/31/17,15:30:00,14.7096,76.703,,,,,
08/31/17,15:45:00,14.7080,76.876,,,,,
08/31/17,16:00:00,14.7102,76.876,,,,,
08/31/17,16:15:00,14.7102,76.876,,,,,
08/31/17,16:30:00,14.7125,76.876,,,,,
08/31/17,16:45:00,14.7147,76.876,,,,,
08/31/17,17:00:00,14.7147,76.876,,,,,
08/31/17,17:15:00,14.7184,76.703,,,,,
08/31/17,17:30:00,14.7184,76.703,,,,,
08/31/17,17:45:00,14.7208,76.703,,,,,
08/31/17,18:00:00,14.7208,76.703,,,,,
08/31/17,18:15:00,14.7223,76.528,,,,,
08/31/17,18:30:00,14.7223,76.528,,,,,
08/31/17,18:45:00,14.7216,76.354,,,,,
08/31/17,19:00:00,14.7261,76.354,,,,,
08/31/17,19:15:00,14.7283,76.354,,,,,
08/31/17,19:30:00,14.7321,76.181,,,,,
08/31/17,19:45:00,14.7366,76.181,,,,,
08/31/17,20:00:00,14.7360,76.006,,,,,
08/31/17,20:15:00,14.7403,76.006,,,,,
08/31/17,20:30:00,14.7382,76.006,,,,,
08/31/17,20:45:00,14.7419,75.832,,,,,
08/31/17,21:00:00,14.7442,75.832,,,,,
08/31/17,21:15:00,14.7464,75.832,,,,,
08/31/17,21:30:00,14.7442,75.832,,,,,
08/31/17,21:45:00,14.7458,75.659,,,,,
08/31/17,22:00:00,14.7458,75.659,,,,,
08/31/17,22:15:00,14.7502,75.659,,,,,
08/31/17,22:30:00,14.7473,75.484,,,,,
08/31/17,22:45:00,14.7473,75.484,,,,,
08/31/17,23:00:00,14.7473,75.484,,,,,
08/31/17,23:15:00,14.7473,75.484,,,,,
08/31/17,23:30:00,14.7445,75.312,,,,,
08/31/17,23:45:00,14.7422,75.312,,,,,
09/01/17,00:00:00,14.7400,75.312,,,,,
09/01/17,00:15:00,14.7400,75.312,,,,,
09/01/17,00:30:00,14.7350,75.139,,,,,
09/01/17,00:45:00,14.7328,75.139,,,,,
09/01/17,01:00:00,14.7283,75.139,,,,,
09/01/17,01:15:00,14.7260,75.139,,,,,
09/01/17,01:30:00,14.7260,75.139,,,,,
09/01/17,01:45:00,14.7232,74.964,,,,,
09/01/17,02:00:00,14.7165,74.964,,,,,
09/01/17,02:15:00,14.7142,74.964,,,,,
09/01/17,02:30:00,14.7165,74.964,,,,,
09/01/17,02:45:00,14.7165,74.964,,,,,
09/01/17,03:00:00,14.7158,74.791,,,,,
09/01/17,03:15:00,14.7181,74.791,,,,,
09/01/17,03:30:00,14.7158,74.791,,,,,
09/01/17,03:45:00,14.7158,74.791,,,,,
09/01/17,04:00:00,14.7107,74.619,,,,,
09/01/17,04:15:00,14.7174,74.619,,,,,
09/01/17,04:30:00,14.7131,74.619,,,,,
09/01/17,04:45:00,14.7152,74.619,,,,,
09/01/17,05:00:00,14.7152,74.619,,,,,
09/01/17,05:15:00,14.7174,74.619,,,,,
09/01/17,05:30:00,14.7219,74.619,,,,,
09/01/17,05:45:00,14.7235,74.446,,,,,
09/01/17,06:00:00,14.7280,74.446,,,,,
09/01/17,06:15:00,14.7302,74.446,,,,,
09/01/17,06:30:00,14.7302,74.446,,,,,
