Date,Time,Abs Pres (psi) c:1 2,Temp (°F) c:2,Coupler Detached,Coupler Attached,Host Connected,Stopped,End Of File
10/23/17,12:30:00,14.9237,79.151,Logged,,,,
10/23/17,12:45:00,14.9656,78.449,,,,,
10/23/17,13:00:00,15.2706,78.274,,,,,
10/23/17,13:15:00,15.7045,77.749,,,,,
10/23/17,13:30:00,15.7063,77.050,,,,,
10/23/17,13:45:00,15.5714,76.876,,,,,
10/23/17,14:00:00,15.4380,77.050,,,,,
10/23/17,14:15:00,15.3351,77.050,,,,,
10/23/17,14:30:00,15.2688,77.225,,,,,
10/23/17,14:45:00,15.2159,77.400,,,,,
10/23/17,15:00:00,15.1914,77.400,,,,,
10/23/17,15:15:00,15.1586,77.574,,,,,
10/23/17,15:30:00,15.1273,77.574,,,,,
10/23/17,15:45:00,15.1168,77.749,,,,,
10/23/17,16:00:00,15.1019,77.923,,,,,
10/23/17,16:15:00,15.0884,77.923,,,,,
10/23/17,16:30:00,15.0796,77.923,,,,,
10/23/17,16:45:00,15.0774,77.923,,,,,
10/23/17,17:00:00,15.0684,77.923,,,,,
10/23/17,17:15:00,15.0596,77.923,,,,,
10/23/17,17:30:00,15.0610,77.749,,,,,
10/23/17,17:45:00,15.0522,77.749,,,,,
10/23/17,18:00:00,15.0388,77.749,,,,,
10/23/17,18:15:00,15.0432,77.749,,,,,
10/23/17,18:30:00,15.0365,77.749,,,,,
10/23/17,18:45:00,15.0365,77.749,,,,,
10/23/17,19:00:00,15.0320,77.749,,,,,
10/23/17,19:15:00,15.0292,77.574,,,,,
10/23/17,19:30:00,15.0269,77.574,,,,,
10/23/17,19:45:00,15.0224,77.574,,,,,
10/23/17,20:00:00,15.0224,77.574,,,,,
10/23/17,20:15:00,15.0136,77.574,,,,,
10/23/17,20:30:00,15.0136,77.574,,,,,
10/23/17,20:45:00,15.0174,77.400,,,,,
10/23/17,21:00:00,15.0152,77.400,,,,,
10/23/17,21:15:00,15.0129,77.400,,,,,
10/23/17,21:30:00,15.0218,77.400,,,,,
10/23/17,21:45:00,15.0107,77.400,,,,,
10/23/17,22:00:00,15.0100,77.225,,,,,
10/23/17,22:15:00,15.0123,77.225,,,,,
10/23/17,22:30:00,15.0078,77.225,,,,,
10/23/17,22:45:00,15.0033,77.225,,,,,
10/23/17,23:00:00,15.0011,77.225,,,,,
10/23/17,23:15:00,14.9921,77.225,,,,,
10/23/17,23:30:00,14.9899,77.225,,,,,
10/23/17,23:45:00,14.9811,77.225,,,,,
10/24/17,00:00:00,14.9721,77.225,,,,,
10/24/17,00:15:00,14.9766,77.225,,,,,
10/24/17,00:30:00,14.9744,77.225,,,,,
10/24/17,00:45:00,14.9676,77.225,,,,,
10/24/17,01:00:00,14.9676,77.225,,,,,
10/24/17,01:15:00,14.9543,77.225,,,,,
10/24/17,01:30:00,14.9521,77.225,,,,,
10/24/17,01:45:00,14.9476,77.225,,,,,
10/24/17,02:00:00,14.9431,77.225,,,,,
10/24/17,02:15:00,14.9403,77.050,,,,,
10/24/17,02:30:00,14.9380,77.050,,,,,
10/24/17,02:45:00,14.9335,77.050,,,,,
10/24/17,03:00:00,14.9292,77.050,,,,,
10/24/17,03:15:00,14.9268,77.050,,,,,
10/24/17,03:30:00,14.9268,77.050,,,,,
10/24/17,03:45:00,14.9225,77.050,,,,,
10/24/17,04:00:00,14.9268,77.050,,,,,
10/24/17,04:15:00,14.9292,77.050,,,,,
10/24/17,04:30:00,14.9225,77.050,,,,,
10/24/17,04:45:00,14.9268,77.050,,,,,
10/24/17,05:00:00,14.9292,77.050,,,,,
10/24/17,05:15:00,14.9292,77.050,,,,,
10/24/17,05:30:00,14.9247,77.050,,,,,
10/24/17,05:45:00,14.9335,77.050,,,,,
10/24/17,06:00:00,14.9313,77.050,,,,,
10/24/17,06:15:00,14.9335,77.050,,,,,
10/24/17,06:30:00,14.9292,77.050,,,,,
10/24/17,06:45:00,14.9313,77.050,,,,,
10/24/17,07:00:00,14.9292,77.050,,,,,
10/24/17,07:15:00,14.9358,77.050,,,,,
10/24/17,07:30:00,14.9313,77.050,,,,,
10/24/17,07:45:00,14.9313,77.050,,,,,
10/24/17,08:00:00,14.9268,77.050,,,,,
10/24/17,08:15:00,14.9313,77.050,,,,,
10/24/17,08:30:00,14.9292,77.050,,,,,
10/24/17,08:45:00,14.9231,77.225,,,,,
10/24/17,09:00:00,14.9253,77.225,,,,,
10/24/17,09:15:00,14.9231,77.225,,,,,
10/24/17,09:30:00,14.9209,77.225,,,,,
10/24/17,09:45:00,14.9215,77.400,,,,,
10/24/17,10:00:00,14.9171,77.400,,,,,
10/24/17,10:15:00,14.9155,77.574,,,,,
10/24/17,10:30:00,14.9110,77.574,,,,,
10/24/17,10:45:00,14.9089,77.574,,,,,
10/24/17,11:00:00,14.9028,77.749,,,,,
10/24/17,11:15:00,14.9012,77.923,,,,,
10/24/17,11:30:00,14.8990,77.923,,,,,
10/24/17,11:45:00,14.8929,78.098,,,,,
10/24/17,12:00:00,14.8929,78.098,,,,,
10/24/17,12:15:00,14.8891,78.274,,,,,
10/24/17,12:30:00,14.8891,78.274,,,,,
10/24/17,12:45:00,14.8825,78.274,,,,,
10/24/17,13:00:00,14.8809,78.449,,,,,
10/24/17,13:15:00,14.8764,78.449,,,,,
10/24/17,13:30:00,14.8742,78.449,,,,,
10/24/17,13:45:00,14.8681,78.624,,,,,
10/24/17,14:00:00,14.8667,78.800,,,,,
10/24/17,14:15:00,14.8622,78.800,,,,,
10/24/17,14:30:00,14.8622,78.800,,,,,
10/24/17,14:45:00,14.8577,78.800,,,,,
10/24/17,15:00:00,14.8577,78.800,,,,,
10/24/17,15:15:00,14.8577,78.800,,,,,
10/24/17,15:30:00,14.8555,78.800,,,,,
10/24/17,15:45:00,14.8555,78.800,,,,,
10/24/17,16:00:00,14.8532,78.800,,,,,
10/24/17,16:15:00,14.8510,78.800,,,,,
10/24/17,16:30:00,14.8443,78.800,,,,,
10/24/17,16:45:00,14.8465,78.800,,,,,
