Date,Time,Abs Pres (psi) c:1 2,Temp (°F) c:2,Coupler Detached,Coupler Attached,Host Connected,Stopped,End Of File
03/28/16,14:30:00,14.5930,90.495,Logged,,,,
03/28/16,14:45:00,14.5914,87.004,,,,,
03/28/16,15:00:00,14.5867,85.194,,,,,
03/28/16,15:15:00,14.9930,80.382,,,,,
03/28/16,15:30:00,14.9926,80.206,,,,,
03/28/16,15:45:00,14.9899,80.206,,,,,
03/28/16,16:00:00,14.9926,80.206,,,,,
03/28/16,16:15:00,15.0024,80.206,,,,,
03/28/16,16:30:00,15.0198,80.206,,,,,
03/28/16,16:45:00,15.0572,80.206,,,,,
03/28/16,17:00:00,15.0822,80.206,,,,,
03/28/16,17:15:00,15.0871,80.206,,,,,
03/28/16,17:30:00,15.0846,80.206,,,,,
03/28/16,17:45:00,15.0771,80.206,,,,,
03/28/16,18:00:00,15.0746,80.206,,,,,
03/28/16,18:15:00,15.0668,80.029,,,,,
03/28/16,18:30:00,15.0693,80.029,,,,,
03/28/16,18:45:00,15.0617,80.029,,,,,
03/28/16,19:00:00,15.0617,80.029,,,,,
03/28/16,19:15:00,15.0588,79.853,,,,,
03/28/16,19:30:00,15.0588,79.853,,,,,
03/28/16,19:45:00,15.0639,79.853,,,,,
03/28/16,20:00:00,15.0584,79.678,,,,,
03/28/16,20:15:00,15.0584,79.678,,,,,
03/28/16,20:30:00,15.0659,79.678,,,,,
03/28/16,20:45:00,15.0659,79.678,,,,,
03/28/16,21:00:00,15.0604,79.502,,,,,
03/28/16,21:15:00,15.0555,79.502,,,,,
03/28/16,21:30:00,15.0555,79.502,,,,,
03/28/16,21:45:00,15.0580,79.502,,,,,
03/28/16,22:00:00,15.0575,79.326,,,,,
03/28/16,22:15:00,15.0526,79.326,,,,,
03/28/16,22:30:00,15.0526,79.326,,,,,
03/28/16,22:45:00,15.0477,79.326,,,,,
03/28/16,23:00:00,15.0451,79.326,,,,,
03/28/16,23:15:00,15.0426,79.326,,,,,
03/28/16,23:30:00,15.0397,79.151,,,,,
03/28/16,23:45:00,15.0372,79.151,,,,,
03/29/16,00:00:00,15.0348,79.151,,,,,
03/29/16,00:15:00,15.0323,79.151,,,,,
03/29/16,00:30:00,15.0298,79.151,,,,,
03/29/16,00:45:00,15.0218,78.975,,,,,
03/29/16,01:00:00,15.0145,78.975,,,,,
03/29/16,01:15:00,15.0118,78.975,,,,,
03/29/16,01:30:00,15.0094,78.975,,,,,
03/29/16,01:45:00,15.0015,78.800,,,,,
03/29/16,02:00:00,14.9991,78.800,,,,,
03/29/16,02:15:00,14.9966,78.800,,,,,
03/29/16,02:30:00,14.9891,78.800,,,,,
03/29/16,02:45:00,14.9862,78.624,,,,,
03/29/16,03:00:00,14.9862,78.624,,,,,
03/29/16,03:15:00,14.9837,78.624,,,,,
03/29/16,03:30:00,14.9837,78.624,,,,,
03/29/16,03:45:00,14.9786,78.624,,,,,
03/29/16,04:00:00,14.9783,78.449,,,,,
03/29/16,04:15:00,14.9783,78.449,,,,,
03/29/16,04:30:00,14.9757,78.449,,,,,
03/29/16,04:45:00,14.9757,78.449,,,,,
03/29/16,05:00:00,14.9733,78.449,,,,,
03/29/16,05:15:00,14.9708,78.449,,,,,
03/29/16,05:30:00,14.9753,78.274,,,,,
03/29/16,05:45:00,14.9779,78.274,,,,,
03/29/16,06:00:00,14.9753,78.274,,,,,
03/29/16,06:15:00,14.9753,78.274,,,,,
03/29/16,06:30:00,14.9728,78.274,,,,,
03/29/16,06:45:00,14.9753,78.274,,,,,
03/29/16,07:00:00,14.9804,78.274,,,,,
03/29/16,07:15:00,14.9804,78.274,,,,,
03/29/16,07:30:00,14.9828,78.274,,,,,
03/29/16,07:45:00,14.9828,78.274,,,,,
03/29/16,08:00:00,14.9828,78.274,,,,,
03/29/16,08:15:00,14.9878,78.274,,,,,
03/29/16,08:30:00,14.9902,78.274,,,,,
03/29/16,08:45:00,14.9902,78.274,,,,,
03/29/16,09:00:00,14.9978,78.274,,,,,
03/29/16,09:15:00,14.9928,78.274,,,,,
03/29/16,09:30:00,14.9933,78.449,,,,,
03/29/16,09:45:00,15.0007,78.449,,,,,
03/29/16,10:00:00,15.0031,78.449,,,,,
03/29/16,10:15:00,15.0007,78.449,,,,,
03/29/16,10:30:00,15.0007,78.449,,,,,
03/29/16,10:45:00,14.9936,78.624,,,,,
03/29/16,11:00:00,14.9862,78.624,,,,,
03/29/16,11:15:00,14.9786,78.624,,,,,
03/29/16,11:30:00,14.9766,78.800,,,,,
03/29/16,11:45:00,14.9721,78.975,,,,,
03/29/16,12:00:00,14.9650,79.151,,,,,
03/29/16,12:15:00,14.9605,79.326,,,,,
03/29/16,12:30:00,14.9556,79.326,,,,,
03/29/16,12:45:00,14.9534,79.502,,,,,
03/29/16,13:00:00,14.9538,79.678,,,,,
03/29/16,13:15:00,14.9469,79.853,,,,,
03/29/16,13:30:00,14.9447,80.029,,,,,
03/29/16,13:45:00,14.9377,80.206,,,,,
03/29/16,14:00:00,14.9306,80.382,,,,,
03/29/16,14:15:00,14.9306,80.382,,,,,
03/29/16,14:30:00,14.9257,80.382,,,,,
03/29/16,14:45:00,14.9208,80.382,,,,,
03/29/16,15:00:00,14.9187,80.559,,,,,
03/29/16,15:15:00,14.9161,80.559,,,,,
03/29/16,15:30:00,14.9161,80.559,,,,,
03/29/16,15:45:00,14.9112,80.559,,,,,
03/29/16,16:00:00,14.9112,80.559,,,,,
03/29/16,16:15:00,14.9132,80.382,,,,,
03/29/16,16:30:00,14.9183,80.382,,,,,
03/29/16,16:45:00,14.9370,80.911,,,,,
03/29/16,17:00:00,14.9406,80.382,,,,,
03/29/16,17:15:00,14.9406,80.382,,,,,
03/29/16,17:30:00,14.9427,80.206,,,,,
03/29/16,17:45:00,14.9427,80.206,,,,,
03/29/16,18:00:00,14.9451,80.206,,,,,
03/29/16,18:15:00,14.9473,80.029,,,,,
03/29/16,18:30:00,14.9473,80.029,,,,,
03/29/16,18:45:00,14.9422,80.029,,,,,
03/29/16,19:00:00,14.9447,80.029,,,,,
03/29/16,19:15:00,14.9473,80.029,,,,,
03/29/16,19:30:00,14.9518,79.853,,,,,
03/29/16,19:45:00,14.9543,79.853,,,,,
03/29/16,20:00:00,14.9543,79.853,,,,,
03/29/16,20:15:00,14.9567,79.853,,,,,
03/29/16,20:30:00,14.9618,79.853,,,,,
03/29/16,20:45:00,14.9638,79.678,,,,,
03/29/16,21:00:00,14.9638,79.678,,,,,
03/29/16,21:15:00,14.9712,79.678,,,,,
03/29/16,21:30:00,15.0709,79.678,,,,,
03/29/16,21:45:00,15.2768,79.326,,,,,
03/29/16,22:00:00,15.5304,78.975,,,,,
03/29/16,22:15:00,15.4916,78.449,,,,,
03/29/16,22:30:00,15.4188,78.274,,,,,
03/29/16,22:45:00,15.3760,78.098,,,,,
03/29/16,23:00:00,15.3511,78.098,,,,,
03/29/16,23:15:00,15.3611,78.098,,,,,
03/29/16,23:30:00,15.5232,78.098,,,,,
03/29/16,23:45:00,15.5827,77.923,,,,,
03/30/16,00:00:00,15.5224,77.749,,,,,
03/30/16,00:15:00,15.4850,77.749,,,,,
03/30/16,00:30:00,15.4425,77.749,,,,,
03/30/16,00:45:00,15.4130,77.923,,,,,
03/30/16,01:00:00,15.3781,77.923,,,,,
03/30/16,01:15:00,15.3607,77.923,,,,,
03/30/16,01:30:00,15.3433,77.923,,,,,
03/30/16,01:45:00,15.3257,77.923,,,,,
03/30/16,02:00:00,15.3132,77.923,,,,,
03/30/16,02:15:00,15.2983,77.923,,,,,
03/30/16,02:30:00,15.2884,77.923,,,,,
03/30/16,02:45:00,15.2709,77.923,,,,,
03/30/16,03:00:00,15.2580,77.749,,,,,
03/30/16,03:15:00,15.2430,77.749,,,,,
03/30/16,03:30:00,15.2332,77.749,,,,,
03/30/16,03:45:00,15.2256,77.749,,,,,
03/30/16,04:00:00,15.2181,77.749,,,,,
03/30/16,04:15:00,15.2132,77.749,,,,,
03/30/16,04:30:00,15.2132,77.749,,,,,
03/30/16,04:45:00,15.2132,77.749,,,,,
03/30/16,05:00:00,15.2211,77.923,,,,,
03/30/16,05:15:00,15.2185,77.923,,,,,
03/30/16,05:30:00,15.2136,77.923,,,,,
03/30/16,05:45:00,15.2116,78.098,,,,,
03/30/16,06:00:00,15.2091,78.098,,,,,
03/30/16,06:15:00,15.1991,78.098,,,,,
03/30/16,06:30:00,15.2016,78.098,,,,,
03/30/16,06:45:00,15.1995,78.274,,,,,
03/30/16,07:00:00,15.1920,78.274,,,,,
03/30/16,07:15:00,15.1895,78.274,,,,,
03/30/16,07:30:00,15.1870,78.274,,,,,
03/30/16,07:45:00,15.1821,78.274,,,,,
03/30/16,08:00:00,15.1795,78.274,,,,,
03/30/16,08:15:00,15.1795,78.274,,,,,
03/30/16,08:30:00,15.1746,78.274,,,,,
03/30/16,08:45:00,15.1721,78.274,,,,,
03/30/16,09:00:00,15.1675,78.449,,,,,
03/30/16,09:15:00,15.1675,78.449,,,,,
03/30/16,09:30:00,15.1650,78.449,,,,,
03/30/16,09:45:00,15.1654,78.624,,,,,
03/30/16,10:00:00,15.1654,78.624,,,,,
03/30/16,10:15:00,15.1634,78.800,,,,,
03/30/16,10:30:00,15.1585,78.800,,,,,
03/30/16,10:45:00,15.1609,78.800,,,,,
03/30/16,11:00:00,15.1514,78.975,,,,,
03/30/16,11:15:00,15.1538,78.975,,,,,
03/30/16,11:30:00,15.1440,78.975,,,,,
03/30/16,11:45:00,15.1389,78.975,,,,,
