Date,Time,Abs Pres (psi) c:1 2,Temp (°F) c:2,Coupler Detached,Coupler Attached,Host Connected,Stopped,End Of File
05/19/16,15:15:00,14.9579,77.225,Logged,,,,
05/19/16,15:30:00,14.9596,76.876,,,,,
05/19/16,15:45:00,14.9572,76.876,,,,,
05/19/16,16:00:00,14.9596,76.876,,,,,
05/19/16,16:15:00,14.9596,76.876,,,,,
05/19/16,16:30:00,14.9621,76.876,,,,,
05/19/16,16:45:00,14.9646,76.876,,,,,
05/19/16,17:00:00,14.9646,76.876,,,,,
05/19/16,17:15:00,14.9670,76.876,,,,,
05/19/16,17:30:00,14.9695,76.876,,,,,
05/19/16,17:45:00,14.9695,76.876,,,,,
05/19/16,18:00:00,14.9666,76.703,,,,,
05/19/16,18:15:00,14.9695,76.876,,,,,
05/19/16,18:30:00,14.9746,76.876,,,,,
05/19/16,18:45:00,14.9717,76.703,,,,,
05/19/16,19:00:00,14.9791,76.703,,,,,
05/19/16,19:15:00,14.9840,76.703,,,,,
05/19/16,19:30:00,14.9840,76.703,,,,,
05/19/16,19:45:00,14.9940,76.703,,,,,
05/19/16,20:00:00,14.9915,76.703,,,,,
05/19/16,20:15:00,14.9940,76.703,,,,,
05/19/16,20:30:00,14.9965,76.703,,,,,
05/19/16,20:45:00,14.9989,76.703,,,,,
05/19/16,21:00:00,15.0015,76.703,,,,,
05/19/16,21:15:00,15.0015,76.703,,,,,
05/19/16,21:30:00,15.0015,76.703,,,,,
05/19/16,21:45:00,15.0040,76.703,,,,,
05/19/16,22:00:00,15.0015,76.703,,,,,
05/19/16,22:15:00,15.0015,76.703,,,,,
05/19/16,22:30:00,14.9989,76.703,,,,,
05/19/16,22:45:00,15.0015,76.703,,,,,
05/19/16,23:00:00,15.0015,76.703,,,,,
05/19/16,23:15:00,15.0040,76.703,,,,,
05/19/16,23:30:00,15.0015,76.703,,,,,
05/19/16,23:45:00,14.9965,76.703,,,,,
05/20/16,00:00:00,14.9989,76.703,,,,,
05/20/16,00:15:00,14.9940,76.703,,,,,
05/20/16,00:30:00,14.9915,76.703,,,,,
