Date,Time,Abs Pres (psi) c:1 2,Temp (°F) c:2,Coupler Detached,Coupler Attached,Host Connected,Stopped,End Of File
04/22/17,19:00:00,14.8540,81.621,Logged,,,,
04/22/17,19:15:00,14.8584,79.326,,,,,
04/22/17,19:30:00,14.8606,79.151,,,,,
04/22/17,19:45:00,14.8655,79.151,,,,,
04/22/17,20:00:00,14.8655,79.151,,,,,
04/22/17,20:15:00,14.8655,79.151,,,,,
04/22/17,20:30:00,14.8675,78.975,,,,,
04/22/17,20:45:00,14.8700,78.975,,,,,
04/22/17,21:00:00,14.8700,78.975,,,,,
04/22/17,21:15:00,14.8725,78.975,,,,,
04/22/17,21:30:00,14.8725,78.975,,,,,
04/22/17,21:45:00,14.8725,78.975,,,,,
04/22/17,22:00:00,14.8725,78.975,,,,,
04/22/17,22:15:00,14.8700,78.975,,,,,
04/22/17,22:30:00,14.8725,78.975,,,,,
04/22/17,22:45:00,14.8725,78.975,,,,,
04/22/17,23:00:00,14.8696,78.800,,,,,
04/22/17,23:15:00,14.8671,78.800,,,,,
04/22/17,23:30:00,14.8696,78.800,,,,,
04/22/17,23:45:00,14.8696,78.800,,,,,
04/23/17,00:00:00,14.8671,78.800,,,,,
04/23/17,00:15:00,14.8622,78.800,,,,,
04/23/17,00:30:00,14.8622,78.800,,,,,
04/23/17,00:45:00,14.8597,78.800,,,,,
04/23/17,01:00:00,14.8572,78.800,,,,,
04/23/17,01:15:00,14.8572,78.800,,,,,
04/23/17,01:30:00,14.8546,78.800,,,,,
04/23/17,01:45:00,14.8522,78.800,,,,,
04/23/17,02:00:00,14.8497,78.800,,,,,
04/23/17,02:15:00,14.8497,78.800,,,,,
04/23/17,02:30:00,14.8468,78.624,,,,,
04/23/17,02:45:00,14.8443,78.624,,,,,
04/23/17,03:00:00,14.8443,78.624,,,,,
04/23/17,03:15:00,14.8419,78.624,,,,,
04/23/17,03:30:00,14.8419,78.624,,,,,
04/23/17,03:45:00,14.8419,78.624,,,,,
04/23/17,04:00:00,14.8394,78.624,,,,,
04/23/17,04:15:00,14.8394,78.624,,,,,
04/23/17,04:30:00,14.8419,78.624,,,,,
04/23/17,04:45:00,14.8419,78.624,,,,,
04/23/17,05:00:00,14.8394,78.624,,,,,
04/23/17,05:15:00,14.8419,78.624,,,,,
04/23/17,05:30:00,14.8439,78.449,,,,,
04/23/17,05:45:00,14.8439,78.449,,,,,
04/23/17,06:00:00,14.8439,78.449,,,,,
04/23/17,06:15:00,14.8464,78.449,,,,,
04/23/17,06:30:00,14.8464,78.449,,,,,
04/23/17,06:45:00,14.8514,78.449,,,,,
04/23/17,07:00:00,14.8539,78.449,,,,,
04/23/17,07:15:00,14.8564,78.449,,,,,
04/23/17,07:30:00,14.8588,78.449,,,,,
04/23/17,07:45:00,14.8588,78.449,,,,,
04/23/17,08:00:00,14.8559,78.274,,,,,
04/23/17,08:15:00,14.8584,78.274,,,,,
04/23/17,08:30:00,14.8609,78.274,,,,,
04/23/17,08:45:00,14.8584,78.274,,,,,
04/23/17,09:00:00,14.8609,78.274,,,,,
04/23/17,09:15:00,14.8688,78.449,,,,,
04/23/17,09:30:00,14.8613,78.449,,,,,
04/23/17,09:45:00,14.8613,78.449,,,,,
04/23/17,10:00:00,14.8642,78.624,,,,,
04/23/17,10:15:00,14.8617,78.624,,,,,
04/23/17,10:30:00,14.8622,78.800,,,,,
04/23/17,10:45:00,14.8572,78.800,,,,,
04/23/17,11:00:00,14.8551,78.975,,,,,
04/23/17,11:15:00,14.8555,79.151,,,,,
04/23/17,11:30:00,14.8506,79.151,,,,,
04/23/17,11:45:00,14.8510,79.326,,,,,
04/23/17,12:00:00,14.8464,79.502,,,,,
04/23/17,12:15:00,14.8468,79.678,,,,,
04/23/17,12:30:00,14.8419,79.678,,,,,
04/23/17,12:45:00,14.8398,79.853,,,,,
04/23/17,13:00:00,14.8374,79.853,,,,,
04/23/17,13:15:00,14.8323,79.853,,,,,
04/23/17,13:30:00,14.8298,79.853,,,,,
04/23/17,13:45:00,14.8323,79.853,,,,,
04/23/17,14:00:00,14.8253,80.029,,,,,
04/23/17,14:15:00,14.8229,80.029,,,,,
04/23/17,14:30:00,14.8178,80.029,,,,,
04/23/17,14:45:00,14.8128,80.029,,,,,
04/23/17,15:00:00,14.8128,80.029,,,,,
04/23/17,15:15:00,14.8128,80.029,,,,,
04/23/17,15:30:00,14.8128,80.029,,,,,
04/23/17,15:45:00,14.8128,80.029,,,,,
04/23/17,16:00:00,14.8104,80.029,,,,,
04/23/17,16:15:00,14.8104,80.029,,,,,
04/23/17,16:30:00,14.8104,80.029,,,,,
04/23/17,16:45:00,14.8099,79.853,,,,,
04/23/17,17:00:00,14.8149,79.853,,,,,
04/23/17,17:15:00,14.8195,79.678,,,,,
04/23/17,17:30:00,14.8195,79.678,,,,,
04/23/17,17:45:00,14.8240,79.502,,,,,
04/23/17,18:00:00,14.8216,79.502,,,,,
04/23/17,18:15:00,14.8316,79.502,,,,,
04/23/17,18:30:00,14.8340,79.502,,,,,
04/23/17,18:45:00,14.8361,79.326,,,,,
04/23/17,19:00:00,14.8461,79.326,,,,,
04/23/17,19:15:00,14.8485,79.326,,,,,
04/23/17,19:30:00,14.8535,79.326,,,,,
04/23/17,19:45:00,14.8530,79.151,,,,,
04/23/17,20:00:00,14.8555,79.151,,,,,
04/23/17,20:15:00,14.8580,79.151,,,,,
04/23/17,20:30:00,14.8580,79.151,,,,,
04/23/17,20:45:00,14.8606,79.151,,,,,
04/23/17,21:00:00,14.8601,78.975,,,,,
04/23/17,21:15:00,14.8626,78.975,,,,,
04/23/17,21:30:00,14.8651,78.975,,,,,
04/23/17,21:45:00,14.8601,78.975,,,,,
04/23/17,22:00:00,14.8597,78.800,,,,,
04/23/17,22:15:00,14.8597,78.800,,,,,
