Date,Time,Abs Pres (psi) c:1 2,Temp (°F) c:2,Coupler Detached,Coupler Attached,Host Connected,End Of File
03/30/16,15:00:00,14.5728,88.650,Logged,,,
03/30/16,15:15:00,14.5728,88.650,,,,
03/30/16,15:30:00,14.5712,88.833,,,,
03/30/16,15:45:00,14.5689,88.099,,,,
03/30/16,16:00:00,14.6365,81.090,,,,
03/30/16,16:15:00,14.6323,80.382,,,,
03/30/16,16:30:00,14.6317,80.206,,,,
03/30/16,16:45:00,14.6333,80.029,,,,
03/30/16,17:00:00,14.6311,80.029,,,,
03/30/16,17:15:00,14.6333,80.029,,,,
03/30/16,17:30:00,14.6311,80.029,,,,
03/30/16,17:45:00,14.6311,80.029,,,,
03/30/16,18:00:00,14.6333,80.029,,,,
03/30/16,18:15:00,14.6333,80.029,,,,
03/30/16,18:30:00,14.6349,79.853,,,,
03/30/16,18:45:00,14.6349,79.853,,,,
03/30/16,19:00:00,14.6305,79.853,,,,
03/30/16,19:15:00,14.6300,79.678,,,,
03/30/16,19:30:00,14.6279,79.678,,,,
03/30/16,19:45:00,14.6321,79.678,,,,
03/30/16,20:00:00,14.6343,79.678,,,,
03/30/16,20:15:00,14.6359,79.502,,,,
03/30/16,20:30:00,14.6359,79.502,,,,
03/30/16,20:45:00,14.6381,79.502,,,,
03/30/16,21:00:00,14.6423,79.502,,,,
03/30/16,21:15:00,14.6401,79.502,,,,
03/30/16,21:30:00,14.6445,79.502,,,,
03/30/16,21:45:00,14.6445,79.502,,,,
03/30/16,22:00:00,14.6423,79.502,,,,
03/30/16,22:15:00,14.6439,79.326,,,,
03/30/16,22:30:00,14.6417,79.326,,,,
03/30/16,22:45:00,14.6417,79.326,,,,
03/30/16,23:00:00,14.6397,79.326,,,,
03/30/16,23:15:00,14.6397,79.326,,,,
03/30/16,23:30:00,14.6353,79.326,,,,
03/30/16,23:45:00,14.6353,79.326,,,,
03/31/16,00:00:00,14.6311,79.326,,,,
03/31/16,00:15:00,14.6311,79.326,,,,
03/31/16,00:30:00,14.6268,79.326,,,,
03/31/16,00:45:00,14.6246,79.326,,,,
03/31/16,01:00:00,14.6204,79.326,,,,
03/31/16,01:15:00,14.6162,79.326,,,,
03/31/16,01:30:00,14.6140,79.326,,,,
03/31/16,01:45:00,14.6076,79.326,,,,
03/31/16,02:00:00,14.6033,79.326,,,,
