Date,Time,Abs Pres (psi) c:1 2,Temp (°F) c:2,Coupler Detached,Coupler Attached,Host Connected,Stopped,End Of File
04/27/17,15:15:00,14.7174,85.735,Logged,,,,
04/27/17,15:30:00,14.7135,84.474,,,,,
04/27/17,15:45:00,14.7171,84.295,,,,,
04/27/17,16:00:00,14.7129,84.295,,,,,
04/27/17,16:15:00,14.7129,84.295,,,,,
04/27/17,16:30:00,14.7151,84.295,,,,,
04/27/17,16:45:00,14.7171,84.295,,,,,
04/27/17,17:00:00,14.7171,84.295,,,,,
04/27/17,17:15:00,14.7171,84.295,,,,,
04/27/17,17:30:00,14.7193,84.295,,,,,
04/27/17,17:45:00,14.7193,84.295,,,,,
04/27/17,18:00:00,14.7193,84.295,,,,,
04/27/17,18:15:00,14.7215,84.295,,,,,
04/27/17,18:30:00,14.7263,84.474,,,,,
04/27/17,18:45:00,14.7263,84.474,,,,,
04/27/17,19:00:00,14.7328,84.474,,,,,
04/27/17,19:15:00,14.7348,84.474,,,,,
04/27/17,19:30:00,14.7348,84.474,,,,,
04/27/17,19:45:00,14.7348,84.474,,,,,
04/27/17,20:00:00,14.7376,84.654,,,,,
04/27/17,20:15:00,14.7376,84.654,,,,,
04/27/17,20:30:00,14.7403,84.834,,,,,
04/27/17,20:45:00,14.7403,84.834,,,,,
04/27/17,21:00:00,14.7451,85.014,,,,,
04/27/17,21:15:00,14.7451,85.014,,,,,
04/27/17,21:30:00,14.7435,85.194,,,,,
04/27/17,21:45:00,14.7463,85.374,,,,,
04/27/17,22:00:00,14.7485,85.374,,,,,
04/27/17,22:15:00,14.7469,85.554,,,,,
04/27/17,22:30:00,14.7474,85.735,,,,,
04/27/17,22:45:00,14.7480,85.915,,,,,
04/27/17,23:00:00,14.7480,85.915,,,,,
04/27/17,23:15:00,14.7464,86.097,,,,,
04/27/17,23:30:00,14.7442,86.097,,,,,
04/27/17,23:45:00,14.7428,86.277,,,,,
04/28/17,00:00:00,14.7406,86.277,,,,,
04/28/17,00:15:00,14.7412,86.459,,,,,
04/28/17,00:30:00,14.7348,86.459,,,,,
04/28/17,00:45:00,14.7368,86.459,,,,,
04/28/17,01:00:00,14.7305,86.459,,,,,
04/28/17,01:15:00,14.7283,86.459,,,,,
04/28/17,01:30:00,14.7263,86.459,,,,,
04/28/17,01:45:00,14.7283,86.459,,,,,
04/28/17,02:00:00,14.7263,86.459,,,,,
04/28/17,02:15:00,14.7263,86.459,,,,,
04/28/17,02:30:00,14.7257,86.277,,,,,
04/28/17,02:45:00,14.7257,86.277,,,,,
04/28/17,03:00:00,14.7235,86.277,,,,,
04/28/17,03:15:00,14.7186,86.097,,,,,
04/28/17,03:30:00,14.7165,86.097,,,,,
04/28/17,03:45:00,14.7165,86.097,,,,,
04/28/17,04:00:00,14.7180,85.915,,,,,
04/28/17,04:15:00,14.7180,85.915,,,,,
04/28/17,04:30:00,14.7196,85.735,,,,,
04/28/17,04:45:00,14.7170,85.554,,,,,
04/28/17,05:00:00,14.7148,85.554,,,,,
04/28/17,05:15:00,14.7164,85.374,,,,,
04/28/17,05:30:00,14.7206,85.374,,,,,
04/28/17,05:45:00,14.7228,85.374,,,,,
04/28/17,06:00:00,14.7244,85.194,,,,,
04/28/17,06:15:00,14.7244,85.194,,,,,
04/28/17,06:30:00,14.7280,85.014,,,,,
04/28/17,06:45:00,14.7302,85.014,,,,,
04/28/17,07:00:00,14.7280,85.014,,,,,
04/28/17,07:15:00,14.7296,84.834,,,,,
04/28/17,07:30:00,14.7296,84.834,,,,,
04/28/17,07:45:00,14.7312,84.654,,,,,
04/28/17,08:00:00,14.7290,84.654,,,,,
04/28/17,08:15:00,14.7312,84.654,,,,,
04/28/17,08:30:00,14.7312,84.654,,,,,
04/28/17,08:45:00,14.7332,84.654,,,,,
04/28/17,09:00:00,14.7332,84.654,,,,,
04/28/17,09:15:00,14.7332,84.654,,,,,
04/28/17,09:30:00,14.7354,84.654,,,,,
04/28/17,09:45:00,14.7376,84.654,,,,,
04/28/17,10:00:00,14.7354,84.654,,,,,
04/28/17,10:15:00,14.7354,84.654,,,,,
04/28/17,10:30:00,14.7312,84.654,,,,,
04/28/17,10:45:00,14.7290,84.654,,,,,
04/28/17,11:00:00,14.7248,84.654,,,,,
04/28/17,11:15:00,14.7232,84.834,,,,,
04/28/17,11:30:00,14.7189,84.834,,,,,
04/28/17,11:45:00,14.7147,84.834,,,,,
04/28/17,12:00:00,14.7131,85.014,,,,,
04/28/17,12:15:00,14.7109,85.014,,,,,
04/28/17,12:30:00,14.7087,85.014,,,,,
04/28/17,12:45:00,14.7093,85.194,,,,,
04/28/17,13:00:00,14.7051,85.194,,,,,
04/28/17,13:15:00,14.7007,85.194,,,,,
04/28/17,13:30:00,14.6987,85.194,,,,,
04/28/17,13:45:00,14.6928,85.374,,,,,
04/28/17,14:00:00,14.6907,85.374,,,,,
04/28/17,14:15:00,14.6864,85.374,,,,,
04/28/17,14:30:00,14.6848,85.554,,,,,
04/28/17,14:45:00,14.6806,85.554,,,,,
04/28/17,15:00:00,14.6828,85.554,,,,,
04/28/17,15:15:00,14.6806,85.554,,,,,
04/28/17,15:30:00,14.6833,85.735,,,,,
04/28/17,15:45:00,14.6833,85.735,,,,,
04/28/17,16:00:00,14.6854,85.735,,,,,
04/28/17,16:15:00,14.6854,85.735,,,,,
04/28/17,16:30:00,14.6875,85.735,,,,,
04/28/17,16:45:00,14.6848,85.554,,,,,
04/28/17,17:00:00,14.6870,85.554,,,,,
04/28/17,17:15:00,14.6891,85.554,,,,,
04/28/17,17:30:00,14.6907,85.374,,,,,
04/28/17,17:45:00,14.6907,85.374,,,,,
04/28/17,18:00:00,14.6949,85.374,,,,,
04/28/17,18:15:00,14.6965,85.194,,,,,
04/28/17,18:30:00,14.6944,85.194,,,,,
04/28/17,18:45:00,14.6959,85.014,,,,,
04/28/17,19:00:00,14.6981,85.014,,,,,
04/28/17,19:15:00,14.6997,84.834,,,,,
04/28/17,19:30:00,14.7018,84.834,,,,,
04/28/17,19:45:00,14.7012,84.654,,,,,
04/28/17,20:00:00,14.7055,84.654,,,,,
04/28/17,20:15:00,14.7071,84.474,,,,,
04/28/17,20:30:00,14.7071,84.474,,,,,
04/28/17,20:45:00,14.7086,84.295,,,,,
04/28/17,21:00:00,14.7129,84.295,,,,,
04/28/17,21:15:00,14.7123,84.115,,,,,
04/28/17,21:30:00,14.7123,84.115,,,,,
04/28/17,21:45:00,14.7139,83.935,,,,,
04/28/17,22:00:00,14.7118,83.935,,,,,
04/28/17,22:15:00,14.7112,83.757,,,,,
04/28/17,22:30:00,14.7134,83.757,,,,,
04/28/17,22:45:00,14.7112,83.757,,,,,
04/28/17,23:00:00,14.7106,83.579,,,,,
04/28/17,23:15:00,14.7106,83.579,,,,,
04/28/17,23:30:00,14.7100,83.399,,,,,
04/28/17,23:45:00,14.7100,83.399,,,,,
04/29/17,00:00:00,14.7100,83.399,,,,,
04/29/17,00:15:00,14.7074,83.221,,,,,
04/29/17,00:30:00,14.7052,83.221,,,,,
04/29/17,00:45:00,14.7074,83.221,,,,,
04/29/17,01:00:00,14.7025,83.043,,,,,
04/29/17,01:15:00,14.7025,83.043,,,,,
04/29/17,01:30:00,14.7004,83.043,,,,,
04/29/17,01:45:00,14.6977,82.864,,,,,
04/29/17,02:00:00,14.6977,82.864,,,,,
04/29/17,02:15:00,14.6955,82.864,,,,,
04/29/17,02:30:00,14.6935,82.864,,,,,
04/29/17,02:45:00,14.6929,82.686,,,,,
04/29/17,03:00:00,14.6929,82.686,,,,,
04/29/17,03:15:00,14.6929,82.686,,,,,
04/29/17,03:30:00,14.6923,82.508,,,,,
04/29/17,03:45:00,14.6923,82.508,,,,,
04/29/17,04:00:00,14.6923,82.508,,,,,
04/29/17,04:15:00,14.6923,82.508,,,,,
04/29/17,04:30:00,14.6917,82.330,,,,,
04/29/17,04:45:00,14.6917,82.330,,,,,
04/29/17,05:00:00,14.6917,82.330,,,,,
04/29/17,05:15:00,14.6896,82.330,,,,,
04/29/17,05:30:00,14.6939,82.330,,,,,
04/29/17,05:45:00,14.6939,82.330,,,,,
04/29/17,06:00:00,14.6955,82.152,,,,,
04/29/17,06:15:00,14.6955,82.152,,,,,
04/29/17,06:30:00,14.6997,82.152,,,,,
04/29/17,06:45:00,14.7041,82.152,,,,,
04/29/17,07:00:00,14.6997,82.152,,,,,
04/29/17,07:15:00,14.7013,81.975,,,,,
04/29/17,07:30:00,14.7013,81.975,,,,,
04/29/17,07:45:00,14.7035,81.975,,,,,
04/29/17,08:00:00,14.7013,81.975,,,,,
04/29/17,08:15:00,14.7035,81.975,,,,,
04/29/17,08:30:00,14.7077,81.975,,,,,
04/29/17,08:45:00,14.7077,81.975,,,,,
04/29/17,09:00:00,14.7099,81.975,,,,,
04/29/17,09:15:00,14.7083,82.152,,,,,
04/29/17,09:30:00,14.7105,82.152,,,,,
04/29/17,09:45:00,14.7083,82.152,,,,,
04/29/17,10:00:00,14.7061,82.152,,,,,
04/29/17,10:15:00,14.7061,82.152,,,,,
04/29/17,10:30:00,14.7045,82.330,,,,,
04/29/17,10:45:00,14.7025,82.330,,,,,
04/29/17,11:00:00,14.7025,82.330,,,,,
04/29/17,11:15:00,14.6965,82.508,,,,,
04/29/17,11:30:00,14.6945,82.508,,,,,
04/29/17,11:45:00,14.6907,82.686,,,,,
04/29/17,12:00:00,14.6886,82.686,,,,,
04/29/17,12:15:00,14.6849,82.864,,,,,
04/29/17,12:30:00,14.6849,82.864,,,,,
04/29/17,12:45:00,14.6812,83.043,,,,,
04/29/17,13:00:00,14.6790,83.043,,,,,
04/29/17,13:15:00,14.6774,83.221,,,,,
04/29/17,13:30:00,14.6710,83.221,,,,,
04/29/17,13:45:00,14.6688,83.221,,,,,
04/29/17,14:00:00,14.6624,83.221,,,,,
04/29/17,14:15:00,14.6608,83.399,,,,,
04/29/17,14:30:00,14.6630,83.399,,,,,
04/29/17,14:45:00,14.6652,83.399,,,,,
04/29/17,15:00:00,14.6588,83.399,,,,,
04/29/17,15:15:00,14.6566,83.399,,,,,
04/29/17,15:30:00,14.6545,83.399,,,,,
04/29/17,15:45:00,14.6545,83.399,,,,,
04/29/17,16:00:00,14.6566,83.399,,,,,
04/29/17,16:15:00,14.6588,83.399,,,,,
04/29/17,16:30:00,14.6608,83.399,,,,,
04/29/17,16:45:00,14.6630,83.399,,,,,
04/29/17,17:00:00,14.6674,83.399,,,,,
04/29/17,17:15:00,14.6759,83.399,,,,,
04/29/17,17:30:00,14.6909,83.399,,,,,
04/29/17,17:45:00,14.6929,83.399,,,,,
04/29/17,18:00:00,14.6887,83.399,,,,,
04/29/17,18:15:00,14.7052,83.221,,,,,
04/29/17,18:30:00,14.7031,83.221,,,,,
04/29/17,18:45:00,14.6967,83.221,,,,,
04/29/17,19:00:00,14.7031,83.221,,,,,
04/29/17,19:15:00,14.7331,83.221,,,,,
04/29/17,19:30:00,14.7266,83.221,,,,,
04/29/17,19:45:00,14.7245,83.221,,,,,
04/29/17,20:00:00,14.7458,83.221,,,,,
04/29/17,20:15:00,14.7416,83.221,,,,,
04/29/17,20:30:00,14.7367,83.043,,,,,
04/29/17,20:45:00,14.7325,83.043,,,,,
04/29/17,21:00:00,14.7303,83.043,,,,,
04/29/17,21:15:00,14.7361,82.864,,,,,
04/29/17,21:30:00,14.7447,82.864,,,,,
04/29/17,21:45:00,14.7427,82.864,,,,,
04/29/17,22:00:00,14.7427,82.864,,,,,
04/29/17,22:15:00,14.7634,82.686,,,,,
04/29/17,22:30:00,14.7719,82.686,,,,,
04/29/17,22:45:00,14.8169,82.686,,,,,
04/29/17,23:00:00,14.8024,82.152,,,,,
04/29/17,23:15:00,14.7863,81.797,,,,,
04/29/17,23:30:00,14.7879,81.621,,,,,
04/29/17,23:45:00,14.7851,81.442,,,,,
04/30/17,00:00:00,14.7889,81.266,,,,,
04/30/17,00:15:00,14.8033,81.090,,,,,
04/30/17,00:30:00,14.8005,80.911,,,,,
04/30/17,00:45:00,14.7915,80.735,,,,,
04/30/17,01:00:00,14.7894,80.735,,,,,
04/30/17,01:15:00,14.7786,80.735,,,,,
04/30/17,01:30:00,14.7701,80.735,,,,,
04/30/17,01:45:00,14.7679,80.735,,,,,
04/30/17,02:00:00,14.7653,80.559,,,,,
04/30/17,02:15:00,14.7653,80.559,,,,,
04/30/17,02:30:00,14.7609,80.559,,,,,
