Date,Time,Abs Pres (psi) c:1 2,Temp (°F) c:2,Coupler Detached,Coupler Attached,Host Connected,Stopped,End Of File
04/22/17,14:45:00,14.6207,87.552,Logged,,,,
04/22/17,15:00:00,14.6181,86.097,,,,,
04/22/17,15:15:00,14.6175,85.915,,,,,
04/22/17,15:30:00,14.6175,85.915,,,,,
04/22/17,15:45:00,14.6175,85.915,,,,,
04/22/17,16:00:00,14.6166,86.277,,,,,
04/22/17,16:15:00,14.6175,85.915,,,,,
04/22/17,16:30:00,14.6149,85.735,,,,,
04/22/17,16:45:00,14.6165,85.554,,,,,
04/22/17,17:00:00,14.6165,85.554,,,,,
04/22/17,17:15:00,14.6159,85.374,,,,,
04/22/17,17:30:00,14.6173,85.194,,,,,
04/22/17,17:45:00,14.6169,85.014,,,,,
04/22/17,18:00:00,14.6184,84.834,,,,,
04/22/17,18:15:00,14.6199,84.654,,,,,
04/22/17,18:30:00,14.6258,84.474,,,,,
04/22/17,18:45:00,14.6323,84.474,,,,,
04/22/17,19:00:00,14.6317,84.295,,,,,
04/22/17,19:15:00,14.6359,84.295,,,,,
04/22/17,19:30:00,14.6369,83.935,,,,,
04/22/17,19:45:00,14.6407,83.757,,,,,
04/22/17,20:00:00,14.6417,83.399,,,,,
04/22/17,20:15:00,14.6459,83.399,,,,,
04/22/17,20:30:00,14.6453,83.221,,,,,
04/22/17,20:45:00,14.6469,83.043,,,,,
04/22/17,21:00:00,14.6448,83.043,,,,,
04/22/17,21:15:00,14.6485,82.864,,,,,
04/22/17,21:30:00,14.6501,82.686,,,,,
04/22/17,21:45:00,14.6539,82.508,,,,,
04/22/17,22:00:00,14.6559,82.508,,,,,
04/22/17,22:15:00,14.6553,82.330,,,,,
04/22/17,22:30:00,14.6553,82.330,,,,,
04/22/17,22:45:00,14.6549,82.152,,,,,
04/22/17,23:00:00,14.6521,81.975,,,,,
04/22/17,23:15:00,14.6521,81.975,,,,,
04/22/17,23:30:00,14.6474,81.797,,,,,
04/22/17,23:45:00,14.6516,81.797,,,,,
04/23/17,00:00:00,14.6510,81.621,,,,,
04/23/17,00:15:00,14.6468,81.621,,,,,
04/23/17,00:30:00,14.6462,81.442,,,,,
04/23/17,00:45:00,14.6440,81.442,,,,,
04/23/17,01:00:00,14.6414,81.266,,,,,
04/23/17,01:15:00,14.6414,81.266,,,,,
04/23/17,01:30:00,14.6387,81.090,,,,,
04/23/17,01:45:00,14.6365,81.090,,,,,
04/23/17,02:00:00,14.6339,80.911,,,,,
04/23/17,02:15:00,14.6339,80.911,,,,,
04/23/17,02:30:00,14.6333,80.735,,,,,
04/23/17,02:45:00,14.6307,80.559,,,,,
04/23/17,03:00:00,14.6349,80.559,,,,,
04/23/17,03:15:00,14.6301,80.382,,,,,
04/23/17,03:30:00,14.6301,80.382,,,,,
04/23/17,03:45:00,14.6317,80.206,,,,,
04/23/17,04:00:00,14.6317,80.206,,,,,
04/23/17,04:15:00,14.6359,80.206,,,,,
04/23/17,04:30:00,14.6359,80.206,,,,,
04/23/17,04:45:00,14.6333,80.029,,,,,
04/23/17,05:00:00,14.6375,80.029,,,,,
04/23/17,05:15:00,14.6418,80.029,,,,,
04/23/17,05:30:00,14.6375,80.029,,,,,
04/23/17,05:45:00,14.6369,79.853,,,,,
04/23/17,06:00:00,14.6369,79.853,,,,,
04/23/17,06:15:00,14.6365,79.678,,,,,
04/23/17,06:30:00,14.6385,79.678,,,,,
04/23/17,06:45:00,14.6407,79.678,,,,,
04/23/17,07:00:00,14.6423,79.502,,,,,
04/23/17,07:15:00,14.6450,79.678,,,,,
04/23/17,07:30:00,14.6492,79.678,,,,,
