Site,month_01_RO_m3pd,month_02_RO_m3pd,month_03_RO_m3pd,month_04_RO_m3pd,month_05_RO_m3pd,month_06_RO_m3pd,month_07_RO_m3pd,month_08_RO_m3pd,month_09_RO_m3pd,month_10_RO_m3pd,month_11_RO_m3pd,month_12_RO_m3pd,Zone_ID
Fagaalu_CFS,11376.533906812487,35920.71128277384,6312.896551692131,21204.256931269098,17690.322153386132,3318.098997587397,5820.975438071303,7267.250100061813,5319.081220063137,11630.583005457724,11885.248369625171,15152.078400800581,163
Vaipito_CFS,9370.34087677596,27068.645467513426,2912.4223877586055,17747.40804566973,13752.505307520381,2831.303813436042,3844.7227854887437,5371.157859355002,3315.7970991904335,10431.32747854546,7899.363001482095,6939.7092361485165,133
Fagaitua_CFS,1613.9039129470996,3665.848471748947,1155.5128648854143,1801.0255744622427,1815.7537650615468,198.9441577666816,341.6064598844194,1055.1881774589822,488.4656814499355,1478.9715707534103,2007.4805952083852,2274.3319409753894,272
9250D_Malota_CFS,9080.740109044398,13873.744885010134,21124.00239698959,12556.84210890315,20763.344270964073,7476.234763968834,8590.687643561818,5715.917106281104,11640.942711702679,19129.293874583087,13559.56071998236,10746.787145776847,47
9335D_Leone_CFS,8083.748811605165,11532.182613287625,8847.740890928617,8729.310621584858,10736.382020930578,3606.783415772462,5057.72053941538,8131.1458667055085,6497.3586856111215,9406.93607510286,9060.093579294526,9124.971494769645,73
9442D_Nuuuli_CFS,12976.440465238778,11815.82644651389,5495.046672414666,12330.05497587725,11486.578942251139,4993.784704150075,6393.239296244263,6405.263567781572,6655.5964548521615,9642.737406854387,8011.700875402364,11613.546017614326,125
9175D_Fagasa_CFS,3883.035837565202,5138.86505842164,1786.07997296729,4185.027623469411,3380.311368646599,2057.0071000771636,2749.4172000797425,2855.1549793997397,2492.185694634122,4621.771211292051,2924.6476921131484,3430.6169217539846,118
9120D_Afono_CFS,7973.423188359518,8305.802352656352,6728.870393249427,5994.9651194900935,6076.163674745682,3153.6508275268666,3574.5549329158516,3947.7487274874984,3703.274952782973,7390.9621305157325,6259.616079469631,8805.89985022454,236
9060D_CFS,771.3996349919149,1103.6553012929917,922.4823211564467,821.0183795948308,396.19000476153917,521.0746857764572,394.7595761961291,402.20808990436865,406.82198716604086,709.3272275170505,513.0495428461714,1409.2418760324308,307
9205D_CFS,9554.152915994704,10344.624668462751,9062.160699217831,7808.932441337018,9556.417341329858,6026.965040410598,5660.322052219656,7781.151587277486,7267.161834615023,10989.278662666205,8107.130230229476,11792.428348024596,85
9310D_CFS,3519.2207084068114,3267.1273091461007,2449.4103855854555,2572.938281181738,2603.044583822995,1630.4292513075968,1499.2574153969906,2442.6232957328234,1796.988866486472,3274.7364641266963,2636.598385533113,3871.462225179887,48
9315D_CFS,4018.478521872516,3773.112551387717,4525.361372424259,3026.0736993279997,2919.9290331664515,1861.2474065920005,1932.449506931613,3812.130821483355,2612.7521720831996,5346.999156653419,4138.559906183191,4635.775992798967,63
9480D_CFS,4009.375562745177,4053.2908144782396,2875.454174696012,3061.7239626172945,3115.1860719928004,1882.3311363807381,1894.4921285451276,2328.689012688739,2174.785681313684,3547.374539731046,2949.6107756577576,4300.264171099827,168
9600D_CFS,1715.6023233592625,2003.9835505048104,1396.1406520909861,1570.643338325637,1141.5967169117014,973.5021106822736,839.593008463538,918.6856673332156,919.2125614762667,1304.8892969290323,1036.3238992213332,2324.4577863019354,241
9639D_CFS,822.0582851672311,572.4690374993012,615.6384114611817,570.6668199350856,841.1902919137325,186.91443957759998,262.98293728289025,328.25606238472255,407.73085242514287,562.5736319767426,661.8613679051756,944.5867692000315,342
