,Afono Weather Station,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
0,TIMESTAMP,RECORD,BattV_Avg,PTemp_C_Max,AirTF_Avg,RH,Rain_in_Tot,WS_mph_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,SlrW_Avg,SlrMJ_Tot
1,2017-04-25 10:00:00,1,12.97,34.68,83.2,84.6,0,0.636,224.5,8.57,164.1,0.1476845
2,2017-04-25 10:15:00,2,12.98,34.23,82.7,85.2,0,0.88,263.1,7.35,184.6,0.1660983
3,2017-04-25 10:30:00,3,13.05,34.31,83,87.3,0,0.854,200.9,31.44,285.8,0.2572581
4,2017-04-25 10:45:00,4,13,34.33,83.2,87.6,0,2.215,182.7,37.32,139.8,0.1258209
5,2017-04-25 11:00:00,5,13.01,34.24,83,84.2,0,1.512,215.2,37.38,144.6,0.1301333
6,2017-04-25 11:15:00,6,12.99,34.05,82.3,84.1,0,1.738,199.4,35.49,143.9,0.1295039
7,2017-04-25 11:30:00,7,13.01,33.91,82.7,87,0,1.942,196.8,49.92,165.1,0.1485727
8,2017-04-25 11:45:00,8,13.02,34.05,82.7,85.4,0,1.426,204.9,61.88,200.1,0.1800822
9,2017-04-25 12:00:00,9,13.04,34.25,82.9,85,0,2.24,191.8,16.9,189.9,0.1709075
10,2017-04-25 12:15:00,10,13.13,34.69,82.9,86.6,0,2.097,188.1,28.85,263.4,0.2370426
11,2017-04-25 12:30:00,11,13.36,36.49,84.5,76.84,0,1.583,183,24.45,987,0.8880597
12,2017-04-25 12:45:00,12,13.42,38.62,87.2,80.4,0,2.955,314.2,46.12,921,0.828494
13,2017-04-25 13:00:00,13,13.37,39.54,87.6,78.51,0,3.311,318.8,19.56,1063,0.956417
14,2017-04-25 13:15:00,14,13.33,39.76,87.3,75.87,0,3.348,321.5,34.52,961,0.8646687
15,2017-04-25 13:30:00,15,13.32,39.83,87.7,76.7,0,3.137,322.1,25.75,887,0.7981862
16,2017-04-25 13:45:00,16,13.32,39.7,86.2,80.6,0,3.117,301.7,24.49,565.8,0.5092015
17,2017-04-25 14:00:00,17,13.33,39.19,85.7,83.3,0,2.203,301.3,26.97,445.3,0.4007899
18,2017-04-25 14:15:00,18,13.33,38.8,86.2,76.96,0,1.666,278.1,45.13,462,0.4157884
19,2017-04-25 14:30:00,19,13.35,38.8,85.7,78.98,0,1.279,245.4,54.59,667.9,0.6010862
20,2017-04-25 14:45:00,20,13.34,39.18,86.8,77.27,0,1.38,313.6,32.39,425.3,0.3827526
21,2017-04-25 15:00:00,21,13.31,39.07,85,81,0,1.566,218.1,36.67,290.2,0.2612103
22,2017-04-25 15:15:00,22,13.38,38.68,85.9,83.7,0,1.969,321.5,21.32,434.6,0.3911727
23,2017-04-25 15:30:00,23,13.34,38.66,84.8,82.2,0,1.766,293.7,30.49,300.2,0.2701744
24,2017-04-25 15:45:00,24,13.36,38.21,84.4,81.7,0,1.286,302.6,41.09,263,0.2366875
25,2017-04-25 16:00:00,25,13.31,37.86,84.4,86.6,0,0.965,295.4,23.33,180,0.1620141
26,2017-04-25 16:15:00,26,13.42,37.05,83.9,84.6,0,1.227,304.3,19.12,216.6,0.1949468
27,2017-04-25 16:30:00,27,13.42,34.12,82.5,83.5,0,0.56,221.9,8.19,182.9,0.1646311
28,2017-04-25 16:45:00,28,13.31,33.19,81.9,88.5,0,0.368,257.3,13.05,85,0.07654448
29,2017-04-25 17:00:00,29,13.22,31.04,81,90.1,0,0.799,265.7,16.79,35.52,0.03196479
30,2017-04-25 17:15:00,30,13.19,29.74,80.8,89.9,0,0.572,252.8,20.51,31.95,0.02875719
31,2017-04-25 17:30:00,31,13.17,28.88,80.5,91.6,0,0.506,225.8,4.007,29.97,0.02696859
32,2017-04-25 17:45:00,32,13.16,28.34,80.3,91.2,0,0.305,179.3,7.048,29.54,0.02658571
33,2017-04-25 18:00:00,33,13.14,28.03,80.5,92.9,0,0.46,162,13.58,13.94,0.01254634
34,2017-04-25 18:15:00,34,13.12,27.81,79.99,93.6,0,0.114,168.3,5.576,3.148,0.0028333
35,2017-04-25 18:30:00,35,13.11,27.43,79.72,94.2,0,0.558,163.8,41.32,0.256,0.0002306549
36,2017-04-25 18:45:00,36,13.1,27.11,79.85,95.1,0,0.382,167.8,0.875,0.045,4.033778e-05
37,2017-04-25 19:00:00,37,13.1,26.96,79.6,95.8,0,0.494,143.6,2.788,0.064,5.771736e-05
38,2017-04-25 19:15:00,38,13.09,26.77,79.38,96,0,0.343,175.9,4.013,0.053,4.741835e-05
39,2017-04-25 19:30:00,39,13.09,26.68,79.74,93.8,0,0.585,161.3,19.78,0.046,4.141059e-05
40,2017-04-25 19:45:00,40,13.08,26.82,81.1,92.7,0,0.703,178,9.13,0.04,3.615381e-05
41,2017-04-25 20:00:00,41,13.08,26.84,80.4,90.2,0,0.241,203.1,4.221,0.049,4.452175e-05
42,2017-04-25 20:15:00,42,13.08,26.91,81.7,85.1,0,2.353,179.6,29.39,0.051,4.570185e-05
43,2017-04-25 20:30:00,43,13.07,27.2,81.8,89.3,0,0.709,172.9,42.26,0.053,4.763291e-05
44,2017-04-25 20:45:00,44,13.07,27.24,80.8,89.4,0,0.209,133.9,5.917,0.047,4.205428e-05
45,2017-04-25 21:00:00,45,13.07,27.17,80.9,90.3,0,0.253,194.4,3.759,0.057,5.095863e-05
46,2017-04-25 21:15:00,46,13.07,27.04,80.2,92.4,0,0.467,163.7,0.354,0.051,4.591641e-05
47,2017-04-25 21:30:00,47,13.06,26.9,80.3,92.8,0,0.454,183.8,10.07,0.051,4.623825e-05
48,2017-04-25 21:45:00,48,13.06,26.83,79.8,94.7,0,0.124,117.9,0.005,0.046,4.183972e-05
49,2017-04-25 22:00:00,49,13.06,26.66,80,94.2,0,0.937,161.1,1.495,0.045,4.065962e-05
50,2017-04-25 22:15:00,50,13.06,26.57,80.1,92.3,0,0.508,185.6,9.71,0.039,3.497371e-05
51,2017-04-25 22:30:00,51,13.05,26.57,79.89,94.2,0,0.187,149.7,0.15,0.045,4.033778e-05
52,2017-04-25 22:45:00,52,13.05,26.55,79.88,91.1,0,0.65,256,30,0.054,4.859844e-05
53,2017-04-25 23:00:00,53,13.05,26.4,79.55,96,0,0.378,157.6,4.039,0.047,4.226884e-05
54,2017-04-25 23:15:00,54,13.05,26.26,79.03,94.7,0,0.141,189.7,8.92,0.043,3.872856e-05
55,2017-04-25 23:30:00,55,13.05,26.08,79.61,93.5,0,0.138,186.1,5.541,0.045,4.033778e-05
56,2017-04-25 23:45:00,56,13.05,26.07,79.36,95,0,0.323,178.8,0.383,0.051,4.634553e-05
57,2017-04-26 00:00:00,57,13.04,26.04,79.31,96.4,0,0.448,165.6,8.05,0.041,3.669021e-05
58,2017-04-26 00:15:00,58,13.04,26.05,79.13,93.5,0,0.456,168,0.499,0.041,3.701206e-05
59,2017-04-26 00:30:00,59,13.04,26.03,79.64,93.4,0,0.186,204.2,2.802,0.048,4.344894e-05
60,2017-04-26 00:45:00,60,13.04,26.08,79.68,93.5,0,0.566,210,25.77,0.052,4.677466e-05
61,2017-04-26 01:00:00,61,13.04,26.26,80.4,90.6,0,0.838,283.1,24.17,0.052,4.666738e-05
62,2017-04-26 01:15:00,62,13.04,26.52,81.1,89.4,0,2.004,292,21.59,0.044,3.969409e-05
63,2017-04-26 01:30:00,63,13.04,26.64,80.8,89.9,0,1.749,291.7,20.21,0.051,4.634553e-05
64,2017-04-26 01:45:00,64,13.04,26.72,80.5,92.2,0,3.154,297.1,33.02,0.05,4.516544e-05
65,2017-04-26 02:00:00,65,13.03,26.72,79.12,92,0,2.34,278.7,28.78,0.054,4.859844e-05
66,2017-04-26 02:15:00,66,13.03,26.53,78.38,96.8,0,1.224,201.6,24.77,0.045,4.055234e-05
67,2017-04-26 02:30:00,67,13.03,26.07,77.68,94.6,0,0.677,178,6.484,0.044,3.980137e-05
68,2017-04-26 02:45:00,68,13.03,25.63,77.23,95.1,0,0.106,210.2,4.632,0.053,4.784747e-05
69,2017-04-26 03:00:00,69,13.03,25.22,76.6,95.8,0,0.663,159.8,7.798,0.042,3.776303e-05
70,2017-04-26 03:15:00,70,13.03,24.91,76.9,96.2,0,0.942,155.1,6.94,0.045,4.055234e-05
71,2017-04-26 03:30:00,71,13.02,24.86,77.05,96.4,0,0.399,157.9,1.505,0.041,3.647565e-05
72,2017-04-26 03:45:00,72,13.02,24.86,77.11,97.3,0.06,0.996,178.4,6.547,0.046,4.130331e-05
73,2017-04-26 04:00:00,73,13.02,24.99,77.55,99.4,0.02,0.578,229.5,24.87,0.056,5.020766e-05
74,2017-04-26 04:15:00,74,13.02,25.08,77.57,97.2,0,0.191,153.7,16.23,0.051,4.613097e-05
75,2017-04-26 04:30:00,75,13.02,25.13,77.47,98.7,0,0,0,0,0.049,4.419991e-05
76,2017-04-26 04:45:00,76,13.02,25.12,76.98,97.9,0,0.43,224.2,8.1,0.047,4.1947e-05
77,2017-04-26 05:00:00,77,13.02,24.98,76.77,99.3,0,0.197,251.5,18.56,0.053,4.731107e-05
78,2017-04-26 05:15:00,78,13.02,24.87,76.77,99.3,0,0.068,210.1,5.015,0.051,4.559456e-05
79,2017-04-26 05:30:00,79,13.02,24.83,77.04,98.8,0,0.326,202.9,6.369,0.056,5.052951e-05
80,2017-04-26 05:45:00,80,13.02,24.91,77.02,99.4,0,0.988,175.4,11.83,0.056,5.074407e-05
81,2017-04-26 06:00:00,81,13.02,24.98,77.15,99.3,0,0.747,187,4.86,0.049,4.419991e-05
