,Aasu_Wx,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
0,                    ,Temperature (*F),Temperature (*F),Temperature (*F),Temperature (*F),Temperature (*F),Solar Rad (wat/m2),RH (%),Temperature (*F),Rainfall (In),Wind Dir (Deg),Wind Gust (mph),Wind Speed (mph),Dew Point (*F)
1,                    ,*F,*F,*F,*F,*F,wat/m2,%,*F,In,Deg,mph,mph,*F
2,Date and Time   ,TMPA,TMPB,TMPC,TMPD,TMPE,SRD,HMD,TMP,RNF,WND,WNG,WNS,DEW
3,2015-07-21 13:15:00,,,,,,385,65.9,78,0.03,255,13,7,65.9
4,2015-07-21 13:30:00,,,,,,489,74.4,76,0.02,169,15,7,67.4
5,2015-07-21 13:45:00,,,,,,538,75.6,75.2,0,139,14,7,67.1
6,2015-07-21 14:00:00,,,,,,766,73.6,76,0,139,13,6,67.1
7,2015-07-21 14:15:00,,,,,,611,73.6,75.9,0,142,17,8,67
8,2015-07-21 14:30:00,,,,,,583,73.9,75.8,0,134,14,7,67.1
9,2015-07-21 14:45:00,,,,,,504,74.5,75.6,0,139,15,8,67.1
10,2015-07-21 15:00:00,,,,,,663,73.5,75.6,0,136,16,8,66.7
11,2015-07-21 15:15:00,,,,,,504,74.7,75.7,0,136,14,7,67.3
12,2015-07-21 15:30:00,,,,,,358,76.3,75.2,0,142,16,7,67.4
13,2015-07-21 15:45:00,,,,,,255,77.5,74.6,0,129,15,6,67.2
14,2015-07-21 16:00:00,,,,,,258,77.9,74.4,0,142,18,6,67.2
15,2015-07-21 16:15:00,,,,,,252,78.4,74.4,0,142,17,8,67.4
16,2015-07-21 16:30:00,,,,,,155,79.3,74,0,146,17,7,67.3
17,2015-07-21 16:45:00,,,,,,170,80.1,73.9,0,142,15,8,67.5
18,2015-07-21 17:00:00,,,,,,92,80.3,73.7,0,142,17,9,67.3
19,2015-07-21 17:15:00,,,,,,75,81,73.6,0,145,19,9,67.5
20,2015-07-21 17:30:00,,,,,,43,81.8,73.4,0,139,20,9,67.6
21,2015-07-21 17:45:00,,,,,,24,82,73.4,0,144,17,9,67.6
22,2015-07-21 18:00:00,,,,,,13,83.2,73.2,0,138,16,9,67.9
23,2015-07-21 18:15:00,,,,,,3,83,73.2,0,144,24,10,67.8
24,2015-07-21 18:30:00,,,,,,0,85,73.1,0,144,17,9,68.4
25,2015-07-21 18:45:00,,,,,,0,85.2,72.8,0,142,17,7,68.1
26,2015-07-21 19:00:00,,,,,,0,84.3,73,0,138,22,8,68
27,2015-07-21 19:15:00,,,,,,0,83.8,73.1,0,144,15,7,68
28,2015-07-21 19:30:00,,,,,,0,85.7,72.8,0,142,19,8,68.3
29,2015-07-21 19:45:00,,,,,,0,86.5,72.2,0,139,16,6,68
30,2015-07-21 20:00:00,,,,,,0,85.5,72.8,0,139,14,7,68.2
31,2015-07-21 20:15:00,,,,,,0,85,72.8,0,135,13,7,68.1
32,2015-07-21 20:30:00,,,,,,0,84.9,73,0,138,17,7,68.2
33,2015-07-21 20:45:00,,,,,,0,86.1,72.9,0,144,11,5,68.5
34,2015-07-21 21:00:00,,,,,,0,86.3,72.8,0,144,11,4,68.5
35,2015-07-21 21:15:00,,,,,,0,84.8,72.9,0,144,15,6,68.1
36,2015-07-21 21:30:00,,,,,,0,85.2,72.9,0.01,135,13,6,68.2
37,2015-07-21 21:45:00,,,,,,0,86.6,72.7,0,142,16,6,68.5
38,2015-07-21 22:00:00,,,,,,0,87.3,72.7,0,141,12,6,68.7
39,2015-07-21 22:15:00,,,,,,0,87,72.7,0,139,12,5,68.6
40,2015-07-21 22:30:00,,,,,,0,86.2,72.8,0,142,12,5,68.5
41,2015-07-21 22:45:00,,,,,,0,86.5,72.9,0,146,16,5,68.7
42,2015-07-21 23:00:00,,,,,,0,86.9,73,0,144,16,8,68.9
43,2015-07-21 23:15:00,,,,,,0,91.5,72.7,0,129,15,6,70.1
44,2015-07-21 23:30:00,,,,,,0,92,72.4,0,139,11,5,69.9
45,2015-07-21 23:45:00,,,,,,0,92.9,72.5,0,142,10,4,70.3
46,2015-07-22 00:00:00,,,,,,0,91.7,72.6,0,142,11,5,70
47,2015-07-22 00:15:00,,,,,,0,93.5,72.5,0,142,14,5,70.5
48,2015-07-22 00:30:00,,,,,,0,94.6,72.6,0,145,16,4,70.9
49,2015-07-22 00:45:00,,,,,,0,95.1,72.6,0,138,14,6,71.1
50,2015-07-22 01:00:00,,,,,,0,94.3,72.5,0,144,17,5,70.7
51,2015-07-22 01:15:00,,,,,,0,96.2,72.4,0,145,14,6,71.2
52,2015-07-22 01:30:00,,,,,,0,95.9,72.5,0.04,142,16,6,71.2
53,2015-07-22 01:45:00,,,,,,0,93.8,72.6,0,138,12,5,70.7
54,2015-07-22 02:00:00,,,,,,0,94.6,72.6,0,142,16,5,70.9
55,2015-07-22 02:15:00,,,,,,0,93.2,72.8,0,144,13,6,70.7
56,2015-07-22 02:30:00,,,,,,0,91.5,72.7,0,139,15,6,70.1
57,2015-07-22 02:45:00,,,,,,0,91.5,72.6,0,142,15,6,70
58,2015-07-22 03:00:00,,,,,,0,93,72.5,0.02,148,13,5,70.3
59,2015-07-22 03:15:00,,,,,,0,94.4,72.2,0.01,141,15,7,70.5
60,2015-07-22 03:30:00,,,,,,0,94.4,72.2,0,145,16,6,70.5
61,2015-07-22 03:45:00,,,,,,0,93.1,71.7,0.03,139,12,5,69.6
62,2015-07-22 04:00:00,,,,,,0,93.4,71.6,0,145,12,4,69.6
63,2015-07-22 04:15:00,,,,,,0,92.5,72,0,142,13,6,69.7
64,2015-07-22 04:30:00,,,,,,0,89.3,72.2,0,132,13,6,68.9
65,2015-07-22 04:45:00,,,,,,0,93.1,71.8,0.05,132,15,5,69.7
66,2015-07-22 05:00:00,,,,,,0,94.2,71.7,0,138,13,5,69.9
67,2015-07-22 05:15:00,,,,,,0,92.3,71.9,0,132,18,6,69.5
68,2015-07-22 05:30:00,,,,,,0,93.2,72,0,151,17,6,69.9
69,2015-07-22 05:45:00,,,,,,0,93.2,71.7,0.01,136,17,9,69.6
70,2015-07-22 06:00:00,,,,,,0,93.1,71.4,0,139,17,7,69.3
71,2015-07-22 06:15:00,,,,,,0,93.1,71.1,0.01,138,14,6,69
72,2015-07-22 06:30:00,,,,,,0,93.1,71.1,0,146,13,6,69
73,2015-07-22 06:45:00,,,,,,0,94.4,71.1,0,149,17,5,69.4
74,2015-07-22 07:00:00,,,,,,1,95.4,71.3,0,144,12,5,69.9
75,2015-07-22 07:15:00,,,,,,6,95.5,71.4,0,135,16,7,70
76,2015-07-22 07:30:00,,,,,,16,95.3,71.4,0,138,18,7,70
77,2015-07-22 07:45:00,,,,,,19,94.5,71.4,0,139,16,7,69.7
78,2015-07-22 08:00:00,,,,,,27,94.4,71.4,0.04,151,17,8,69.7
79,2015-07-22 08:15:00,,,,,,59,97,70.6,0.02,144,18,7,69.7
80,2015-07-22 08:30:00,,,,,,92,98.4,70.7,0.01,152,19,7,70.2
81,2015-07-22 08:45:00,,,,,,86,97.8,71.2,0.01,135,22,8,70.5
82,2015-07-22 09:00:00,,,,,,104,94.3,71.4,0.01,141,18,10,69.6
83,2015-07-22 09:15:00,,,,,,134,91.5,71.8,0,144,19,9,69.2
84,2015-07-22 09:30:00,,,,,,224,91.7,71.2,0.01,142,17,9,68.6
85,2015-07-22 09:45:00,,,,,,253,93.3,71.5,0,142,20,9,69.4
86,2015-07-22 10:00:00,,,,,,254,94.4,71.3,0.02,144,16,10,69.6
87,2015-07-22 10:15:00,,,,,,300,94.5,71.1,0.01,148,22,9,69.4
88,2015-07-22 10:30:00,,,,,,446,91.5,71.8,0,139,18,10,69.2
89,2015-07-22 10:45:00,,,,,,493,91.5,72.1,0,144,16,8,69.5
90,2015-07-22 11:00:00,,,,,,326,88.1,72.6,0.01,132,17,9,68.9
91,2015-07-22 11:15:00,,,,,,374,93.9,71.5,0.02,141,20,11,69.6
92,2015-07-22 11:30:00,,,,,,406,94.6,71.5,0.01,146,22,10,69.8
93,2015-07-22 11:45:00,,,,,,525,87.2,72.7,0,142,16,9,68.7
94,2015-07-22 12:00:00,,,,,,621,84.7,73.4,0,144,24,10,68.5
95,2015-07-22 12:15:00,,,,,,521,83.5,73.5,0,132,23,11,68.2
96,2015-07-22 12:30:00,,,,,,555,82.3,73.4,0,146,23,11,67.7
97,2015-07-22 12:45:00,,,,,,521,81.8,73.8,0,138,28,10,68
98,2015-07-22 13:00:00,,,,,,520,87.9,72.6,0,135,19,9,68.8
99,2015-07-22 13:15:00,,,,,,509,83.7,73.1,0,149,23,12,67.9
100,2015-07-22 13:30:00,,,,,,591,81.4,73.3,0,145,20,10,67.3
101,2015-07-22 13:45:00,,,,,,687,78.6,74,0,148,21,11,67
102,2015-07-22 14:00:00,,,,,,419,80.7,73.6,0,139,23,11,67.4
103,2015-07-22 14:15:00,,,,,,469,81.4,73.4,0,136,18,10,67.4
104,2015-07-22 14:30:00,,,,,,433,80.2,73.7,0,132,20,8,67.3
105,2015-07-22 14:45:00,,,,,,393,79.5,73.3,0,131,20,9,66.7
106,2015-07-22 15:00:00,,,,,,410,80.7,73.6,0,136,17,8,67.4
107,2015-07-22 15:15:00,,,,,,358,80.8,73.9,0,141,17,6,67.7
108,2015-07-22 15:30:00,,,,,,331,83.5,73,0,145,16,9,67.8
109,2015-07-22 15:45:00,,,,,,231,85.8,72.6,0,138,17,9,68.1
110,2015-07-22 16:00:00,,,,,,208,85.6,72.1,0,141,18,10,67.6
111,2015-07-22 16:15:00,,,,,,172,83.5,72.6,0.01,145,23,9,67.4
112,2015-07-22 16:30:00,,,,,,147,84.1,72.3,0,145,16,9,67.3
113,2015-07-22 16:45:00,,,,,,156,82.5,72.5,0,139,22,11,66.9
114,2015-07-22 17:15:00,,,,,,105,82.4,72.6,0.04,96,20,6,67
115,2015-07-22 17:30:00,,,,,,55,82.5,72.6,0,144,16,9,67
