Aasu Wx Data Raw,,,,,,,,,,,
,,,,,,,,,,,
Timestamp,Record,Voltage,Air Temp (C),Air Temp (F),Relative Humidity,Rain (in),Wind Speed (MPH),Wind Direction (D1),Wind Direction (SD1),Solar Rad (W_AVG),slrMJ_Tot
4/25/2017 19:45,1,12.91,26.65,77.17,92.1,0,2.522,80.7,16.43,0.075,6.71E-05
4/25/2017 20:00,2,12.91,24.76,77.44,92.7,0,2.908,78.61,14.69,0.058,5.25E-05
4/25/2017 20:15,3,12.91,24.37,77.46,92.4,0,1.761,74.49,12.38,0.036,3.28E-05
4/25/2017 20:30,4,12.91,24.26,76.91,92.7,0,0.762,70.45,15.01,0.028,2.54E-05
4/25/2017 20:45,5,12.91,24.03,77.46,91.1,0,2.301,72.31,26.81,0.036,3.24E-05
4/25/2017 21:00,6,12.91,24.02,77.32,92.4,0,2.077,44.26,36.09,0.032,2.85E-05
4/25/2017 21:15,7,12.9,24.02,76.99,93.8,0,1.286,38.26,13.75,0.019,1.67E-05
4/25/2017 21:30,8,12.9,23.94,77.07,93,0,2.073,49.51,18.74,0.025,2.29E-05
4/25/2017 21:45,9,12.9,23.85,76.69,93.9,0,0.562,49.33,13.43,0.023,2.06E-05
4/25/2017 22:00,10,12.9,23.71,76.71,92.6,0,1.103,62.01,13.66,0.029,2.62E-05
4/25/2017 22:15,11,12.9,23.58,77.12,92.7,0,1.676,50.08,32.12,0.02,1.82E-05
4/25/2017 22:30,12,12.9,23.67,77.34,91.9,0,2.906,64.02,24.16,0.025,2.25E-05
4/25/2017 22:45,13,12.89,23.8,77.26,93.4,0,2.297,49.13,13.15,0.016,1.48E-05
4/25/2017 23:00,14,12.89,23.8,76.77,93.4,0,1.317,51.11,12.08,0.026,2.37E-05
4/25/2017 23:15,15,12.89,23.67,76.73,93.9,0,1.566,55.17,26.81,0.026,2.33E-05
4/25/2017 23:30,16,12.89,23.56,76.79,92.1,0,1.752,34.38,26.62,0.027,2.39E-05
4/25/2017 23:45,17,12.89,23.5,76.7,93.2,0,1.416,45.55,17.83,0.016,1.47E-05
4/26/2017 0:00,18,12.89,23.44,76.5,94,0,1.305,40.23,18.12,0.021,1.89E-05
4/26/2017 0:15,19,12.89,23.35,76.53,94,0,1.625,54.37,13.89,0.024,2.18E-05
4/26/2017 0:30,20,12.89,23.34,76.41,94.8,0,1.028,33.28,11.4,0.022,1.95E-05
4/26/2017 0:45,21,12.89,23.43,76.68,94.3,0,2.142,58.19,14.05,0.026,2.33E-05
4/26/2017 1:00,22,12.88,23.58,76.9,96.2,0,2.067,28.34,12.41,0.019,1.67E-05
4/26/2017 1:15,23,12.88,23.78,76.92,96.4,0,2.817,46.27,19.41,0.019,1.68E-05
4/26/2017 1:30,24,12.88,23.85,76.84,97.1,0,3.053,28.26,13.85,0.019,1.75E-05
4/26/2017 1:45,25,12.88,23.96,76.72,99.4,0,3.262,43.64,20.99,0.018,1.60E-05
4/26/2017 2:00,26,12.88,24.08,76.26,99.5,0,3.575,24.35,21.94,0.019,1.71E-05
4/26/2017 2:15,27,12.88,24.09,75.41,100,0,4.224,57.47,26.89,0.022,1.94E-05
4/26/2017 2:30,28,12.88,23.98,75.03,100,0.01,3.091,48.61,20.06,0.029,2.65E-05
4/26/2017 2:45,29,12.88,23.8,74.3,98.7,0,1.85,41.22,11.95,0.017,1.56E-05
4/26/2017 3:00,30,12.88,23.5,74.42,93.9,0,1.455,45.67,7.477,0.018,1.66E-05
4/26/2017 3:15,31,12.88,23.12,74.95,94.8,0,2.193,57.17,8.63,0.023,2.08E-05
4/26/2017 3:30,32,12.88,22.96,74.85,94.8,0,1.394,46.11,12.01,0.032,2.86E-05
4/26/2017 3:45,33,12.87,22.95,75.11,94.4,0,1.079,32.67,7.201,0.022,2.00E-05
4/26/2017 4:00,34,12.87,22.96,75.48,93.9,0,0.908,43.29,5.829,0.021,1.88E-05
4/26/2017 4:15,35,12.87,22.96,75.6,95.1,0,1.305,34.35,6.311,0.024,2.20E-05
4/26/2017 4:30,36,12.87,23.06,75.3,98.7,0.04,2.634,42.51,13.92,0.03,2.67E-05
4/26/2017 4:45,37,12.87,23.19,75.02,98.8,0.01,2.286,7.458,19.84,0.029,2.63E-05
4/26/2017 5:00,38,12.87,23.22,75.05,97.9,0.03,2.032,37.68,19.38,0.026,2.36E-05
4/26/2017 5:15,39,12.87,23.21,74.91,97.9,0,3.009,33.48,16.53,0.031,2.80E-05
4/26/2017 5:30,40,12.87,23.1,74.46,100,0.01,4.05,49.55,35.47,0.016,1.42E-05
4/26/2017 5:45,41,12.87,23.1,73.48,100,0.02,2.176,41.47,27.16,0.023,2.05E-05
4/26/2017 6:00,42,12.87,23,73.27,100,0,2.206,53.81,8.27,0.024,2.14E-05
4/26/2017 6:15,43,12.87,22.72,73.71,99.5,0,3.495,22.95,10,0.036,3.28E-05
4/26/2017 6:30,44,12.87,22.68,73.93,100,0,3.085,26.02,23.83,0.943,0.000848272
4/26/2017 6:45,45,12.87,23.01,74.69,100,0.01,3.808,29.91,17.17,2.82,0.002538055
4/26/2017 7:00,46,12.89,23.4,74.84,100,0,3.035,62.19,13.08,28.9,0.0260093
