,Fagaitua_no_rain,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,                    ,Solar Rad (wat/m2),RH (%),Temperature (*F),Rainfall (In),Wind Dir (Deg),Wind Gust (mph),Wind Speed (mph),Dew Point (*F)
1,                    ,wat/m2,%,*F,In,Deg,mph,mph,*F
2,Date and Time   ,SRD,HMD,TMP,RNF,WND,WNG,WNS,DEW
3,2017-04-20 00:00:00,0,82,79.4,0,60,4,0,73.5
4,2017-04-20 00:15:00,0,81.2,79.7,0,52,3,0,73.5
5,2017-04-20 00:30:00,0,81.4,79.7,0,42,1,0,73.6
6,2017-04-20 00:45:00,0,84.9,79.4,0,142,2,0,74.5
7,2017-04-20 01:00:00,0,86,78.4,0,151,4,0,73.9
8,2017-04-20 01:15:00,0,88.2,77.8,0,275,3,0,74
9,2017-04-20 01:30:00,0,88.1,77.6,0,357,0,0,73.8
10,2017-04-20 01:45:00,0,91.9,77.4,0,328,3,0,74.8
11,2017-04-20 02:00:00,0,87.6,77.8,0,310,0,0,73.8
12,2017-04-20 02:15:00,0,85.3,78.7,0,310,0,0,74
13,2017-04-20 02:30:00,0,84.3,78.8,0,321,0,0,73.7
14,2017-04-20 02:45:00,0,83.4,78.9,0,336,0,0,73.5
15,2017-04-20 03:00:00,0,83.2,79.2,0,336,1,0,73.7
16,2017-04-20 03:15:00,0,83.6,79,0,1,0,0,73.7
17,2017-04-20 03:30:00,0,83.7,79.2,0,238,0,0,73.9
18,2017-04-20 03:45:00,0,85.2,78.8,0,19,4,0,74
19,2017-04-20 04:00:00,0,84.1,78.5,0,237,1,0,73.4
20,2017-04-20 04:15:00,0,84.2,78.5,0,353,1,0,73.4
21,2017-04-20 04:30:00,0,83.9,78.5,0,353,0,0,73.3
22,2017-04-20 04:45:00,0,82.9,78.5,0,353,0,0,72.9
23,2017-04-20 05:00:00,0,83.5,78.5,0,353,0,0,73.1
