Alava3_WX,,,,,,,,
                    ,Solar Rad (wat/m2),RH (%),Temperature (*F),Rainfall (In),Wind Dir (Deg),Wind Gust (mph),Wind Speed (mph),Dew Point (*F)
                    ,wat/m2,%,*F,In,Deg,mph,mph,*F
Date and Time   ,SRD,HMD,TMP,RNF,WND,WNG,WNS,DEW
7/1/2017 0:00,0,89.4,64.2,0,142,2,0,61
7/1/2017 0:15,0,90,64.6,0,326,1,0,61.6
7/1/2017 0:30,0,91.7,64.9,0,33,1,0,62.4
7/1/2017 0:45,0,92.4,65.2,0,90,0,0,62.9
7/1/2017 1:00,0,91.9,65.4,0,136,1,0,63
7/1/2017 1:15,0,91.5,65.7,0,31,0,0,63.1
7/1/2017 1:30,0,91.1,65.9,0,124,3,0,63.2
7/1/2017 1:45,0,89.5,66.3,0,136,3,0,63.1
7/1/2017 2:00,0,89.2,66.2,0,110,2,0,62.9
7/1/2017 2:15,0,90,66.1,0,40,1,0,63.1
7/1/2017 2:30,0,89.2,66.3,0,145,1,0,63
7/1/2017 2:45,0,88.6,66.7,0,64,2,0,63.2
7/1/2017 3:00,0,87.9,66.6,0,100,1,0,62.9
7/1/2017 3:15,0,87.6,66.6,0,235,1,0,62.8
7/1/2017 3:30,0,87.2,66.5,0,124,3,0,62.6
7/1/2017 3:45,0,86.8,66.5,0,254,0,0,62.4
7/1/2017 4:00,0,86.2,66.8,0,293,2,0,62.6
7/1/2017 4:15,0,85.7,67.2,0,282,2,0,62.8
7/1/2017 4:30,0,85.5,67.3,0,193,0,0,62.8
7/1/2017 4:45,0,85.7,67.3,0,52,4,0,62.9
7/1/2017 5:00,0,86.7,67.3,0,241,2,0,63.2
7/1/2017 5:15,0,86.9,67.3,0,25,1,0,63.3
7/1/2017 5:30,0,87,67.4,0,131,3,0,63.4
7/1/2017 5:45,0,85.6,67.5,0,211,2,0,63
7/1/2017 6:00,0,85.8,67.1,0,307,3,0,62.7
7/1/2017 6:15,0,87,67,0,224,3,0,63
7/1/2017 6:30,0,87.2,67,0,100,2,0,63.1
7/1/2017 6:45,0,87.2,66.8,0,172,2,0,62.9
7/1/2017 7:00,6,86.7,66.9,0,81,3,0,62.8
7/1/2017 7:15,26,85.9,67,0,269,2,0,62.7
7/1/2017 7:30,54,85.7,67.3,0,180,2,0,62.9
7/1/2017 7:45,121,85.5,68.4,0,214,2,0,63.9
7/1/2017 8:00,119,84.1,70,0,182,3,0,65
7/1/2017 8:15,143,82.9,70.8,0,206,4,0,65.4
7/1/2017 8:30,112,81.2,72.2,0,289,2,0,66.2
7/1/2017 8:45,132,79.2,72.5,0,110,3,0,65.8
7/1/2017 9:00,321,78.4,73.1,0,26,1,0,66.1
7/1/2017 9:15,392,76.6,73.9,0,35,1,0,66.2
7/1/2017 9:30,546,75.3,75.2,0,280,2,0,67
7/1/2017 9:45,515,74.4,75.5,0,112,1,0,67
7/1/2017 10:00,704,71.7,75.4,0,35,1,0,65.8
7/1/2017 10:15,409,69.4,75.3,0,21,0,0,64.8
7/1/2017 10:30,592,76.5,73.9,0,146,0,0,66.2
7/1/2017 10:45,588,75.6,74.9,0,42,3,0,66.8
7/1/2017 11:00,615,75,75.2,0,39,2,0,66.9
7/1/2017 11:15,443,75.6,74.5,0,39,2,0,66.4
7/1/2017 11:30,454,77.1,73.5,0,142,1,0,66
7/1/2017 11:45,491,77.3,73.3,0,49,2,0,65.9
7/1/2017 12:00,657,76.8,74.2,0,45,1,0,66.6
7/1/2017 12:15,738,75.2,75.5,0,40,1,0,67.3
7/1/2017 12:30,802,64.5,76.5,0,22,1,0,63.9
7/1/2017 12:45,801,62,76.5,0,42,1,0,62.7
7/1/2017 13:00,504,74.8,76.1,0,228,0,0,67.7
7/1/2017 13:15,456,76.1,74.7,0,136,3,0,66.8
7/1/2017 13:30,531,77.4,74.2,0,19,2,0,66.8
7/1/2017 13:45,688,76.6,75.8,0,26,1,0,68.1
7/1/2017 14:00,905,71.8,76.4,0,24,1,0,66.8
7/1/2017 14:15,882,73.4,78,0,213,2,0,69
