Fagaitua_no_rain,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
                    ,Solar Rad (wat/m2),RH (%),Temperature (*F),Rainfall (In),Wind Dir (Deg),Wind Gust (mph),Wind Speed (mph),Dew Point (*F)
                    ,wat/m2,%,*F,In,Deg,mph,mph,*F
Date and Time   ,SRD,HMD,TMP,RNF,WND,WNG,WNS,DEW
2017-02-21 22:45:00,0,99.2,68,0,152,0,0,67.8
2017-02-21 23:00:00,0,99.3,68.4,0,129,0,0,68.2
2017-02-21 23:15:00,0,99.5,68.7,0,134,1,0,68.5
2017-02-21 23:30:00,0,99.5,68.7,0,90,1,0,68.5
2017-02-21 23:45:00,0,99.5,68.6,0,138,5,0,68.4
2017-02-22 00:00:00,0,99.5,68.6,0,122,4,0,68.4
2017-02-22 00:15:00,0,99.5,68.6,0,127,4,0,68.4
2017-02-22 00:30:00,0,99.4,68.6,0,177,3,0,68.4
2017-02-22 00:45:00,0,99.4,68.6,0,149,4,0,68.4
2017-02-22 01:00:00,0,99.5,68.8,0,200,3,0,68.6
2017-02-22 01:15:00,0,99.5,68.9,0,139,2,0,68.7
2017-02-22 01:30:00,0,99.5,68.9,0,179,3,0,68.7
2017-02-22 01:45:00,0,99.5,68.9,0,156,2,0,68.7
2017-02-22 02:00:00,0,99.5,69,0,103,2,0,68.8
2017-02-22 02:15:00,0,99.5,69.1,0,132,2,0,68.9
2017-02-22 02:30:00,0,99.5,69.2,0,169,2,0,69
2017-02-22 02:45:00,0,99.5,69.2,0,112,2,0,69
2017-02-22 03:00:00,0,99.5,69.3,0,132,0,0,69.1
2017-02-22 03:15:00,0,99.5,69.4,0,94,0,0,69.2
2017-02-22 03:30:00,0,99.5,69.4,0,149,1,0,69.2
2017-02-22 03:45:00,0,99.5,69.4,0,115,2,0,69.2
2017-02-22 04:00:00,0,99.5,69.4,0,189,2,0,69.2
2017-02-22 04:15:00,0,99.6,69.3,0,141,2,0,69.2
2017-02-22 04:30:00,0,99.6,69.3,0,128,2,0,69.2
2017-02-22 04:45:00,0,99.7,69.4,0,93,5,0,69.3
2017-02-22 05:00:00,0,99.8,69.3,0,138,3,0,69.2
2017-02-22 05:15:00,0,99.8,69.3,0,108,1,0,69.2
2017-02-22 05:30:00,0,99.9,69.3,0,115,0,0,69.3
2017-02-22 05:45:00,0,99.9,69.3,0,138,0,0,69.3
2017-02-22 06:00:00,0,99.9,69.4,0,111,3,0,69.4
2017-02-22 06:15:00,0,99.9,69.1,0,168,0,0,69.1
2017-02-22 06:30:00,1,99.9,68.9,0,158,0,0,68.9
2017-02-22 06:45:00,19,100,69,0,149,0,0,69
2017-02-22 07:00:00,45,100,69,0,115,0,0,69
2017-02-22 07:15:00,68,100,69.4,0,112,0,0,69.4
2017-02-22 07:30:00,119,100,69.9,0,112,0,0,69.9
2017-02-22 07:45:00,197,100,70.8,0,117,0,0,70.8
2017-02-22 08:00:00,153,100,71.4,0,118,0,0,71.4
2017-02-22 08:15:00,142,100,71.4,0,186,0,0,71.4
2017-02-22 08:30:00,198,100,71.7,0,115,0,0,71.7
2017-02-22 08:45:00,159,99.9,72.1,0,101,0,0,72.1
2017-02-22 09:00:00,220,99.8,72.6,0,112,0,0,72.5
2017-02-22 09:15:00,217,99.5,72.8,0,162,0,0,72.6
2017-02-22 09:30:00,217,99.5,73,0,124,0,0,72.8
2017-02-22 09:45:00,245,99.4,73.1,0,142,1,0,72.9
2017-02-22 10:00:00,348,98.4,73.5,0,142,0,0,73
2017-02-22 10:15:00,445,96,74.3,0,153,2,0,73.1
2017-02-22 10:30:00,390,91.7,74.6,0,129,1,0,72
2017-02-22 10:45:00,347,89.9,74.8,0,144,1,0,71.6
2017-02-22 11:00:00,565,87,75.7,0,129,1,0,71.6
2017-02-22 11:15:00,600,86.6,76,0,159,1,0,71.7
2017-02-22 11:30:00,565,83.5,76.7,0,93,1,0,71.4
2017-02-22 11:45:00,628,83.3,76.7,0,264,1,0,71.3
2017-02-22 12:00:00,752,80.5,78.2,0,189,2,0,71.8
2017-02-22 12:15:00,890,80.5,78.5,0,69,1,0,72.1
2017-02-22 12:30:00,747,80.7,78.8,0,114,3,0,72.5
2017-02-22 12:45:00,841,79.9,79.1,0,107,0,0,72.5
2017-02-22 13:00:00,847,77.1,80.1,0,117,0,0,72.4
2017-02-22 13:15:00,800,77,80.1,0,169,0,0,72.4
2017-02-22 13:30:00,709,78,79.8,0,223,0,0,72.5
2017-02-22 13:45:00,770,79.1,79.4,0,242,2,0,72.5
2017-02-22 14:00:00,730,79.6,78.6,0,124,1,0,71.9
2017-02-22 14:15:00,669,80.3,78.5,0,129,0,0,72
2017-02-22 14:30:00,795,77.1,79.3,0,159,0,0,71.6
2017-02-22 14:45:00,963,76.4,79.9,0,139,0,0,72
2017-02-22 15:00:00,631,79.5,78.9,0,112,1,0,72.1
2017-02-22 15:15:00,537,78.4,78.1,0,192,0,0,71
2017-02-22 15:30:00,315,82.5,76.4,0,160,0,0,70.7
2017-02-22 15:45:00,485,84.3,75.3,0,77,0,0,70.3
2017-02-22 16:00:00,287,84.7,75.1,0,148,1,0,70.2
2017-02-22 16:15:00,212,87.9,73.4,0,128,0,0,69.6
2017-02-22 16:30:00,230,88.2,73,0,189,0,0,69.3
2017-02-22 16:45:00,250,88.4,72.9,0,158,0,0,69.3
2017-02-22 17:00:00,245,87.3,73.2,0,146,0,0,69.2
2017-02-22 17:15:00,187,87.5,72.7,0,175,0,0,68.8
2017-02-22 17:30:00,189,87.3,72.3,0,201,0,0,68.3
2017-02-22 17:45:00,88,89.2,71.4,0,138,0,0,68
2017-02-22 18:00:00,28,92.5,70.2,0,131,0,0,67.9
2017-02-22 18:15:00,17,94.7,69.4,0,144,0,0,67.8
2017-02-22 18:30:00,16,95.9,68.9,0,100,0,0,67.7
2017-02-22 18:45:00,3,97,68.5,0,141,0,0,67.6
2017-02-22 19:00:00,0,97.9,68,0,121,0,0,67.4
2017-02-22 19:15:00,0,98.6,67.8,0,197,0,0,67.4
2017-02-22 19:30:00,0,99.1,67.7,0,100,0,0,67.4
2017-02-22 19:45:00,0,99.4,67.4,0,103,0,0,67.2
2017-02-22 20:00:00,0,99.4,66.9,0,256,2,0,66.7
2017-02-22 20:15:00,0,99.4,66.4,0,94,0,0,66.2
2017-02-22 20:30:00,0,99,65.7,0,314,15,1,65.4
2017-02-22 20:45:00,0,99.3,64.5,0,320,8,2,64.3
2017-02-22 21:00:00,0,99.4,64.2,0,317,9,2,64
2017-02-22 21:15:00,0,97.5,64.6,0,304,9,4,63.9
2017-02-22 21:30:00,0,98.2,64.6,0,338,4,0,64.1
2017-02-22 21:45:00,0,98.9,64.6,0,300,2,0,64.3
2017-02-22 22:00:00,0,99.3,64.3,0,121,0,0,64.1
2017-02-22 22:15:00,0,99.5,63.7,0,179,3,0,63.6
2017-02-22 22:30:00,0,99.5,63.9,0,201,1,0,63.8
2017-02-22 22:45:00,0,99.5,64.2,0,254,0,0,64.1
2017-02-22 23:00:00,0,99.5,64.2,0,254,0,0,64.1
2017-02-22 23:15:00,0,99.5,64.3,0,254,0,0,64.2
2017-02-22 23:30:00,0,99.6,64.4,0,242,0,0,64.3
2017-02-22 23:45:00,0,99.7,64.6,0,206,0,0,64.5
2017-02-23 00:00:00,0,99.7,64.7,0,206,0,0,64.6
2017-02-23 00:15:00,0,99.7,64.9,0,206,0,0,64.8
2017-02-23 00:30:00,0,99.8,65,0,206,0,0,64.9
2017-02-23 00:45:00,0,99.8,65.1,0,206,0,0,65
2017-02-23 01:00:00,0,99.8,65.3,0,206,0,0,65.2
2017-02-23 01:15:00,0,99.8,65.4,0,206,0,0,65.3
2017-02-23 01:30:00,0,99.8,65.5,0,206,0,0,65.4
2017-02-23 01:45:00,0,99.8,65.7,0,206,0,0,65.6
2017-02-23 02:00:00,0,99.9,66.1,0,206,0,0,66.1
2017-02-23 02:15:00,0,99.9,66.3,0,206,0,0,66.3
2017-02-23 02:30:00,0,99.9,66.4,0,206,0,0,66.4
2017-02-23 02:45:00,0,99.9,66.6,0,206,0,0,66.6
2017-02-23 03:00:00,0,99.9,66.8,0,145,0,0,66.8
2017-02-23 03:15:00,0,99.5,65.4,0,309,10,2,65.3
2017-02-23 03:30:00,0,99.6,65.4,0,296,0,0,65.3
2017-02-23 03:45:00,0,99.7,66,0,290,0,0,65.9
2017-02-23 04:00:00,0,99.7,66.5,0,286,0,0,66.4
2017-02-23 04:15:00,0,99.7,66.7,0,282,0,0,66.6
2017-02-23 04:30:00,0,99.7,66.9,0,273,0,0,66.8
2017-02-23 04:45:00,0,99.7,67,0,273,0,0,66.9
2017-02-23 05:00:00,0,99.8,67.2,0,273,0,0,67.1
2017-02-23 05:15:00,0,99.7,67.3,0,273,0,0,67.2
2017-02-23 05:30:00,0,99.7,67.4,0,273,0,0,67.3
2017-02-23 05:45:00,0,99.7,67.5,0,272,0,0,67.4
2017-02-23 06:00:00,0,99.7,67.5,0,264,0,0,67.4
2017-02-23 06:15:00,0,99.7,67.6,0,158,0,0,67.5
2017-02-23 06:30:00,0,99.7,67.5,0,144,1,0,67.4
2017-02-23 06:45:00,3,99.6,66.9,0,132,2,0,66.8
2017-02-23 07:00:00,16,99.6,66.4,0,108,0,0,66.3
2017-02-23 07:15:00,32,99.6,66.5,0,108,0,0,66.4
2017-02-23 07:30:00,50,99.6,66.9,0,108,0,0,66.8
2017-02-23 07:45:00,107,99.7,67.4,0,108,0,0,67.3
2017-02-23 08:00:00,102,99.7,68.1,0,108,0,0,68
2017-02-23 08:15:00,94,99.7,68.5,0,108,0,0,68.4
2017-02-23 08:30:00,149,99.8,68.9,0,108,0,0,68.8
2017-02-23 08:45:00,196,99.7,69.8,0,108,0,0,69.7
2017-02-23 09:00:00,243,99.6,70.5,0,108,0,0,70.4
2017-02-23 09:15:00,237,99.5,70.8,0,108,0,0,70.6
2017-02-23 09:30:00,108,99.5,70.5,0,108,0,0,70.3
2017-02-23 09:45:00,175,99.5,70.1,0,203,0,0,69.9
2017-02-23 10:00:00,270,99.5,70.8,0,248,0,0,70.6
2017-02-23 10:15:00,189,99,71,0,248,0,0,70.7
2017-02-23 10:30:00,153,98.7,71.1,0,249,0,0,70.7
2017-02-23 10:45:00,86,98.3,70.8,0,184,0,0,70.3
2017-02-23 11:00:00,117,98.3,70.9,0,199,0,0,70.4
2017-02-23 11:15:00,111,98.3,71.2,0,216,0,0,70.7
2017-02-23 11:30:00,108,98,70.8,0,187,2,0,70.2
2017-02-23 11:45:00,139,98.1,70.3,0,207,0,0,69.7
2017-02-23 12:00:00,118,98,70.3,0,217,0,0,69.7
2017-02-23 12:15:00,96,98,69.9,0,121,3,0,69.3
2017-02-23 12:30:00,121,98.3,69.6,0,142,1,0,69.1
2017-02-23 12:45:00,224,98.7,70.8,0,175,0,0,70.4
2017-02-23 13:00:00,250,98.7,71.1,0,169,0,0,70.7
2017-02-23 13:15:00,241,98,71.8,0,176,0,0,71.2
2017-02-23 13:30:00,185,96.7,71.3,0,153,0,0,70.3
2017-02-23 13:45:00,250,96.6,70.9,0,183,0,0,69.9
2017-02-23 14:00:00,412,94.3,71.9,0,199,0,0,70.1
2017-02-23 14:15:00,537,86.9,73,0,184,0,0,68.9
2017-02-23 14:30:00,441,85.2,73.2,0,124,2,0,68.5
2017-02-23 14:45:00,223,86.7,72.1,0,87,0,0,67.9
2017-02-23 15:00:00,302,88.3,71.7,0,87,0,0,68.1
2017-02-23 15:15:00,247,88,72.2,0,87,0,0,68.4
2017-02-23 15:30:00,242,87.8,71.9,0,197,0,0,68.1
2017-02-23 15:45:00,328,88.9,71.9,0,186,0,0,68.4
2017-02-23 16:00:00,387,86.5,73.7,0,186,0,0,69.4
2017-02-23 16:15:00,554,77.1,76,0,186,0,0,68.4
2017-02-23 16:30:00,317,77,77,0,186,0,0,69.4
2017-02-23 16:45:00,60,86.4,73.4,0,152,1,0,69.1
2017-02-23 17:00:00,171,91.9,71,0,160,3,0,68.5
2017-02-23 17:15:00,316,94.1,70.9,0,128,1,0,69.1
2017-02-23 17:30:00,353,91.5,72.4,0,110,0,0,69.8
2017-02-23 17:45:00,333,87,73.3,0,176,0,0,69.2
2017-02-23 18:00:00,86,87.6,71.6,0,207,0,0,67.7
2017-02-23 18:15:00,46,92.3,70,0,207,0,0,67.6
2017-02-23 18:30:00,23,94.3,69.1,0,207,0,0,67.4
2017-02-23 18:45:00,8,95.6,68.6,0,135,0,0,67.3
