,DateTime,SRD_wpm2,HMD_pct,TMP_F,RNF_in,WND_deg,WNS_mph
0,2017-12-01 00:00:00,3.21844e-07,96.5,78.92,0.0,207.0,0.693
1,2017-12-01 00:15:00,0,92.3,78.95,0.0,203.0,1.737
2,2017-12-01 00:30:00,0,92.2,79.55,0.0,201.6,2.105
3,2017-12-01 00:45:00,0,89.6,79.71,0.0,176.7,1.635
4,2017-12-01 01:00:00,0,92.5,79.45,0.0,190.4,1.283
5,2017-12-01 01:15:00,1.287376e-06,93.1,79.47,0.0,186.8,0.908
6,2017-12-01 01:30:00,0,92.4,79.5,0.0,186.0,1.279
7,2017-12-01 01:45:00,0,92.8,79.31,0.0,205.0,1.235
8,2017-12-01 02:00:00,0,91.4,79.8,0.0,213.6,2.083
9,2017-12-01 02:15:00,0,89.3,79.97,0.0,193.3,3.132
10,2017-12-01 02:30:00,0,89.5,80.1,0.0,187.6,2.809
11,2017-12-01 02:45:00,0,92.0,79.82,0.0,250.6,1.105
12,2017-12-01 03:00:00,0,96.3,78.74,0.02,230.9,0.784
13,2017-12-01 03:15:00,1.072813e-07,97.7,78.0,0.0,229.6,1.013
14,2017-12-01 03:30:00,7.509693e-07,95.0,78.12,0.01,182.7,2.179
15,2017-12-01 03:45:00,0,94.3,78.04,0.0,179.6,2.349
16,2017-12-01 04:00:00,0,95.8,77.42,0.0,184.3,1.657
17,2017-12-01 04:15:00,0,94.4,77.8,0.0,209.8,2.57
18,2017-12-01 04:30:00,0,92.4,77.62,0.0,202.0,3.225
19,2017-12-01 04:45:00,3.21844e-07,91.3,77.98,0.0,204.4,1.916
20,2017-12-01 05:00:00,0,95.2,77.79,0.0,184.6,0.768
21,2017-12-01 05:15:00,5.364066e-07,97.0,77.63,0.0,172.1,0.556
22,2017-12-01 05:30:00,2.542568e-05,97.3,77.73,0.12,186.9,4.125
23,2017-12-01 05:45:00,0.001789131,97.6,77.14,0.01,195.8,3.305
24,2017-12-01 06:00:00,0.01452707,97.1,77.29,0.0,211.0,2.509
25,2017-12-01 06:15:00,0.03625047,96.4,77.4,0.0,208.9,2.476
26,2017-12-01 06:30:00,0.04311454,97.1,77.49,0.0,211.8,1.173
27,2017-12-01 06:45:00,0.06368166,97.0,77.54,0.0,216.7,1.018
28,2017-12-01 07:00:00,0.08608823,94.4,78.35,0.0,197.3,2.122
29,2017-12-01 07:15:00,0.1276832,94.9,78.6,0.0,212.3,1.221
30,2017-12-01 07:30:00,0.1723684,91.8,79.76,0.0,215.3,2.576
31,2017-12-01 07:45:00,0.1415167,93.1,80.1,0.0,184.7,2.323
32,2017-12-01 08:00:00,0.2028119,89.8,80.6,0.0,169.4,1.985
33,2017-12-01 08:15:00,0.2195071,88.4,81.4,0.0,152.5,2.557
34,2017-12-01 08:30:00,0.2959203,87.0,81.4,0.0,187.9,3.011
35,2017-12-01 08:45:00,0.2354667,88.2,81.7,0.0,181.6,1.604
36,2017-12-01 09:00:00,0.2634681,89.0,81.4,0.0,184.9,2.67
37,2017-12-01 09:15:00,0.3834125,84.5,81.7,0.0,195.2,2.302
38,2017-12-01 09:30:00,0.3449053,87.8,82.5,0.0,186.7,2.55
39,2017-12-01 09:45:00,0.4916975,85.1,82.9,0.0,171.5,3.428
40,2017-12-01 10:00:00,0.4492663,84.9,82.6,0.0,180.9,3.376
41,2017-12-01 10:15:00,0.3884677,85.4,82.9,0.0,181.7,2.496
42,2017-12-01 10:30:00,0.5280506,87.9,83.1,0.0,185.5,2.53
43,2017-12-01 10:45:00,0.2933553,85.1,82.8,0.0,175.0,3.137
44,2017-12-01 11:00:00,0.6302262,82.0,82.8,0.0,178.6,3.599
45,2017-12-01 11:15:00,0.7058401,84.5,83.8,0.0,171.3,3.603
46,2017-12-01 11:30:00,0.3645517,86.5,82.9,0.0,173.1,2.551
47,2017-12-01 11:45:00,0.2000824,88.1,82.0,0.0,177.1,2.947
48,2017-12-01 12:00:00,0.3506879,86.3,82.3,0.0,169.3,3.081
49,2017-12-01 12:15:00,0.4582069,86.0,82.6,0.0,198.3,3.161
50,2017-12-01 12:30:00,0.3884891,84.1,82.6,0.0,170.3,2.779
